Vessel,Slice_Category,Bin_Name,Sample_Count,Mean_F_observed,Mean_F_phys,MAE,RMSE,Bias,R2,Mean_R_calm_kN,Mean_R_wave_kN,Mean_R_wind_kN
CPS_Poseidon,Speed,SPEED_0_6_KN,7028,1457.6,174.8,1282.98,1352.0,-1282.83,-9.0152,0.44,0.4,0.01
CPS_Poseidon,Speed,SPEED_6_12_KN,711,2295.1,330.4,1964.7,1984.04,-1964.7,-44.2675,94.99,0.64,0.06
CPS_Poseidon,Speed,SPEED_12_18_KN,3363,3023.7,651.4,2374.45,2400.52,-2372.32,-27.8623,204.67,4.74,0.55
CPS_Poseidon,Speed,SPEED_GT_18_KN,9983,5292.3,1177.6,4114.66,4159.02,-4114.66,-35.2508,364.82,8.54,-0.73
CPS_Poseidon,Wave_Height,CALM_Hs_LT_1M,13512,2882.4,542.8,2339.69,2716.44,-2339.62,-1.271,142.91,1.39,0.17
CPS_Poseidon,Wave_Height,MODERATE_Hs_1_2.5M,6650,4741.1,1077.3,3664.86,3762.64,-3663.78,-10.6705,328.35,12.88,-0.44
CPS_Poseidon,Wave_Height,ROUGH_Hs_GE_2.5M,923,4769.2,987.7,3781.52,3873.92,-3781.52,-11.5432,310.34,0.0,-5.17
CPS_Triton,Speed,SPEED_0_6_KN,1333,318.7,176.3,167.49,213.36,-142.42,-0.7515,1.71,3.84,1.03
CPS_Triton,Speed,SPEED_6_12_KN,243,558.5,322.0,237.41,281.98,-236.44,-3.015,82.7,12.06,1.24
CPS_Triton,Speed,SPEED_12_18_KN,3494,724.5,597.7,137.0,154.31,-126.74,-2.685,178.42,19.4,1.01
CPS_Triton,Wave_Height,CALM_Hs_LT_1M,3980,590.0,442.7,155.44,183.21,-147.29,0.308,121.12,4.75,1.19
CPS_Triton,Wave_Height,MODERATE_Hs_1_2.5M,1035,681.1,568.3,123.77,158.99,-112.79,-0.2603,149.15,42.89,0.61
CPS_Triton,Wave_Height,ROUGH_Hs_GE_2.5M,55,704.0,937.4,233.81,250.34,233.34,-6.5785,170.17,227.48,-2.77
OSS_Ceto,Speed,SPEED_0_6_KN,7842,711.3,174.7,536.76,543.28,-536.67,-40.3203,0.92,0.24,-2.04
OSS_Ceto,Speed,SPEED_6_12_KN,282,1514.7,333.4,1181.4,1247.17,-1181.4,-7.3897,99.59,0.7,-4.04
OSS_Ceto,Speed,SPEED_12_18_KN,517,2084.5,482.0,1602.41,1604.41,-1602.41,-255.1893,143.48,12.94,1.46
OSS_Ceto,Wave_Height,CALM_Hs_LT_1M,6979,762.3,188.1,574.27,613.94,-574.27,-4.0655,7.74,0.38,-1.58
OSS_Ceto,Wave_Height,MODERATE_Hs_1_2.5M,1641,1047.8,239.8,808.45,920.56,-808.02,-1.7317,32.5,3.73,-3.12
OSS_Ceto,Wave_Height,ROUGH_Hs_GE_2.5M,21,2055.5,325.7,1729.78,1730.22,-1729.78,-3257.8305,102.8,0.0,-11.1
