canonical_channel,canonical_unit,fuelcast_mapping,fuelcast_classification,pontos_hub_mapping,pontos_classification,smyril_mapping,smyril_classification,shifts_2_mapping,shifts_classification,utas_wmu_mapping,utas_classification
timestamp,timestamp_utc,index (integer 5-min step),DERIVED,time (TIMESTAMPZ),DIRECT,timestamp (.NET 100ns ticks),DERIVED,time_id (1-min step),DERIVED,noon_report_date,DERIVED
vessel_id,identifier,"parquet_filename (CPS_Poseidon, etc.)",DIRECT,vessel_id (name_SD401Fredrika),DIRECT,M/S Smyril (implicit),DIRECT,Vessel_1 (implicit),DIRECT,vessel_anon_id,DIRECT
vessel_type,category,"paper Table 1 (CPS=Cruise, OSS=Offshore)",DIRECT,vessel metadata (fishing boat),EXTERNAL_JOIN,Ro-Pax passenger ferry,DIRECT,Merchant cargo vessel,DIRECT,ship_type (container/bulk),DIRECT
latitude,decimal_degrees,MISSING (Scrubbed for privacy),MISSING,positioningsystem_latitude_deg,DIRECT,latitude.csv,DIRECT,MISSING (Scrubbed),MISSING,ais_latitude,DIRECT
longitude,decimal_degrees,MISSING (Scrubbed for privacy),MISSING,positioningsystem_longitude_deg,DIRECT,longitude.csv,DIRECT,MISSING (Scrubbed),MISSING,ais_longitude,DIRECT
sog_kn,knots,Ship_SpeedOverGround * 1.94384,DERIVED,positioningsystem_sog_kn,DIRECT,speedKnots.csv,DIRECT,diff_speed_overground (accel),DERIVED,ais_sog_kn,DIRECT
stw_kn,knots,Ship_SpeedThroughWater * 1.94384 (Poseidon); Vector-derived (Triton),DIRECT,positioningsystem_stw_kn,DIRECT,longitudinalWaterSpeed.csv,DIRECT,stw,DIRECT,MISSING,MISSING
heading_deg,degrees,Ship_Heading,DIRECT,positioningsystem_heading_deg,DIRECT,trueHeading.csv,DIRECT,MISSING (Relative wind/currents),MISSING,ais_heading,DIRECT
draft_m,meters,0.5*(Ship_DraftAft + Ship_DraftFore) [Triton/Ceto; Poseidon Missing],DERIVED,draft_m (tag defined),EXTERNAL_JOIN,0.5*(level1median + level2median),DERIVED,0.5*(draft_aft + draft_fore),DERIVED,reported_draft,DIRECT
displacement_t,metric_tonnes,"Gross Tonnage (Poseidon:70k, Triton:11k, Ceto:24k)",EXTERNAL_JOIN,MISSING,MISSING,12500 t (ship particulars),EXTERNAL_JOIN,MISSING (Static deadweight),EXTERNAL_JOIN,deadweight_t,EXTERNAL_JOIN
