algorithm,seed,run_id,runtime_seconds,objective_evaluations,iterations,best_fitness,physical_objective,penalty,is_feasible,first_feasible_eval,first_feasible_iter,feasible_evaluations_count,candidate_feasibility_rate,constraint_violation_total,hard_violations,repair_count,repair_rate,unique_solutions,pareto_archive_size,pareto_hypervolume,assigned_demands,fuel_decisions,speed_decisions
A3_Discrete_QPSO,1001,A3_Discrete_QPSO_seed_1001,3.9861,2500,49,3.4222,3.4222,0.0,True,70,1,1497,59.88,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.142356049154333, 'CPS_Triton': 17.895911803802836, 'OSS_Ceto': 14.84301706389059}"
A3_Discrete_QPSO,1002,A3_Discrete_QPSO_seed_1002,4.582,2500,49,3.4131,3.4131,0.0,True,15,0,1508,60.32,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.13703846727808, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}"
A3_Discrete_QPSO,1003,A3_Discrete_QPSO_seed_1003,3.3757,2500,49,3.412,3.412,0.0,True,826,16,873,34.92,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.276062724739127, 'CPS_Triton': 17.975342349813463, 'OSS_Ceto': 11.772433183424303}"
A3_Discrete_QPSO,1004,A3_Discrete_QPSO_seed_1004,4.1849,2500,49,3.3813,3.3813,0.0,True,84,1,1429,57.16,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.149347508301833, 'CPS_Triton': 17.993783920970127, 'OSS_Ceto': 11.925262421522406}"
A3_Discrete_QPSO,1005,A3_Discrete_QPSO_seed_1005,1.6003,2500,49,51000.0,1000.0,50000.0,False,526,10,2,0.08,50000.0,Mandatory demand DEMAND-A is unfulfilled.,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 15.185611379417711, 'CPS_Triton': 13.242363110758841, 'OSS_Ceto': 10.236229718333352}"
A3_Discrete_QPSO,1006,A3_Discrete_QPSO_seed_1006,3.6118,2500,49,3.3737,3.3737,0.0,True,65,1,1399,55.96,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.174634658705685, 'CPS_Triton': 15.630924329266138, 'OSS_Ceto': 11.668894848793167}"
A3_Discrete_QPSO,1007,A3_Discrete_QPSO_seed_1007,3.3149,2500,49,3.3758,3.3758,0.0,True,203,4,1249,49.96,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.13925588077418, 'CPS_Triton': 15.770803370031027, 'OSS_Ceto': 11.957136395715494}"
A3_Discrete_QPSO,1008,A3_Discrete_QPSO_seed_1008,2.845,2500,49,3.3777,3.3777,0.0,True,14,0,862,34.48,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.167672652599133, 'CPS_Triton': 15.714938663483387, 'OSS_Ceto': 11.675666302469464}"
A3_Discrete_QPSO,1009,A3_Discrete_QPSO_seed_1009,3.6729,2500,49,3.3841,3.3841,0.0,True,100,1,1452,58.08,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.17849928183463, 'CPS_Triton': 17.97544216125212, 'OSS_Ceto': 11.939085054091748}"
A3_Discrete_QPSO,1010,A3_Discrete_QPSO_seed_1010,3.5044,2500,49,3.3792,3.3792,0.0,True,155,3,1309,52.36,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.135964704615986, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.958279177164227}"
