algorithm,seed,run_id,runtime_seconds,objective_evaluations,iterations,best_fitness,physical_objective,penalty,is_feasible,first_feasible_eval,first_feasible_iter,feasible_evaluations_count,candidate_feasibility_rate,constraint_violation_total,hard_violations,repair_count,repair_rate,unique_solutions,pareto_archive_size,pareto_hypervolume,assigned_demands,fuel_decisions,speed_decisions
GA,1001,GA_seed_1001,4.2446,2500,49,12519.1201,3.9018,12515.22,True,166,3,1821,72.84,0.0,NONE,0,0.0,2455,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 15.502940957215753, 'CPS_Triton': 15.815982085670981, 'OSS_Ceto': 12.386666205723937}"
GA,1002,GA_seed_1002,4.5503,2500,49,20001.919,1.919,20000.0,True,15,0,1722,68.88,0.0,NONE,0,0.0,2465,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 9.586224268537912, 'CPS_Triton': 17.88417697602713, 'OSS_Ceto': 11.691051684090692}"
GA,1003,GA_seed_1003,3.5861,2500,49,10695.7676,5.3397,10690.43,True,217,4,1143,45.72,0.0,NONE,0,0.0,2445,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 16.85639327352225, 'CPS_Triton': 15.658404598275219, 'OSS_Ceto': 10.023156801308533}"
GA,1004,GA_seed_1004,4.5011,2500,49,3.6263,3.6263,0.0,True,302,6,1829,73.16,0.0,NONE,0,0.0,2452,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 19.15394638246276, 'CPS_Triton': 15.604220614738884, 'OSS_Ceto': 11.643578258736968}"
GA,1005,GA_seed_1005,1.9914,2500,49,7385.5266,4.1055,7381.42,True,224,4,1699,67.96,0.0,NONE,0,0.0,2466,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 16.908394236944353, 'CPS_Triton': 17.284621461780223, 'OSS_Ceto': 10.9210664457402}"
GA,1006,GA_seed_1006,0.374,2500,49,51000.0,1000.0,50000.0,False,550,10,1,0.04,50000.0,Mandatory demand DEMAND-A is unfulfilled.,0,0.0,2442,0,0.0,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 9.699744720785967, 'CPS_Triton': 9.732609314569688, 'OSS_Ceto': 11.029486480809993}"
GA,1007,GA_seed_1007,0.345,2500,49,51000.0,1000.0,50000.0,False,-1,-1,0,0.0,50000.0,Mandatory demand DEMAND-C is unfulfilled.,0,0.0,2454,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'UNASSIGNED'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 13.572694073974441, 'CPS_Triton': 12.516860730617461, 'OSS_Ceto': 11.053124442903275}"
GA,1008,GA_seed_1008,0.8631,2500,49,139.3411,6.3826,132.96,True,14,0,1356,54.24,0.0,NONE,0,0.0,2461,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 19.402560453452423, 'CPS_Triton': 15.54711952416281, 'OSS_Ceto': 11.562694801257173}"
GA,1009,GA_seed_1009,0.8954,2500,49,19246.5958,3.5967,19243.0,True,239,4,1616,64.64,0.0,NONE,0,0.0,2454,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 14.219133238934779, 'CPS_Triton': 16.358366184709787, 'OSS_Ceto': 11.762146020822923}"
GA,1010,GA_seed_1010,1.0344,2500,49,18950.1392,4.8619,18945.28,True,56,1,1918,76.72,0.0,NONE,0,0.0,2450,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 19.681398733669482, 'CPS_Triton': 13.014568594849372, 'OSS_Ceto': 10.280631504905223}"
