algorithm,seed,run_id,runtime_seconds,objective_evaluations,iterations,best_fitness,physical_objective,penalty,is_feasible,first_feasible_eval,first_feasible_iter,feasible_evaluations_count,candidate_feasibility_rate,constraint_violation_total,hard_violations,repair_count,repair_rate,unique_solutions,pareto_archive_size,pareto_hypervolume,assigned_demands,fuel_decisions,speed_decisions
Random,1001,Random_seed_1001,0.1816,2500,2500,40004.5992,4.5992,40000.0,True,642,642,4,0.16,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 20.80426398818232, 'CPS_Triton': 13.955207994888811, 'OSS_Ceto': 13.858276843068916}"
Random,1002,Random_seed_1002,0.1741,2500,2500,20089.7495,1.6701,20088.08,True,15,15,9,0.36,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 17.051973193288728, 'CPS_Triton': 15.545794161470813, 'OSS_Ceto': 14.648375061207048}"
Random,1003,Random_seed_1003,0.1724,2500,2500,51000.0,1000.0,50000.0,False,120,120,5,0.2,50000.0,Mandatory demand DEMAND-C is unfulfilled.,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'UNASSIGNED'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 8.971825034676264, 'CPS_Triton': 16.41161002005662, 'OSS_Ceto': 5.209492195102362}"
Random,1004,Random_seed_1004,0.17,2500,2500,23868.4704,2.0147,23866.46,True,744,744,2,0.08,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 8.874878409284065, 'CPS_Triton': 14.648318300272216, 'OSS_Ceto': 11.260140664009988}"
Random,1005,Random_seed_1005,0.1756,2500,2500,40001.3134,1.3134,40000.0,True,220,220,5,0.2,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 16.715603545237947, 'CPS_Triton': 17.06832025642573, 'OSS_Ceto': 5.234577062122565}"
Random,1006,Random_seed_1006,0.1746,2500,2500,31017.9343,3.1992,31014.74,True,216,216,4,0.16,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 21.576364770280648, 'CPS_Triton': 13.600505569226518, 'OSS_Ceto': 6.688975703487053}"
Random,1007,Random_seed_1007,0.1876,2500,2500,37110.1912,3.8854,37106.31,True,378,378,6,0.24,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 14.447488549786282, 'CPS_Triton': 13.010725445371099, 'OSS_Ceto': 10.233940847384165}"
Random,1008,Random_seed_1008,0.1831,2500,2500,20005.1542,5.1542,20000.0,True,14,14,8,0.32,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.28872700112884, 'CPS_Triton': 17.96303024479071, 'OSS_Ceto': 10.143592544773128}"
Random,1009,Random_seed_1009,0.1902,2500,2500,20002.1631,2.1631,20000.0,True,235,235,10,0.4,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 15.401229192615954, 'CPS_Triton': 16.763807711144942, 'OSS_Ceto': 14.375673817287955}"
Random,1010,Random_seed_1010,0.1881,2500,2500,1247.4651,4.1495,1243.32,True,475,475,7,0.28,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 18.468412653834115, 'CPS_Triton': 15.340591849440376, 'OSS_Ceto': 14.412746262460375}"
