model,seed,vessel,split,R2,MAE,RMSE,MAPE,sMAPE,Median_AE,P95_error,max_error,bias,training_time,inference_latency,memory_mb,physical_violations
P0 (Physics Only),42,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1001,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1002,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1003,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1004,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1005,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1006,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1007,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1008,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1009,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1010,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1011,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
P0 (Physics Only),1012,Combined Fleet,Chronological Test (20%),-0.5471393358116132,1885.4486680493997,2468.048913477892,72.5556569601577,118.20874603029304,1228.3802923202516,4255.214714004933,5877.000953992283,-1883.194839736901,0.0,0.05,12.0,0
