model,seed,vessel,split,R2,MAE,RMSE,MAPE,sMAPE,Median_AE,P95_error,max_error,bias,training_time,inference_latency,memory_mb,physical_violations
P6 (Physics + Direct QI/MPS Residual),42,Combined Fleet,Chronological Test (20%),-2.7918198415872813e+17,361577167921.8601,1048413834855.7769,20003874201.03694,199.95401632894968,1538.9339553833006,1791127685289.379,11706829535759.62,361577165346.855,5.96,0.08,55.0,0
P6 (Physics + Direct QI/MPS Residual),1001,Combined Fleet,Chronological Test (20%),-8.745420610220474e+18,2926725456913.184,5867855349384.096,197523199677.73343,199.9712608833936,5055.58701171875,12846988899664.422,16782163528707.8,2926725453082.4463,5.74,0.08,55.0,0
P6 (Physics + Direct QI/MPS Residual),1002,Combined Fleet,Chronological Test (20%),-4.445120743114738,3789.1426529678633,4630.125958312139,253.35902434281115,158.13725524855823,3608.427441440521,8628.528118704795,17111.754104655836,592.3296550981113,6.06,0.08,55.0,0
P6 (Physics + Direct QI/MPS Residual),1003,Combined Fleet,Chronological Test (20%),-1.218943834337352e+19,3535080487454.27,6927569571977.691,68636106566.91643,199.942521949712,1411.6793411254882,16186007705563.914,25909314168348.527,3535080485726.2256,5.81,0.08,55.0,0
P6 (Physics + Direct QI/MPS Residual),1004,Combined Fleet,Chronological Test (20%),-0.945634629737871,2217.1605183177826,2767.7043242393243,305.29910251735464,114.8693356820134,1557.2206451416014,5467.764290724027,8022.608516644702,555.4318553273665,5.84,0.08,55.0,0
P6 (Physics + Direct QI/MPS Residual),1005,Combined Fleet,Chronological Test (20%),-3.897290684823094e+19,6296469533911.556,12387122949539.342,1255257935287.7124,199.9712610454748,5008.51865234375,27388723741129.133,33529710238816.703,6296469529396.073,5.81,0.08,55.0,0
P6 (Physics + Direct QI/MPS Residual),1006,Combined Fleet,Chronological Test (20%),0.2688220408017899,1196.9303453854084,1696.6825539014555,116.79310430780517,113.54433878293656,766.3671875,4437.288680990241,6218.366045269304,67.81085562455601,5.63,0.08,55.0,0
P6 (Physics + Direct QI/MPS Residual),1007,Combined Fleet,Chronological Test (20%),-5.978392099345304e+18,2882351561721.492,4851558206328.392,178216853995.30487,199.94252157686424,5286.42184753418,10184623561105.33,18770858724146.902,2882351560183.157,5.81,0.08,55.0,0
P6 (Physics + Direct QI/MPS Residual),1008,Combined Fleet,Chronological Test (20%),-4.269971991095445e+19,7906378852236.713,12965866977018.094,1319809003890.6577,199.96551325894245,5925.939477539062,28134574738922.945,37925381463007.11,7906378848265.209,5.79,0.08,55.0,0
P6 (Physics + Direct QI/MPS Residual),1009,Combined Fleet,Chronological Test (20%),-3.2489237514650854e+17,320869236128.9596,1130990112135.5134,35282300164.12962,199.94793618295432,5105.621789550782,2921037839743.231,7208972107255.534,320869232046.83466,5.9,0.08,55.0,0
