optimizer,seed,total_objective,total_penalty,physical_objective,penalty_fraction,physical_fraction,classification,feasibility_tag
QPSO,100,115003.2758272,115000.0,3.2758272,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,100,115003.27582921,115000.0,3.27582921,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,100,115003.27583618,115000.0,3.27583618,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
DE,100,115003.27582692,115000.0,3.27582692,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,100,115003.27946781,115000.0,3.27946781,0.99997148,2.852e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,137,115003.27582673,115000.0,3.27582673,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,137,115003.27582968,115000.0,3.27582968,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,137,115003.27594394,115000.0,3.27594394,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
DE,137,115003.27582657,115000.0,3.27582657,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,137,115003.27862343,115000.0,3.27862343,0.99997149,2.851e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,174,115003.27582665,115000.0,3.27582665,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,174,115003.27582673,115000.0,3.27582673,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,174,115003.27724561,115000.0,3.27724561,0.9999715,2.85e-05,PENALTY_DOMINATED,INFEASIBLE
DE,174,115003.27582685,115000.0,3.27582685,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,174,115003.27809535,115000.0,3.27809535,0.9999715,2.85e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,211,115003.27582657,115000.0,3.27582657,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,211,115003.2758306,115000.0,3.2758306,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,211,115003.27595548,115000.0,3.27595548,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
DE,211,115003.27582669,115000.0,3.27582669,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,211,115003.27887384,115000.0,3.27887384,0.99997149,2.851e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,248,115003.27582666,115000.0,3.27582666,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,248,115003.27582664,115000.0,3.27582664,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,248,115003.27618989,115000.0,3.27618989,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
DE,248,115003.27582665,115000.0,3.27582665,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,248,115003.28667217,115000.0,3.28667217,0.99997142,2.858e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,285,115003.27582707,115000.0,3.27582707,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,285,115003.29287196,115000.0,3.29287196,0.99997137,2.863e-05,PENALTY_DOMINATED,INFEASIBLE
GA,285,115003.27583854,115000.0,3.27583854,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
DE,285,115003.27582657,115000.0,3.27582657,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,285,115003.27683028,115000.0,3.27683028,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,322,115003.27582813,115000.0,3.27582813,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,322,115003.27582682,115000.0,3.27582682,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,322,115003.27625046,115000.0,3.27625046,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
DE,322,115003.27582658,115000.0,3.27582658,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,322,115003.27789011,115000.0,3.27789011,0.9999715,2.85e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,359,115003.27582759,115000.0,3.27582759,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
