optimizer,seed,speed_knots,fuel_type,total_fuel_tonnes,total_opex_usd,best_loss
QPSO,100,18.59,bio_methanol,195.95,210402.36,115003.2758272025
PSO,100,18.59,bio_methanol,195.95,210402.49,115003.2758292106
GA,100,18.59,bio_methanol,195.95,210402.94,115003.27583618271
DE,100,18.59,bio_methanol,195.95,210402.34,115003.27582691576
Random_Search,100,18.57,bio_methanol,196.17,210636.19,115003.2794678075
QPSO,137,18.59,bio_methanol,195.95,210402.33,115003.27582673484
PSO,137,18.59,bio_methanol,195.95,210402.52,115003.275829683
GA,137,18.59,bio_methanol,195.96,210409.86,115003.27594393709
DE,137,18.59,bio_methanol,195.95,210402.32,115003.27582657308
Random_Search,137,18.58,bio_methanol,196.12,210581.96,115003.27862343183
QPSO,174,18.59,bio_methanol,195.95,210402.33,115003.2758266504
PSO,174,18.59,bio_methanol,195.95,210402.33,115003.27582673248
GA,174,18.58,bio_methanol,196.04,210493.46,115003.27724561244
DE,174,18.59,bio_methanol,195.95,210402.34,115003.27582685
Random_Search,174,18.58,bio_methanol,196.09,210548.04,115003.27809535124
QPSO,211,18.59,bio_methanol,195.95,210402.32,115003.27582657331
PSO,211,18.59,bio_methanol,195.95,210402.58,115003.27583059784
GA,211,18.59,bio_methanol,195.96,210410.6,115003.2759554794
DE,211,18.59,bio_methanol,195.95,210402.33,115003.27582668784
Random_Search,211,18.58,bio_methanol,196.13,210598.05,115003.27887384169
QPSO,248,18.59,bio_methanol,195.95,210402.33,115003.27582665616
PSO,248,18.59,bio_methanol,195.95,210402.33,115003.27582664092
GA,248,18.59,bio_methanol,195.97,210425.66,115003.276189886
DE,248,18.59,bio_methanol,195.95,210402.33,115003.27582665069
Random_Search,248,18.53,bio_methanol,196.6,211098.92,115003.28667217324
QPSO,285,18.59,bio_methanol,195.95,210402.35,115003.27582706884
PSO,285,18.59,bio_methanol,195.95,213242.67,115003.29287196112
GA,285,18.59,bio_methanol,195.95,210403.09,115003.27583854036
DE,285,18.59,bio_methanol,195.95,210402.32,115003.27582657314
Random_Search,285,18.59,bio_methanol,196.01,210466.79,115003.27683028464
QPSO,322,18.59,bio_methanol,195.95,210402.42,115003.2758281276
PSO,322,18.59,bio_methanol,195.95,210402.34,115003.27582682155
GA,322,18.59,bio_methanol,195.98,210429.55,115003.276250464
DE,322,18.59,bio_methanol,195.95,210402.32,115003.27582657896
Random_Search,322,18.58,bio_methanol,196.07,210534.86,115003.27789010982
QPSO,359,18.59,bio_methanol,195.95,210402.39,115003.27582759134
PSO,359,18.59,bio_methanol,195.95,210402.68,115003.27583220186
GA,359,18.59,bio_methanol,195.96,210408.2,115003.27591804368
DE,359,18.59,bio_methanol,195.95,210402.33,115003.27582665162
Random_Search,359,18.55,bio_methanol,196.34,210819.77,115003.28232601476
QPSO,396,18.59,bio_methanol,195.95,210402.33,115003.27582665098
PSO,396,18.59,bio_methanol,195.95,210402.34,115003.27582683628
GA,396,18.59,bio_methanol,195.98,210431.37,115003.27627878496
DE,396,18.59,bio_methanol,195.95,210402.33,115003.2758266468
Random_Search,396,18.56,bio_methanol,196.31,210790.32,115003.28186740652
QPSO,433,18.59,bio_methanol,195.95,210402.33,115003.2758267022
PSO,433,18.59,bio_methanol,195.95,210402.36,115003.27582722272
GA,433,18.59,bio_methanol,195.96,210410.64,115003.27595606452
DE,433,18.59,bio_methanol,195.95,210402.32,115003.27582656726
Random_Search,433,18.57,bio_methanol,196.15,210619.09,115003.27920156217
QPSO,470,18.59,bio_methanol,195.95,210402.32,115003.2758265765
PSO,470,18.59,bio_methanol,195.95,210402.91,115003.27583570535
GA,470,18.59,bio_methanol,195.95,210403.39,115003.27584316814
DE,470,18.59,bio_methanol,195.95,210402.32,115003.2758265744
Random_Search,470,18.53,bio_methanol,196.6,213938.05,115003.3036986642
QPSO,507,18.59,bio_methanol,195.95,210402.33,115003.2758266556
PSO,507,18.59,bio_methanol,195.95,213242.41,115003.2928678873
GA,507,18.59,bio_methanol,195.95,210402.34,115003.2758268662
DE,507,18.59,bio_methanol,195.95,210402.34,115003.27582687602
