algorithm,seed,feasibility,best_penalty_free,fitness,best_penalty,fuel_tonnes,cost_usd,ghg_tonnes,delay_hours,feasible_evaluations,penalty_free_evaluations,unique_solutions,nondominated_penalty_free,pf_min_fuel_tonnes,pf_min_cost_usd,pf_min_ghg_tonnes,runtime_seconds,evaluations
DE,1001,1.0,False,6649.2441,6642.12,383.69,411097.4,726.54,2.76,6,0,2500,0,,,,0.309,2500
DE,1002,1.0,False,23811.4875,23807.1,214.8,234068.96,603.12,11.38,4,0,2500,0,,,,0.269,2500
DE,1003,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,3,0,2500,0,,,,0.273,2500
DE,1004,1.0,True,5.3559,0.0,260.63,267608.22,752.9,0.0,38,1,2500,1,260.63,267608.22,752.9,0.31,2500
DE,1005,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,2,0,2500,0,,,,0.276,2500
DE,1006,1.0,False,2812.809,2807.44,255.99,260519.72,797.05,1.22,32,0,2500,0,,,,0.345,2500
DE,1007,1.0,False,3754.9306,3749.94,239.89,243793.21,781.99,1.48,4,0,2500,0,,,,0.272,2500
DE,1008,1.0,False,40233.4162,40226.36,370.69,421149.03,632.88,19.13,16,0,2500,0,,,,0.287,2500
DE,1009,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2500,0,,,,0.269,2500
DE,1010,1.0,False,28023.2674,28016.44,362.12,401710.46,695.37,13.67,17,0,2500,0,,,,0.283,2500
DE,1011,1.0,False,21217.5634,21213.57,177.67,187999.4,665.24,9.91,15,0,2500,0,,,,0.297,2500
DE,1012,1.0,True,7.3421,0.0,380.16,406237.24,779.59,0.0,25,1,2500,1,380.16,406237.24,779.59,0.3,2500
DE,1013,1.0,False,30472.9995,30469.13,164.45,176593.9,676.17,14.38,4,0,2500,0,,,,0.268,2500
DE,1014,1.0,False,13334.7028,13327.63,377.2,414067.29,692.22,6.43,8,0,2499,0,,,,0.275,2500
DE,1015,1.0,False,39461.9092,39456.95,232.54,251377.3,747.33,18.99,3,0,2499,0,,,,0.273,2500
DE,1016,1.0,False,3353.8722,3349.28,221.9,227888.78,667.83,1.09,22,0,2499,0,,,,0.317,2500
DE,1017,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,3,0,2500,0,,,,0.281,2500
DE,1018,1.0,False,4119.3333,4115.03,213.45,218027.64,610.05,1.6,20,0,2500,0,,,,0.306,2500
DE,1019,1.0,False,3209.1798,3201.38,413.32,442104.64,778.18,1.21,19,0,2499,0,,,,0.283,2500
DE,1020,1.0,False,27692.9875,27688.11,229.72,242718.75,766.83,13.53,17,0,2500,0,,,,0.283,2500
DE,1021,1.0,False,19123.7133,19118.98,222.49,234157.98,748.4,9.29,8,0,2500,0,,,,0.273,2500
DE,1022,1.0,True,4.4377,0.0,193.75,190394.35,806.35,0.0,25,1,2500,1,193.75,190394.35,806.35,0.302,2500
DE,1023,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,4,0,2500,0,,,,0.289,2500
DE,1024,1.0,False,15567.4974,15561.25,331.14,359006.22,638.03,7.1,11,0,2500,0,,,,0.285,2500
DE,1025,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,4,0,2500,0,,,,0.27,2500
DE,1026,1.0,False,2226.0472,2221.07,238.84,240966.75,783.49,0.75,9,0,2498,0,,,,0.286,2500
DE,1027,1.0,False,19525.5122,19520.33,248.25,259688.43,746.61,9.33,20,0,2499,0,,,,0.288,2500
DE,1028,1.0,False,6250.0118,6245.99,186.95,187328.47,694.69,2.8,33,0,2498,0,,,,0.312,2500
DE,1029,1.0,False,30348.9264,30343.09,292.01,318707.21,743.99,14.48,16,0,2500,0,,,,0.303,2500
DE,1030,1.0,False,45609.999,45605.67,191.95,214810.59,678.78,21.91,17,0,2500,0,,,,0.286,2500
QPSO,1001,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2500,0,,,,0.2,2500
