vessel,category,speed_kn,cargo_tonnes,fuel_type,operating_mode,shore_power,domain_status,envelope_distance,hard_violations,soft_penalties,total_penalty,domain_penalty,constraint_penalty,regulatory_penalty,fuel_tonnes,cost_usd,ghg_tonnes_co2e,schedule_delay_hours,physical_objective,total_objective,is_feasible
CPS_Poseidon,low-speed transit,12.0,0.0,vlsfo,transit,0.0,VALID,0.0,none,fueleu_deficit:2500.0,2500.0,0.0,2500.0,6809.29,82.96,81493.09,307.55,0.0,1.5898,2501.5898,True
CPS_Poseidon,normal cruising,16.0,0.0,vlsfo,transit,0.0,VALID,0.0,none,fueleu_deficit:2500.0,2500.0,0.0,2500.0,7278.51,88.67,87108.67,328.75,0.0,1.7048,2501.7048,True
CPS_Poseidon,higher-speed transit,19.0,0.0,vlsfo,transit,0.0,VALID,0.0,none,fueleu_deficit:2500.0,2500.0,0.0,2500.0,9454.44,115.18,113149.94,427.02,0.0,2.1839,2502.1839,True
CPS_Poseidon,alternative fuel (bio_methanol),16.0,0.0,bio_methanol,transit,0.0,VALID,0.0,none,none,0.0,0.0,0.0,0.0,179.13,192342.47,302.22,0.0,2.8347,2.8347,True
CPS_Poseidon,port/hoteling shore power,14.0,0.0,vlsfo,transit,1.0,VALID,0.0,none,fueleu_deficit:2500.0,2500.0,0.0,2500.0,7049.51,85.88,87207.98,318.4,0.0,1.6416,2501.6416,True
CPS_Triton,low-speed transit,12.0,0.0,vlsfo,transit,0.0,VALID,0.0,none,fueleu_deficit:2500.0,2500.0,0.0,2500.0,1403.31,17.1,16794.74,63.38,0.0,0.34,2500.34,True
CPS_Triton,normal cruising,15.0,0.0,vlsfo,transit,0.0,VALID,0.0,none,fueleu_deficit:2500.0,2500.0,0.0,2500.0,1349.6,16.44,16151.86,60.96,0.0,0.3099,2500.3099,True
CPS_Triton,higher-speed transit,17.5,0.0,vlsfo,transit,0.0,NEAR_BOUNDARY,1.0,none,boundary_proximity:0.0;fueleu_deficit:2500.0,2500.0,0.0,2500.0,1445.81,17.61,17303.38,65.3,0.0,0.3313,2500.3313,True
CPS_Triton,alternative fuel (bio_methanol),15.0,0.0,bio_methanol,transit,0.0,VALID,0.0,none,none,0.0,0.0,0.0,0.0,33.21,35664.52,56.04,0.0,0.5194,0.5194,True
OSS_Ceto,low-speed transit,8.0,1500.0,mgo,transit,0.0,VALID,0.0,none,fueleu_deficit:2500.0,2500.0,0.0,2500.0,631.27,15.7,17404.55,60.77,0.0,0.3159,2500.3159,True
OSS_Ceto,normal cruising,11.0,1500.0,mgo,transit,0.0,VALID,0.0,none,fueleu_deficit:2500.0,2500.0,0.0,2500.0,605.6,15.06,16696.92,58.3,0.0,0.325,2500.325,True
OSS_Ceto,higher-speed transit,14.0,1500.0,mgo,transit,0.0,NEAR_BOUNDARY,1.0,none,boundary_proximity:0.0;fueleu_deficit:2500.0,2500.0,0.0,2500.0,749.47,18.64,20663.3,72.15,0.0,0.365,2500.365,True
OSS_Ceto,alternative fuel (bio_methanol),11.0,1500.0,bio_methanol,transit,0.0,VALID,0.0,none,none,0.0,0.0,0.0,0.0,32.31,34695.97,54.52,0.0,0.5302,0.5302,True
OSS_Ceto,dp_station keeping mode,8.0,2000.0,mgo,dp,0.0,VALID,0.0,none,fueleu_deficit:2500.0,2500.0,0.0,2500.0,29.9,0.74,824.45,2.88,0.0,0.0152,2500.0152,True
