test_type,parameter_name,parameter_value,speed_kn,wave_height_m,wind_speed_ms,cargo_tonnes,fuel_type,shore_power,fuel_tonnes,cost_usd,ghg_co2e,fitness,feasible
speed_sweep,speed_kn,12.0,12.0,1.0,5.0,0.0,vlsfo,0.0,82.96,81493.09,307.55,2501.5898,True
speed_sweep,speed_kn,14.0,14.0,1.0,5.0,0.0,vlsfo,0.0,85.88,84367.98,318.4,2501.6246,True
speed_sweep,speed_kn,16.0,16.0,1.0,5.0,0.0,vlsfo,0.0,88.67,87108.67,328.75,2501.7048,True
speed_sweep,speed_kn,18.0,18.0,1.0,5.0,0.0,vlsfo,0.0,91.27,89658.39,338.37,2501.759,True
speed_sweep,speed_kn,20.0,20.0,1.0,5.0,0.0,vlsfo,0.0,121.99,119838.45,452.27,2502.2797,True
wave_sweep,wave_height_m,0.5,16.0,0.5,5.0,0.0,vlsfo,0.0,87.21,85672.55,323.33,2501.6757,True
wave_sweep,wave_height_m,1.5,16.0,1.5,5.0,0.0,vlsfo,0.0,89.05,87479.02,330.14,2501.711,True
wave_sweep,wave_height_m,2.5,16.0,2.5,5.0,0.0,vlsfo,0.0,88.87,87300.69,329.47,2501.7072,True
wave_sweep,wave_height_m,3.5,16.0,3.5,5.0,0.0,vlsfo,0.0,90.6,89000.09,335.88,2501.7384,True
wind_sweep,wind_speed_ms,2.0,16.0,1.0,2.0,0.0,vlsfo,0.0,87.78,86230.77,325.43,2501.6905,True
wind_sweep,wind_speed_ms,8.0,16.0,1.0,8.0,0.0,vlsfo,0.0,92.43,90797.73,342.67,2501.7626,True
wind_sweep,wind_speed_ms,14.0,16.0,1.0,14.0,0.0,vlsfo,0.0,97.58,95860.85,361.78,2501.8632,True
wind_sweep,wind_speed_ms,20.0,16.0,1.0,20.0,0.0,vlsfo,0.0,98.05,96316.73,363.5,108996.8405,False
fuel_pathway,fuel_type,vlsfo,16.0,1.0,5.0,0.0,vlsfo,0.0,88.67,87108.67,328.75,2501.7048,True
fuel_pathway,fuel_type,bio_methanol,16.0,1.0,5.0,0.0,bio_methanol,0.0,179.13,192342.47,302.22,2.8347,True
shore_power,shore_power,0.0,16.0,1.0,5.0,0.0,vlsfo,0.0,88.67,87108.67,328.75,2501.7048,True
shore_power,shore_power,1.0,16.0,1.0,5.0,0.0,vlsfo,1.0,88.67,89948.67,328.75,2501.7218,True
