evaluation_budget,optimizer,n_seeds,mean_best_loss,median_best_loss,std_loss,min_loss,max_loss
100,QPSO,30,3.35898,3.33798,0.10526,3.28097,3.87199
100,DE,30,3.39854,3.34603,0.15306,3.28097,3.84701
100,PSO,30,3.3111,3.30774,0.02332,3.27858,3.38016
100,GA,30,3.41252,3.35026,0.17417,3.2762,3.83598
100,Random_Search,30,3.32277,3.30946,0.04217,3.2774,3.40994
250,QPSO,30,3.28645,3.2855,0.00885,3.27597,3.31472
250,DE,30,3.30063,3.29684,0.02075,3.27611,3.36636
250,PSO,30,3.28805,3.2858,0.00822,3.27653,3.30233
250,GA,30,3.30843,3.30314,0.03095,3.2762,3.42327
250,Random_Search,30,3.30103,3.29537,0.02421,3.27681,3.38185
500,QPSO,30,3.27767,3.27673,0.00354,3.27584,3.29479
500,DE,30,3.28081,3.2789,0.00589,3.27584,3.30128
500,PSO,30,3.28101,3.27712,0.00743,3.27587,3.2965
500,GA,30,3.28586,3.28061,0.0124,3.27584,3.31584
500,Random_Search,30,3.29209,3.28692,0.01456,3.27681,3.32662
1000,QPSO,30,3.276,3.27595,0.00022,3.27583,3.27679
1000,DE,30,3.27607,3.27594,0.00035,3.27583,3.27767
1000,PSO,30,3.27949,3.27603,0.00705,3.27583,3.2942
1000,GA,30,3.27812,3.2769,0.00456,3.27583,3.29994
1000,Random_Search,30,3.28377,3.28128,0.00726,3.27681,3.3037
1500,QPSO,30,3.27585,3.27584,3e-05,3.27583,3.27597
1500,DE,30,3.27585,3.27584,2e-05,3.27583,3.27592
1500,PSO,30,3.27817,3.2759,0.0059,3.27583,3.29305
1500,GA,30,3.27706,3.27634,0.0036,3.27583,3.29581
1500,Random_Search,30,3.28279,3.28001,0.00704,3.27681,3.3037
2000,QPSO,30,3.27583,3.27583,1e-05,3.27583,3.27585
2000,DE,30,3.27583,3.27583,0.0,3.27583,3.27583
2000,PSO,30,3.27755,3.27583,0.00521,3.27583,3.29294
2000,GA,30,3.27676,3.27596,0.00331,3.27583,3.29414
2000,Random_Search,30,3.28279,3.28001,0.00704,3.27681,3.3037
2500,QPSO,30,3.27583,3.27583,0.0,3.27583,3.27583
2500,DE,30,3.27583,3.27583,0.0,3.27583,3.27583
2500,PSO,30,3.27753,3.27583,0.0052,3.27583,3.29287
2500,GA,30,3.27667,3.27594,0.00314,3.27583,3.29313
2500,Random_Search,30,3.28279,3.28001,0.00704,3.27681,3.3037
5000,QPSO,1,3.27583,3.27583,0.0,3.27583,3.27583
5000,DE,1,3.27583,3.27583,0.0,3.27583,3.27583
