comparison,seed,qpso_value,competitor_value,difference,absolute_difference,sign
QPSO_vs_DE,100,3.27582720249914,3.275826915759734,2.867394059968831e-07,2.867394059968831e-07,1
QPSO_vs_DE,137,3.275826734858464,3.275826573079509,1.6177895512115015e-07,1.6177895512115015e-07,1
QPSO_vs_DE,174,3.2758266503978297,3.2758268499944565,-1.9959662678203927e-07,1.9959662678203927e-07,-1
QPSO_vs_DE,211,3.2758265733124685,3.2758266878511564,-1.1453868786759358e-07,1.1453868786759358e-07,-1
QPSO_vs_DE,248,3.275826656176162,3.2758266506756857,5.500476518705e-09,5.500476518705e-09,1
QPSO_vs_DE,285,3.2758270688365423,3.2758265731454386,4.956911037190537e-07,4.956911037190537e-07,1
QPSO_vs_DE,322,3.275828127585896,3.275826578951965,1.5486339308701247e-06,1.5486339308701247e-06,1
QPSO_vs_DE,359,3.275827591332604,3.275826651614791,9.397178128978112e-07,9.397178128978112e-07,1
QPSO_vs_DE,396,3.275826650970945,3.2758266467964443,4.174500745079968e-09,4.174500745079968e-09,1
QPSO_vs_DE,433,3.275826702216777,3.275826567254572,1.3496220496733713e-07,1.3496220496733713e-07,1
QPSO_vs_DE,470,3.27582657649923,3.2758265743937365,2.1054935572806244e-09,2.1054935572806244e-09,1
QPSO_vs_DE,507,3.2758266555915823,3.275826876018104,-2.2042652192411083e-07,2.2042652192411083e-07,-1
QPSO_vs_DE,544,3.2758266625319576,3.275826662389022,1.4293544126076085e-10,1.4293544126076085e-10,1
QPSO_vs_DE,581,3.27582674591329,3.275826646458326,9.945496426411182e-08,9.945496426411182e-08,1
QPSO_vs_DE,618,3.275826715076561,3.275826689078967,2.599759385546463e-08,2.599759385546463e-08,1
QPSO_vs_DE,655,3.275827211283357,3.275826570958142,6.403252150732897e-07,6.403252150732897e-07,1
QPSO_vs_DE,692,3.275826661604789,3.2758266426763383,1.8928450806754427e-08,1.8928450806754427e-08,1
QPSO_vs_DE,729,3.275826710801633,3.2758266490903063,6.171132671539681e-08,6.171132671539681e-08,1
QPSO_vs_DE,766,3.275826576485903,3.275826650978221,-7.449231809175672e-08,7.449231809175672e-08,-1
QPSO_vs_DE,803,3.275826651794343,3.275826569056166,8.27381767543045e-08,8.27381767543045e-08,1
QPSO_vs_DE,840,3.275827733721683,3.275826572503896,1.1612177868158824e-06,1.1612177868158824e-06,1
QPSO_vs_DE,877,3.275827480768545,3.275826678069288,8.026992568410662e-07,8.026992568410662e-07,1
QPSO_vs_DE,914,3.275826908053799,3.275826568722459,3.393313403599052e-07,3.393313403599052e-07,1
QPSO_vs_DE,951,3.2758270284557502,3.27582656778342,4.6067233006041874e-07,4.6067233006041874e-07,1
QPSO_vs_DE,988,3.275826668386259,3.275826742503384,-7.411712488192279e-08,7.411712488192279e-08,-1
QPSO_vs_DE,1025,3.2758265774229294,3.2758265725720803,4.850849055770823e-09,4.850849055770823e-09,1
QPSO_vs_DE,1062,3.275826651463265,3.2758265722237434,7.923952161092984e-08,7.923952161092984e-08,1
QPSO_vs_DE,1099,3.275826643422303,3.275826572569813,7.085249009719519e-08,7.085249009719519e-08,1
QPSO_vs_DE,1136,3.2758266860543963,3.275826579784309,1.0627008739660937e-07,1.0627008739660937e-07,1
QPSO_vs_DE,1173,3.275826580629264,3.275826577235421,3.3938429844226903e-09,3.3938429844226903e-09,1
QPSO_vs_PSO,100,3.27582720249914,3.2758292106078515,-2.008108711315515e-06,2.008108711315515e-06,-1
QPSO_vs_PSO,137,3.275826734858464,3.275829683008819,-2.9481503549533272e-06,2.9481503549533272e-06,-1
QPSO_vs_PSO,174,3.2758266503978297,3.2758267324686856,-8.207085588907148e-08,8.207085588907148e-08,-1
QPSO_vs_PSO,211,3.2758265733124685,3.275830597832621,-4.024520152690059e-06,4.024520152690059e-06,-1
QPSO_vs_PSO,248,3.275826656176162,3.2758266409069576,1.5269204567402994e-08,1.5269204567402994e-08,1
QPSO_vs_PSO,285,3.2758270688365423,3.292871961112825,-0.01704489227628292,0.01704489227628292,-1
QPSO_vs_PSO,322,3.275828127585896,3.275826821561296,1.306024600022937e-06,1.306024600022937e-06,1
QPSO_vs_PSO,359,3.275827591332604,3.2758322018628254,-4.610530221604847e-06,4.610530221604847e-06,-1
QPSO_vs_PSO,396,3.275826650970945,3.275826836275358,-1.853044131472359e-07,1.853044131472359e-07,-1
QPSO_vs_PSO,433,3.275826702216777,3.275827222710906,-5.204941291303555e-07,5.204941291303555e-07,-1
QPSO_vs_PSO,470,3.27582657649923,3.2758357053572027,-9.128857972662274e-06,9.128857972662274e-06,-1
QPSO_vs_PSO,507,3.2758266555915823,3.292867887296432,-0.017041231704849835,0.017041231704849835,-1
QPSO_vs_PSO,544,3.2758266625319576,3.275830199603789,-3.537071831427596e-06,3.537071831427596e-06,-1
QPSO_vs_PSO,581,3.27582674591329,3.2758379903263366,-1.124441304645174e-05,1.124441304645174e-05,-1
QPSO_vs_PSO,618,3.275826715076561,3.2758270312713296,-3.161947685903499e-07,3.161947685903499e-07,-1
QPSO_vs_PSO,655,3.275827211283357,3.275827797124309,-5.858409517500718e-07,5.858409517500718e-07,-1
QPSO_vs_PSO,692,3.275826661604789,3.2758288105459408,-2.14894115169173e-06,2.14894115169173e-06,-1
QPSO_vs_PSO,729,3.275826710801633,3.2758528434593184,-2.613265768536266e-05,2.613265768536266e-05,-1
QPSO_vs_PSO,766,3.275826576485903,3.2758324458238097,-5.8693379068053275e-06,5.8693379068053275e-06,-1
QPSO_vs_PSO,803,3.275826651794343,3.275828588600656,-1.936806313107553e-06,1.936806313107553e-06,-1
QPSO_vs_PSO,840,3.275827733721683,3.275834420753532,-6.6870318491396574e-06,6.6870318491396574e-06,-1
QPSO_vs_PSO,877,3.275827480768545,3.275829463609534,-1.982840989178669e-06,1.982840989178669e-06,-1
QPSO_vs_PSO,914,3.275826908053799,3.275826903326113,4.727686242489426e-09,4.727686242489426e-09,1
QPSO_vs_PSO,951,3.2758270284557502,3.275827181486857,-1.5303110689757204e-07,1.5303110689757204e-07,-1
QPSO_vs_PSO,988,3.275826668386259,3.2758277652182097,-1.096831950597732e-06,1.096831950597732e-06,-1
QPSO_vs_PSO,1025,3.2758265774229294,3.2758295070947616,-2.929671832241354e-06,2.929671832241354e-06,-1
QPSO_vs_PSO,1062,3.275826651463265,3.2758300055800795,-3.3541168145134748e-06,3.3541168145134748e-06,-1
QPSO_vs_PSO,1099,3.275826643422303,3.2758271874623395,-5.440400365763765e-07,5.440400365763765e-07,-1
QPSO_vs_PSO,1136,3.2758266860543963,3.2928707639277235,-0.01704407787332718,0.01704407787332718,-1
QPSO_vs_PSO,1173,3.275826580629264,3.275828075906626,-1.4952773619292259e-06,1.4952773619292259e-06,-1
QPSO_vs_GA,100,3.27582720249914,3.275836182710528,-8.98021138784344e-06,8.98021138784344e-06,-1
QPSO_vs_GA,137,3.275826734858464,3.2759439370895227,-0.00011720223105848859,0.00011720223105848859,-1
QPSO_vs_GA,174,3.2758266503978297,3.277245612456146,-0.0014189620583162643,0.0014189620583162643,-1
QPSO_vs_GA,211,3.2758265733124685,3.2759554793823016,-0.00012890606983306796,0.00012890606983306796,-1
QPSO_vs_GA,248,3.275826656176162,3.276189885996027,-0.0003632298198645856,0.0003632298198645856,-1
QPSO_vs_GA,285,3.2758270688365423,3.2758385403523658,-1.147151582348016e-05,1.147151582348016e-05,-1
QPSO_vs_GA,322,3.275828127585896,3.276250464014496,-0.00042233642860001197,0.00042233642860001197,-1
QPSO_vs_GA,359,3.275827591332604,3.275918043690354,-9.045235775007043e-05,9.045235775007043e-05,-1
QPSO_vs_GA,396,3.275826650970945,3.276278784954492,-0.0004521339835470428,0.0004521339835470428,-1
QPSO_vs_GA,433,3.275826702216777,3.2758947627781687,-6.80605613916363e-05,6.80605613916363e-05,-1
QPSO_vs_GA,470,3.27582657649923,3.2758431681364533,-1.6591637223228872e-05,1.6591637223228872e-05,-1
QPSO_vs_GA,507,3.2758266555915823,3.2758268662208345,-2.1062925226189577e-07,2.1062925226189577e-07,-1
QPSO_vs_GA,544,3.2758266625319576,3.275861888703941,-3.52261719833713e-05,3.52261719833713e-05,-1
QPSO_vs_GA,581,3.27582674591329,3.275831284249039,-4.538335748982547e-06,4.538335748982547e-06,-1
QPSO_vs_GA,618,3.275826715076561,3.275835267519528,-8.552442967157958e-06,8.552442967157958e-06,-1
QPSO_vs_GA,655,3.275827211283357,3.2758626432723554,-3.5431988998357866e-05,3.5431988998357866e-05,-1
QPSO_vs_GA,692,3.275826661604789,3.275826703268052,-4.1663263061764155e-08,4.1663263061764155e-08,-1
QPSO_vs_GA,729,3.275826710801633,3.293116105894509,-0.01728939509287608,0.01728939509287608,-1
QPSO_vs_GA,766,3.275826576485903,3.2760536584984394,-0.00022708201253651694,0.00022708201253651694,-1
QPSO_vs_GA,803,3.275826651794343,3.275840769106227,-1.4117311883943273e-05,1.4117311883943273e-05,-1
