perturbation_axis,axis_value,speed_knots,fuel_type,shore_power,wave_height_m,total_objective,fuel_tonnes,cost_usd,ghg_tonnes,delay_hours,risk_tonnes,total_penalty,is_feasible,domain_status
speed_knots,12.0,12.0,bio_methanol,True,1.5,42580.02109576745,178.46,206650.38,301.08,12.19,35.77,42576.85,True,VALID
speed_knots,12.25,12.25,bio_methanol,True,1.5,38459.86339542117,174.9,202037.25,295.09,11.39,17.42,38456.82,True,VALID
speed_knots,12.5,12.5,bio_methanol,True,1.5,34638.30287470413,173.03,199261.73,291.94,10.63,13.91,34635.31,True,VALID
speed_knots,12.75,12.75,bio_methanol,True,1.5,31094.40291487417,172.9,198374.23,291.7,9.89,14.04,31091.42,True,VALID
speed_knots,13.0,13.0,bio_methanol,True,1.5,27809.197744506906,171.15,195794.76,288.76,9.18,14.32,27806.25,True,VALID
speed_knots,13.25,13.25,bio_methanol,True,1.5,24765.628693976636,175.33,199593.75,295.8,8.5,8.51,24762.64,True,VALID
speed_knots,13.5,13.5,bio_methanol,True,1.5,21948.003478041122,172.17,195545.68,290.48,7.84,9.51,21945.07,True,VALID
speed_knots,13.75,13.75,bio_methanol,True,1.5,19342.422334899733,174.08,196961.97,293.7,7.2,10.95,19339.46,True,VALID
speed_knots,14.0,14.0,bio_methanol,True,1.5,16936.072178406204,177.04,199529.84,298.69,6.59,10.48,16933.07,True,VALID
speed_knots,14.25,14.25,bio_methanol,True,1.5,14717.452874327286,180.6,202759.72,304.69,6.0,10.29,14714.4,True,VALID
speed_knots,14.5,14.5,bio_methanol,True,1.5,12676.41430038573,193.55,216103.06,326.55,5.44,18.41,12673.13,True,VALID
speed_knots,14.75,14.75,bio_methanol,True,1.5,10803.291433942451,194.3,216357.27,327.82,4.89,21.72,10799.99,True,VALID
speed_knots,15.0,15.0,bio_methanol,True,1.5,9090.100635394267,195.88,217518.44,330.48,4.35,24.54,9086.77,True,VALID
speed_knots,15.25,15.25,bio_methanol,True,1.5,7529.6898824567115,199.78,221191.53,337.05,3.84,19.0,7526.32,True,VALID
speed_knots,15.5,15.5,bio_methanol,True,1.5,6115.88727354452,199.82,220742.61,337.13,3.34,19.64,6112.52,True,VALID
speed_knots,15.75,15.75,bio_methanol,True,1.5,4843.771034352981,202.85,223506.75,342.23,2.86,19.62,4840.36,True,VALID
speed_knots,16.0,16.0,bio_methanol,True,1.5,3709.526492359432,201.76,221875.36,340.4,2.39,25.08,3706.12,True,VALID
speed_knots,16.25,16.25,bio_methanol,True,1.5,2710.9510316625356,198.77,218209.85,335.35,1.94,24.53,2707.6,True,VALID
speed_knots,16.5,16.5,bio_methanol,True,1.5,1847.9593256346654,195.86,214645.57,330.44,1.5,24.66,1844.66,True,VALID
speed_knots,16.75,16.75,bio_methanol,True,1.5,1123.7150493895635,204.42,223416.0,344.89,1.08,19.02,1120.3,True,VALID
speed_knots,17.0,17.0,bio_methanol,True,1.5,546.7165658110605,211.43,230532.27,356.72,0.67,13.64,543.21,True,VALID
speed_knots,17.25,17.25,bio_methanol,True,1.5,139.74745286785094,210.95,229613.91,355.91,0.26,11.58,136.26,True,VALID
speed_knots,17.5,17.5,bio_methanol,True,1.5,3.424859213181437,207.27,225396.76,349.7,0.0,11.63,0.0,True,VALID
speed_knots,17.75,17.75,bio_methanol,True,1.5,3.4258210134642013,205.41,223401.99,346.56,0.0,20.97,0.0,True,VALID
speed_knots,18.0,18.0,bio_methanol,True,1.5,3.3857502352724524,202.16,219912.37,341.08,0.0,24.8,0.0,True,VALID
speed_knots,18.25,18.25,bio_methanol,True,1.5,3.34468342045667,199.5,217048.39,336.58,0.0,25.49,0.0,True,VALID
speed_knots,18.5,18.5,bio_methanol,True,1.5,3.3087393991665253,196.9,214261.82,332.2,0.0,27.36,0.0,True,VALID
speed_knots,18.75,18.75,bio_methanol,True,1.5,3.5157127181011485,209.22,227488.83,352.98,0.0,29.38,0.0,True,VALID
speed_knots,19.0,19.0,bio_methanol,True,1.5,4.122557573808431,249.91,271185.28,421.64,0.0,12.99,0.0,True,VALID
speed_knots,19.25,19.25,bio_methanol,True,1.5,4.075335218339399,246.95,268006.9,416.65,0.0,13.26,0.0,True,VALID
