optimizer,seed,run1_score,run2_score,absolute_difference,is_strictly_deterministic
QPSO,100,3.2759636215729997,3.2759636215729997,0.0,True
QPSO,211,3.2758277560116613,3.2758277560116613,0.0,True
QPSO,359,3.2758344059119184,3.2758344059119184,0.0,True
DE,100,3.2760104048452865,3.2760104048452865,0.0,True
DE,211,3.2775913563816723,3.2775913563816723,0.0,True
DE,359,3.275960147686993,3.275960147686993,0.0,True
PSO,100,3.275837599907018,3.275837599907018,0.0,True
PSO,211,3.2934289326909822,3.2934289326909822,0.0,True
PSO,359,3.2930859465003217,3.2930859465003217,0.0,True
GA,100,3.279017300438812,3.279017300438812,0.0,True
GA,211,3.2930735981108348,3.2930735981108348,0.0,True
GA,359,3.2789964884849834,3.2789964884849834,0.0,True
Random_Search,100,3.2828537435001452,3.2828537435001452,0.0,True
Random_Search,211,3.329501105394455,3.329501105394455,0.0,True
Random_Search,359,3.3312385855221778,3.3312385855221778,0.0,True
