comparison,tolerance,n_total,n_zero,n_nonzero,n_qpso_wins,n_competitor_wins,all_zero
QPSO_vs_DE,0.0,30,0,30,5,25,False
QPSO_vs_DE,1e-09,30,1,29,5,24,False
QPSO_vs_DE,1e-06,30,28,2,0,2,False
QPSO_vs_DE,1e-05,30,30,0,0,0,True
QPSO_vs_DE,0.0001,30,30,0,0,0,True
QPSO_vs_PSO,0.0,30,0,30,27,3,False
QPSO_vs_PSO,1e-09,30,0,30,27,3,False
QPSO_vs_PSO,1e-06,30,9,21,20,1,False
QPSO_vs_PSO,1e-05,30,25,5,5,0,False
QPSO_vs_PSO,0.0001,30,27,3,3,0,False
QPSO_vs_GA,0.0,30,0,30,30,0,False
QPSO_vs_GA,1e-09,30,0,30,30,0,False
QPSO_vs_GA,1e-06,30,3,27,27,0,False
QPSO_vs_GA,1e-05,30,6,24,24,0,False
QPSO_vs_GA,0.0001,30,13,17,17,0,False
QPSO_vs_Random_Search,0.0,30,0,30,30,0,False
QPSO_vs_Random_Search,1e-09,30,0,30,30,0,False
QPSO_vs_Random_Search,1e-06,30,0,30,30,0,False
QPSO_vs_Random_Search,1e-05,30,0,30,30,0,False
QPSO_vs_Random_Search,0.0001,30,0,30,30,0,False
