experiment_id,run_id,optimizer,seed,fleet_size,dimension,evaluation_budget,evaluations_used,runtime_seconds,fitness,physical_fitness,penalty_value,is_feasible,domain_status,fuel_tonnes,opex_usd,ghg_tonnes,delay_hours,risk_metric,fuel_cost_usd,carbon_cost_usd,shore_cost_usd,schedule_cost_usd,fueleu_penalty_usd,assigned_demands,fuel_decisions,speed_decisions,shore_power_decisions,source_provenance,timestamp,git_commit
EXP-P4-08,QPSO_seed_1001,QPSO,1001,3,18,2500,2500,8.9279,3.381081450189528,3.381081450189528,0.0,True,VALID,177.64,171084.61,729.41,0.0,0.1461,111204.99,25662.69,8554.23,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.147929805235307, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.97926460453585}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': False}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,QPSO_seed_1002,QPSO,1002,3,18,2500,2500,8.5074,3.4241376926023253,3.4241376926023253,0.0,True,VALID,182.88,177219.58,752.07,0.0,0.0202,115192.73,26582.94,8860.98,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.373488428867425, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.784323082951714}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': False}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,QPSO_seed_1003,QPSO,1003,3,18,2500,2500,6.4154,3.749316081448032,3.749316081448032,0.0,True,VALID,208.61,207944.52,744.63,0.0,0.0178,135163.94,31191.68,10397.23,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 21.368591865109344, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.852015788717456}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,QPSO_seed_1004,QPSO,1004,3,18,2500,2500,7.3098,20001.970657682527,1.9706576825274178,20000.0,True,VALID,128.71,138025.41,220.98,0.0,0.0039,89716.52,20703.81,6901.27,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 11.964193130053735, 'CPS_Triton': 15.861104914461015, 'OSS_Ceto': 12.018260343263677}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': False}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,QPSO_seed_1005,QPSO,1005,3,18,2500,2500,4.5957,51000.0,1000.0,50000.0,False,VALID,200.0,250000.0,750.0,10.0,0.0,160000.0,40000.0,10000.0,15000.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'UNASSIGNED'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 12.481663840463822, 'CPS_Triton': 11.461497483399212, 'OSS_Ceto': 9.046596151005522}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,QPSO_seed_1006,QPSO,1006,3,18,2500,2500,8.7903,3.3908583370144267,3.3908583370144267,0.0,True,VALID,177.53,172913.74,728.94,0.0,0.1466,112393.93,25937.06,8645.69,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.13508319304565, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.954523886202255}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,QPSO_seed_1007,QPSO,1007,3,18,2500,2500,9.303,3.6487480847434215,3.6487480847434215,0.0,True,VALID,206.93,208194.56,651.73,0.0,0.1436,135326.46,31229.18,10409.73,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 19.15625952884223, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.949946004560273}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,QPSO_seed_1008,QPSO,1008,3,18,2500,2500,9.6433,3.38233551585276,3.38233551585276,0.0,True,VALID,177.61,171057.92,729.26,0.0,0.1498,111187.65,25658.69,8552.9,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.137670777422823, 'CPS_Triton': 17.976767116413356, 'OSS_Ceto': 11.851086735212375}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': False}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,QPSO_seed_1009,QPSO,1009,3,18,2500,2500,8.1312,3.3842436061735715,3.3842436061735715,0.0,True,VALID,177.55,171782.0,729.01,0.0,0.1465,111658.3,25767.3,8589.1,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.13736326200007, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.95054208112167}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
EXP-P4-08,QPSO_seed_1010,QPSO,1010,3,18,2500,2500,6.0727,3.3795270426727537,3.3795270426727537,0.0,True,VALID,177.84,172070.26,730.15,0.0,0.1263,111845.67,25810.54,8603.51,0.0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.14750890434641, 'CPS_Triton': 15.94718096529562, 'OSS_Ceto': 11.933653338644918}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': True}",REAL_TELEMETRY_CALIBRATED,2026-09-14T16:19:59.870203+00:00,20309b214b9540a7363b7365e442a222cd9c49a1
