sample_id,fitness,physical_fitness,is_feasible,domain_status,total_penalty,n_hard_violations,fuel_tonnes,opex_usd,ghg_tonnes,delay_hours,risk_metric,source_provenance
1,501000.0,1000.0,False,VALID,500000.0,5,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
2,401000.0,1000.0,False,VALID,400000.0,4,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
3,501000.0,1000.0,False,VALID,500000.0,6,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
4,501000.0,1000.0,False,VALID,500000.0,5,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
5,151000.0,1000.0,False,VALID,150000.0,2,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
6,401000.0,1000.0,False,VALID,400000.0,5,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
7,251000.0,1000.0,False,VALID,250000.0,3,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
8,251000.0,1000.0,False,VALID,250000.0,3,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
9,251000.0,1000.0,False,VALID,250000.0,3,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
10,401000.0,1000.0,False,VALID,400000.0,5,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
11,351000.0,1000.0,False,VALID,350000.0,4,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
12,351000.0,1000.0,False,VALID,350000.0,4,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
13,401000.0,1000.0,False,VALID,400000.0,5,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
14,351000.0,1000.0,False,VALID,350000.0,4,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
15,351000.0,1000.0,False,VALID,350000.0,4,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
16,401000.0,1000.0,False,VALID,400000.0,5,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
17,351000.0,1000.0,False,VALID,350000.0,4,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
18,501000.0,1000.0,False,VALID,500000.0,5,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
19,351000.0,1000.0,False,VALID,350000.0,4,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
20,451000.0,1000.0,False,VALID,450000.0,5,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
21,301000.0,1000.0,False,VALID,300000.0,3,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
22,451000.0,1000.0,False,VALID,450000.0,5,200.0,250000.0,750.0,10.0,0.0,SYNTHETIC_OPERATIONAL_SCENARIO
