sample_id,is_feasible,total_fitness,physical_fitness,penalty_value,reconstructed_total,absolute_error,integrity_verdict
random_sample_1,False,601000.0,1000.0,600000.0,601000.0,0.0,VERIFIED_EXACT
random_sample_2,False,351000.0,1000.0,350000.0,351000.0,0.0,VERIFIED_EXACT
random_sample_3,False,351000.0,1000.0,350000.0,351000.0,0.0,VERIFIED_EXACT
random_sample_4,False,201000.0,1000.0,200000.0,201000.0,0.0,VERIFIED_EXACT
random_sample_5,False,451000.0,1000.0,450000.0,451000.0,0.0,VERIFIED_EXACT
random_sample_6,False,251000.0,1000.0,250000.0,251000.0,0.0,VERIFIED_EXACT
random_sample_7,False,301000.0,1000.0,300000.0,301000.0,0.0,VERIFIED_EXACT
random_sample_8,False,351000.0,1000.0,350000.0,351000.0,0.0,VERIFIED_EXACT
random_sample_9,False,251000.0,1000.0,250000.0,251000.0,0.0,VERIFIED_EXACT
random_sample_10,False,451000.0,1000.0,450000.0,451000.0,0.0,VERIFIED_EXACT
random_sample_11,False,351000.0,1000.0,350000.0,351000.0,0.0,VERIFIED_EXACT
random_sample_12,False,401000.0,1000.0,400000.0,401000.0,0.0,VERIFIED_EXACT
random_sample_13,False,351000.0,1000.0,350000.0,351000.0,0.0,VERIFIED_EXACT
random_sample_14,False,501000.0,1000.0,500000.0,501000.0,0.0,VERIFIED_EXACT
random_sample_15,False,351000.0,1000.0,350000.0,351000.0,0.0,VERIFIED_EXACT
random_sample_16,False,451000.0,1000.0,450000.0,451000.0,0.0,VERIFIED_EXACT
random_sample_17,False,251000.0,1000.0,250000.0,251000.0,0.0,VERIFIED_EXACT
random_sample_18,False,301000.0,1000.0,300000.0,301000.0,0.0,VERIFIED_EXACT
random_sample_19,False,151000.0,1000.0,150000.0,151000.0,0.0,VERIFIED_EXACT
random_sample_20,False,101000.0,1000.0,100000.0,101000.0,0.0,VERIFIED_EXACT
qpso_failed_seed_1005,False,51000.0,1000.0,50000.0,51000.0,0.0,VERIFIED_EXACT
qpso_failed_seed_1021,False,51000.0,1000.0,50000.0,51000.0,0.0,VERIFIED_EXACT
qpso_failed_seed_1025,False,51000.0,1000.0,50000.0,51000.0,0.0,VERIFIED_EXACT
qpso_failed_seed_1029,False,51000.0,1000.0,50000.0,51000.0,0.0,VERIFIED_EXACT
de_matched_seed_1005,True,3.915557,3.915557,0.0,3.915557,0.0,VERIFIED_EXACT
de_matched_seed_1021,True,3.813831,3.813831,0.0,3.813831,0.0,VERIFIED_EXACT
de_matched_seed_1025,True,3.44269,3.44269,0.0,3.44269,0.0,VERIFIED_EXACT
de_matched_seed_1029,True,3.773763,3.773763,0.0,3.773763,0.0,VERIFIED_EXACT
