evaluation,fitness,physical_fitness,penalty,is_feasible,assigned_demands,speed_decisions,fuel_decisions,hard_violations
1,501000.0,1000.0,500000.0,False,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-B'}","{'CPS_Poseidon': 18.06, 'CPS_Triton': 7.92, 'OSS_Ceto': 7.0}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'green_ammonia', 'OSS_Ceto': 'liquid_hydrogen'}","CPS_Triton: Incompatible fuel green_ammonia for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible fuel liquid_hydrogen for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Mandatory demand DEMAND-A is unfulfilled.; Duplicate demand DEMAND-B assigned to 3 vessels (must be exactly 1).; Mandatory demand DEMAND-C is unfulfilled."
2,401000.0,1000.0,400000.0,False,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'UNASSIGNED'}","{'CPS_Poseidon': 14.75, 'CPS_Triton': 7.71, 'OSS_Ceto': 11.42}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'green_ammonia', 'OSS_Ceto': 'fossil_lng'}","CPS_Triton: Incompatible fuel green_ammonia for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible fuel fossil_lng for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Mandatory demand DEMAND-A is unfulfilled.; Duplicate demand DEMAND-B assigned to 2 vessels (must be exactly 1).; Mandatory demand DEMAND-C is unfulfilled."
3,151000.0,1000.0,150000.0,False,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'UNASSIGNED'}","{'CPS_Poseidon': 8.47, 'CPS_Triton': 13.57, 'OSS_Ceto': 7.68}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","CPS_Triton: Incompatible assignment: Demand DEMAND-A requires luxury passenger cruise vessel, but Coastal Princess Triton is passenger_cruise_small; Mandatory demand DEMAND-C is unfulfilled."
4,351000.0,1000.0,350000.0,False,"{'CPS_Poseidon': 'DEMAND-C', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-B'}","{'CPS_Poseidon': 18.43, 'CPS_Triton': 16.92, 'OSS_Ceto': 9.28}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","CPS_Poseidon: Incompatible assignment: Demand DEMAND-C requires offshore deck cargo capability, not supported by Crown Princess Poseidon; OSS_Ceto: Incompatible assignment: Demand DEMAND-B requires passenger vessel, but Ocean Supply Ship Ceto is offshore_supply; Mandatory demand DEMAND-A is unfulfilled.; Duplicate demand DEMAND-B assigned to 2 vessels (must be exactly 1)."
5,401000.0,1000.0,400000.0,False,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-B'}","{'CPS_Poseidon': 20.36, 'CPS_Triton': 17.13, 'OSS_Ceto': 6.9}","{'CPS_Poseidon': 'green_ammonia', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","CPS_Poseidon: Incompatible fuel green_ammonia for Crown Princess Poseidon (authorized: ['vlsfo', 'fossil_lng', 'bio_methanol']); OSS_Ceto: Incompatible assignment: Demand DEMAND-B requires passenger vessel, but Ocean Supply Ship Ceto is offshore_supply; Mandatory demand DEMAND-A is unfulfilled.; Duplicate demand DEMAND-B assigned to 2 vessels (must be exactly 1).; Mandatory demand DEMAND-C is unfulfilled."
6,351000.0,1000.0,350000.0,False,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 13.89, 'CPS_Triton': 16.46, 'OSS_Ceto': 12.5}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'green_ammonia', 'OSS_Ceto': 'fossil_lng'}","CPS_Triton: Incompatible fuel green_ammonia for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible fuel fossil_lng for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Mandatory demand DEMAND-A is unfulfilled.; Duplicate demand DEMAND-B assigned to 2 vessels (must be exactly 1)."
7,501000.0,1000.0,500000.0,False,"{'CPS_Poseidon': 'DEMAND-C', 'CPS_Triton': 'DEMAND-C', 'OSS_Ceto': 'UNASSIGNED'}","{'CPS_Poseidon': 8.63, 'CPS_Triton': 7.57, 'OSS_Ceto': 8.75}","{'CPS_Poseidon': 'green_ammonia', 'CPS_Triton': 'fossil_lng', 'OSS_Ceto': 'fossil_lng'}","CPS_Poseidon: Incompatible fuel green_ammonia for Crown Princess Poseidon (authorized: ['vlsfo', 'fossil_lng', 'bio_methanol']); CPS_Triton: Incompatible fuel fossil_lng for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible fuel fossil_lng for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Mandatory demand DEMAND-A is unfulfilled.; Mandatory demand DEMAND-B is unfulfilled.; Duplicate demand DEMAND-C assigned to 2 vessels (must be exactly 1)."
8,451000.0,1000.0,450000.0,False,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-B'}","{'CPS_Poseidon': 18.83, 'CPS_Triton': 6.48, 'OSS_Ceto': 6.94}","{'CPS_Poseidon': 'green_ammonia', 'CPS_Triton': 'green_ammonia', 'OSS_Ceto': 'fossil_lng'}","CPS_Poseidon: Incompatible fuel green_ammonia for Crown Princess Poseidon (authorized: ['vlsfo', 'fossil_lng', 'bio_methanol']); CPS_Triton: Incompatible fuel green_ammonia for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible fuel fossil_lng for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Duplicate demand DEMAND-B assigned to 2 vessels (must be exactly 1).; Mandatory demand DEMAND-C is unfulfilled."
9,251000.0,1000.0,250000.0,False,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-C', 'OSS_Ceto': 'UNASSIGNED'}","{'CPS_Poseidon': 18.93, 'CPS_Triton': 8.95, 'OSS_Ceto': 10.76}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'fossil_lng'}","CPS_Triton: Cargo demand (3200.0 t) exceeds Coastal Princess Triton deadweight capacity (1800.0 t); OSS_Ceto: Incompatible fuel fossil_lng for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Mandatory demand DEMAND-B is unfulfilled."
10,201000.0,1000.0,200000.0,False,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 15.09, 'CPS_Triton': 9.76, 'OSS_Ceto': 5.66}","{'CPS_Poseidon': 'liquid_hydrogen', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","CPS_Poseidon: Incompatible fuel liquid_hydrogen for Crown Princess Poseidon (authorized: ['vlsfo', 'fossil_lng', 'bio_methanol']); CPS_Triton: Incompatible assignment: Demand DEMAND-A requires luxury passenger cruise vessel, but Coastal Princess Triton is passenger_cruise_small"
