algorithm,evaluation,step,penalized_fitness
DE,50,0,101000.0
DE,100,1,51000.0
DE,150,2,51000.0
DE,200,3,51000.0
DE,250,4,40000.9098
DE,300,5,40000.9098
DE,350,6,40000.9098
DE,400,7,40000.9098
DE,450,8,40000.9098
DE,500,9,40000.9098
DE,550,10,40000.9098
DE,600,11,40000.9098
DE,650,12,40000.9098
DE,700,13,40000.9098
DE,750,14,40000.9098
DE,800,15,40000.8679
DE,850,16,40000.8679
DE,900,17,40000.8679
DE,950,18,40000.8679
DE,1000,19,20001.5673
DE,1050,20,20001.5673
DE,1100,21,20001.5673
DE,1150,22,20001.5673
DE,1200,23,20001.5673
DE,1250,24,20001.5673
DE,1300,25,20001.5673
DE,1350,26,20001.5673
DE,1400,27,20001.5673
DE,1450,28,20001.5673
DE,1500,29,20001.5673
DE,1550,30,20001.5673
DE,1600,31,20001.5673
DE,1650,32,20001.5673
DE,1700,33,20001.5673
DE,1750,34,20001.5673
DE,1800,35,20001.5673
DE,1850,36,20001.5673
DE,1900,37,20001.5673
DE,1950,38,20001.5673
DE,2000,39,20001.4249
DE,2050,40,20001.4249
DE,2100,41,13996.1317
DE,2150,42,13996.1317
DE,2200,43,13996.1317
DE,2250,44,13996.1317
DE,2300,45,13996.1317
DE,2350,46,9818.8552
DE,2400,47,9818.8552
DE,2450,48,7205.8349
DE,2500,49,3573.3674
QPSO,50,0,101000.0
QPSO,100,1,34581.7109
QPSO,150,2,33637.857
QPSO,200,3,33637.857
QPSO,250,4,33637.857
QPSO,300,5,33637.857
QPSO,350,6,33637.857
QPSO,400,7,21610.2847
QPSO,450,8,19352.0286
QPSO,500,9,19352.0286
QPSO,550,10,19352.0286
QPSO,600,11,9893.4831
QPSO,650,12,9893.4831
QPSO,700,13,8023.1794
QPSO,750,14,2052.2328
QPSO,800,15,2052.2328
QPSO,850,16,4.2513
QPSO,900,17,4.2486
QPSO,950,18,4.1415
QPSO,1000,19,4.1415
QPSO,1050,20,4.1415
QPSO,1100,21,4.1156
QPSO,1150,22,4.1156
QPSO,1200,23,4.0795
QPSO,1250,24,4.0795
QPSO,1300,25,4.074
QPSO,1350,26,4.074
QPSO,1400,27,4.074
QPSO,1450,28,4.074
QPSO,1500,29,4.0432
QPSO,1550,30,4.0432
QPSO,1600,31,4.0361
QPSO,1650,32,4.0361
QPSO,1700,33,4.0361
QPSO,1750,34,4.0361
QPSO,1800,35,4.0361
QPSO,1850,36,4.0343
QPSO,1900,37,4.0191
QPSO,1950,38,4.0071
QPSO,2000,39,4.0071
QPSO,2050,40,3.9919
QPSO,2100,41,3.9894
QPSO,2150,42,3.9894
QPSO,2200,43,3.9825
QPSO,2250,44,3.9817
QPSO,2300,45,3.9814
QPSO,2350,46,3.9814
QPSO,2400,47,3.9814
QPSO,2450,48,3.9814
QPSO,2500,49,3.9792
Classical_GA,50,0,101000.0
Classical_GA,100,1,51000.0
Classical_GA,150,2,51000.0
Classical_GA,200,3,47024.8722
Classical_GA,250,4,47024.8722
Classical_GA,300,5,47024.8722
Classical_GA,350,6,40001.1429
Classical_GA,400,7,40001.1402
Classical_GA,450,8,20002.5151
Classical_GA,500,9,20002.4584
Classical_GA,550,10,20002.3413
Classical_GA,600,11,20002.3413
Classical_GA,650,12,20002.3389
Classical_GA,700,13,20002.2952
Classical_GA,750,14,20002.2949
Classical_GA,800,15,20002.2949
Classical_GA,850,16,20002.2596
Classical_GA,900,17,20002.2541
Classical_GA,950,18,20002.2541
Classical_GA,1000,19,20002.2541
Classical_GA,1050,20,20002.2514
Classical_GA,1100,21,20002.2441
Classical_GA,1150,22,20002.2411
Classical_GA,1200,23,20002.2409
Classical_GA,1250,24,20002.2409
Classical_GA,1300,25,20002.2409
Classical_GA,1350,26,20002.2409
Classical_GA,1400,27,12519.728
Classical_GA,1450,28,12519.728
Classical_GA,1500,29,12519.728
Classical_GA,1550,30,12519.728
Classical_GA,1600,31,12519.728
Classical_GA,1650,32,12519.728
Classical_GA,1700,33,12519.728
Classical_GA,1750,34,12519.728
Classical_GA,1800,35,12519.728
Classical_GA,1850,36,12519.728
Classical_GA,1900,37,12519.728
Classical_GA,1950,38,12519.728
Classical_GA,2000,39,12519.728
Classical_GA,2050,40,12519.728
Classical_GA,2100,41,12519.728
Classical_GA,2150,42,12519.728
Classical_GA,2200,43,12519.728
Classical_GA,2250,44,12519.728
Classical_GA,2300,45,12519.728
Classical_GA,2350,46,12519.728
Classical_GA,2400,47,12519.728
Classical_GA,2450,48,12519.728
Classical_GA,2500,49,12519.728
NSGA_III,50,0,101000.0
NSGA_III,100,1,101000.0
