,missing_count,missing_pct
dataset_type,0,0.0
timestamp,0,0.0
vessel_id,0,0.0
vessel_type,0,0.0
sister_group_id,0,0.0
latitude,0,0.0
longitude,0,0.0
sog_kn,0,0.0
stw_kn,0,0.0
draft_m,0,0.0
displacement_t,0,0.0
rpm,0,0.0
shaft_power_kw,0,0.0
shaft_torque_nm,0,0.0
fuel_mass_flow_kg_h,5,0.41562759767248547
wind_speed_ms,0,0.0
wind_direction_deg,0,0.0
wave_height_m,0,0.0
wave_period_s,0,0.0
wave_direction_deg,0,0.0
current_speed_ms,0,0.0
current_direction_deg,0,0.0
water_depth_m,10,0.8312551953449709
cargo_mass_t,0,0.0
cargo_demand_t,0,0.0
engine_load_pct,0,0.0
fuel_type,0,0.0
