ablation_category,variant,test_mae,test_rmse,test_r2
Model Family,A. ML-Only (CONFIG-A),5.6131657816813565,9.595402354466115,0.986164911850433
Model Family,B. ML-Only (No Metocean Environment),5.621637943530902,9.41238602712443,0.9866876413072916
Model Family,C. Physics + ML Residual (alpha tuned),21.39574735937158,30.727819343062187,0.8581207017779345
Model Family,D. Physics + ML Residual + QPSO,21.118304739373446,29.688047047534308,0.867560110677478
Feature Ablation,Without Wind,5.682506380856888,9.455161130617984,0.9865663688819639
Feature Ablation,Without Waves,5.738697995242668,9.501507114401923,0.9864343519410728
Feature Ablation,Without Current,5.605972464698668,9.449466056510609,0.986582546815501
Feature Ablation,Without Draft/Displacement,5.4819875168863925,9.446241914779398,0.986591701277859
Feature Ablation,Without RPM,5.670533308957495,9.55004208826881,0.9862954076693354
Feature Ablation,Without Shaft Power,7.917524762076232,11.700606665148834,0.9794281992086097
Vessel ID Memorization,CONFIG-B (Including vessel_id),5.6813912378871025,9.396299825438634,0.9867331052936057
