seed,optimizer,best_loss,total_evaluations,runtime_seconds,speed_knots,fuel_type,total_fuel_tonnes,total_opex_usd,total_wtw_ghg_tonnes,is_feasible,domain_status
100,QPSO,115003.2758272025,2500,76.695,18.59,bio_methanol,195.95,210402.36,330.6,False,OUT_OF_DOMAIN
100,PSO,115003.2758292106,2500,79.401,18.59,bio_methanol,195.95,210402.49,330.6,False,OUT_OF_DOMAIN
100,GA,115003.27583618271,2500,62.303,18.59,bio_methanol,195.95,210402.94,330.6,False,OUT_OF_DOMAIN
100,DE,115003.27582691576,2500,81.462,18.59,bio_methanol,195.95,210402.34,330.6,False,OUT_OF_DOMAIN
100,Random_Search,115003.2794678075,2500,62.439,18.57,bio_methanol,196.17,210636.19,330.97,False,OUT_OF_DOMAIN
137,QPSO,115003.27582673485,2500,72.275,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
137,PSO,115003.27582968301,2500,59.504,18.59,bio_methanol,195.95,210402.52,330.6,False,OUT_OF_DOMAIN
137,GA,115003.27594393709,2500,73.963,18.59,bio_methanol,195.96,210409.86,330.61,False,OUT_OF_DOMAIN
137,DE,115003.27582657308,2500,74.718,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
137,Random_Search,115003.27862343185,2500,74.32,18.58,bio_methanol,196.12,210581.96,330.88,False,OUT_OF_DOMAIN
174,QPSO,115003.2758266504,2500,75.104,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
174,PSO,115003.27582673247,2500,74.051,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
174,GA,115003.27724561245,2500,73.382,18.58,bio_methanol,196.04,210493.46,330.74,False,OUT_OF_DOMAIN
174,DE,115003.27582684999,2500,81.387,18.59,bio_methanol,195.95,210402.34,330.6,False,OUT_OF_DOMAIN
174,Random_Search,115003.27809535123,2500,81.2,18.58,bio_methanol,196.09,210548.04,330.83,False,OUT_OF_DOMAIN
211,QPSO,115003.27582657331,2500,49.995,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
211,PSO,115003.27583059784,2500,37.318,18.59,bio_methanol,195.95,210402.58,330.6,False,OUT_OF_DOMAIN
211,GA,115003.27595547939,2500,37.057,18.59,bio_methanol,195.96,210410.6,330.61,False,OUT_OF_DOMAIN
211,DE,115003.27582668785,2500,37.141,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
211,Random_Search,115003.27887384169,2500,36.497,18.58,bio_methanol,196.13,210598.05,330.91,False,OUT_OF_DOMAIN
248,QPSO,115003.27582665617,2500,36.524,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
248,PSO,115003.27582664091,2500,36.43,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
248,GA,115003.27618988599,2500,36.767,18.59,bio_methanol,195.97,210425.66,330.64,False,OUT_OF_DOMAIN
248,DE,115003.27582665067,2500,36.742,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
