solution_id,speed_knots,cargo_tonnes,fuel_type,total_fuel_tonnes,total_opex_usd,total_wtw_ghg_tonnes,voyage_duration_hours,schedule_delay_hours,uncertainty_risk_tonnes,cii_rating,fueleu_compliant,domain_status,is_feasible,pareto_rank
SOL_000,18.59,84.7,bio_methanol,195.95,210402.54,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,7
SOL_001,18.59,772.1,bio_methanol,195.95,210402.53,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,6
SOL_002,18.59,480.8,bio_methanol,195.95,210402.37,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,3
SOL_003,18.59,341.7,bio_methanol,195.95,210403.24,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,18
SOL_004,18.59,704.3,bio_methanol,195.95,210404.87,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,28
SOL_005,18.59,330.0,bio_methanol,195.95,210402.52,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,5
SOL_006,18.59,120.3,bio_methanol,195.95,210404.25,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,23
SOL_007,18.59,930.7,bio_methanol,195.95,210404.67,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,25
SOL_008,18.59,711.2,bio_methanol,195.95,210403.17,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,16
SOL_009,18.59,114.3,bio_methanol,195.96,210407.2,330.61,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,32
SOL_010,18.59,379.3,bio_methanol,195.95,210402.77,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,12
SOL_011,18.59,346.5,bio_methanol,195.95,210402.44,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,4
SOL_012,18.59,257.0,bio_methanol,195.95,210402.55,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,8
SOL_013,18.59,180.2,bio_methanol,195.95,210402.54,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,7
SOL_014,18.59,752.1,bio_methanol,195.95,210403.52,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,20
SOL_015,18.59,879.2,bio_methanol,195.95,210402.91,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,14
SOL_016,18.59,213.3,bio_methanol,195.95,210405.83,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,29
SOL_017,18.59,311.4,bio_methanol,195.95,210403.21,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,17
SOL_018,18.59,517.0,bio_methanol,195.95,210402.88,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,13
SOL_019,18.59,124.7,bio_methanol,195.96,210407.19,330.61,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,31
SOL_020,18.59,163.9,bio_methanol,195.95,210403.28,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,19
SOL_021,18.59,361.3,bio_methanol,195.96,210410.39,330.61,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,34
SOL_022,18.59,888.6,bio_methanol,195.95,210402.44,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,4
SOL_023,18.59,616.6,bio_methanol,195.95,210402.61,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,11
SOL_024,18.59,0.0,bio_methanol,195.95,210402.32,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,0
SOL_025,18.59,394.6,bio_methanol,195.95,213245.71,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,44
SOL_026,18.59,713.4,bio_methanol,195.95,210403.53,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,21
SOL_027,18.59,808.7,bio_methanol,195.95,210402.35,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,2
SOL_028,18.59,86.4,bio_methanol,195.95,213242.45,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,33
SOL_029,18.59,188.0,bio_methanol,195.95,213243.04,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,38
SOL_030,18.59,829.2,bio_methanol,195.95,213242.59,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,36
SOL_031,18.59,884.7,bio_methanol,195.95,213242.43,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,32
SOL_032,18.59,499.6,bio_methanol,195.95,213242.54,330.6,26.3,0.0,27.23,E,True,OUT_OF_DOMAIN,False,35
