optimizer,seed,total_objective,physical_objective,fuel_component,cost_component,ghg_component,delay_component,risk_component,domain_penalty,constraint_penalty,regulatory_penalty,other_penalty,feasible,domain_status,constraint_status
QPSO,100,115003.2758272,3.2758272,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,100,115003.27582921,3.27582921,1.1757,1.262415,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,100,115003.27583618,3.27583618,1.1757,1.262418,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,100,115003.27582692,3.27582692,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,100,115003.27946781,3.27946781,1.17702,1.263817,0.551617,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,137,115003.27582673,3.27582673,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,137,115003.27582968,3.27582968,1.1757,1.262415,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,137,115003.27594394,3.27594394,1.17576,1.262459,0.551017,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,137,115003.27582657,3.27582657,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,137,115003.27862343,3.27862343,1.17672,1.263492,0.551467,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,174,115003.27582665,3.27582665,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,174,115003.27582673,3.27582673,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,174,115003.27724561,3.27724561,1.17624,1.262961,0.551233,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,174,115003.27582685,3.27582685,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,174,115003.27809535,3.27809535,1.17654,1.263288,0.551383,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,211,115003.27582657,3.27582657,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,211,115003.2758306,3.2758306,1.1757,1.262415,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,211,115003.27595548,3.27595548,1.17576,1.262464,0.551017,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,211,115003.27582669,3.27582669,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,211,115003.27887384,3.27887384,1.17678,1.263588,0.551517,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,248,115003.27582666,3.27582666,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,248,115003.27582664,3.27582664,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,248,115003.27618989,3.27618989,1.17582,1.262554,0.551067,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,248,115003.27582665,3.27582665,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,248,115003.28667217,3.28667217,1.1796,1.266594,0.552817,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,285,115003.27582707,3.27582707,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,285,115003.29287196,3.29287196,1.1757,1.279456,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,285,115003.27583854,3.27583854,1.1757,1.262419,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,285,115003.27582657,3.27582657,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,285,115003.27683028,3.27683028,1.17606,1.262801,0.551167,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,322,115003.27582813,3.27582813,1.1757,1.262415,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,322,115003.27582682,3.27582682,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,322,115003.27625046,3.27625046,1.17588,1.262577,0.551067,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,322,115003.27582658,3.27582658,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,322,115003.27789011,3.27789011,1.17642,1.263209,0.55135,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,359,115003.27582759,3.27582759,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,359,115003.2758322,3.2758322,1.1757,1.262416,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,359,115003.27591804,3.27591804,1.17576,1.262449,0.551017,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,359,115003.27582665,3.27582665,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,359,115003.28232601,3.28232601,1.17804,1.264919,0.552083,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,396,115003.27582665,3.27582665,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,396,115003.27582684,3.27582684,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,396,115003.27627878,3.27627878,1.17588,1.262588,0.551067,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,396,115003.27582665,3.27582665,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,396,115003.28186741,3.28186741,1.17786,1.264742,0.552017,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,433,115003.2758267,3.2758267,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,433,115003.27582722,3.27582722,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,433,115003.27595606,3.27595606,1.17576,1.262464,0.551017,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,433,115003.27582657,3.27582657,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,433,115003.27920156,3.27920156,1.1769,1.263715,0.551567,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,470,115003.27582658,3.27582658,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,470,115003.27583571,3.27583571,1.1757,1.262417,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,470,115003.27584317,3.27584317,1.1757,1.26242,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,470,115003.27582657,3.27582657,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,470,115003.30369866,3.30369866,1.1796,1.283628,0.552817,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,507,115003.27582666,3.27582666,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
