sweep_parameter,parameter_value,optimal_speed_knots,optimal_fuel,total_fuel_tonnes,total_opex_usd,total_wtw_ghg_tonnes,schedule_delay_hours
fuel_price_usd_tonne,400.0,18.59,bio_methanol,195.95,210402.57,330.6,0.0
fuel_price_usd_tonne,600.0,18.59,bio_methanol,195.95,210402.57,330.6,0.0
fuel_price_usd_tonne,800.0,18.59,bio_methanol,195.95,210402.93,330.6,0.0
fuel_price_usd_tonne,1000.0,18.59,bio_methanol,195.95,210402.93,330.6,0.0
fuel_price_usd_tonne,1200.0,18.59,bio_methanol,195.95,210402.93,330.6,0.0
carbon_price_usd_tonne,0.0,18.59,bio_methanol,195.95,186153.61,330.6,0.0
carbon_price_usd_tonne,45.0,18.59,bio_methanol,195.95,198278.09,330.6,0.0
carbon_price_usd_tonne,90.0,18.59,bio_methanol,195.95,210402.57,330.6,0.0
carbon_price_usd_tonne,135.0,18.59,bio_methanol,195.95,222527.24,330.6,0.0
carbon_price_usd_tonne,180.0,18.59,bio_methanol,195.95,234651.73,330.6,0.0
wave_height_m,0.5,18.08,bio_methanol,191.56,205687.26,323.19,0.0
wave_height_m,1.5,18.42,bio_methanol,195.45,209867.78,329.76,0.0
wave_height_m,2.5,18.77,bio_methanol,195.86,210302.19,330.44,0.0
wave_height_m,3.5,19.13,bio_methanol,196.06,210515.84,330.78,0.0
wave_height_m,4.5,19.51,bio_methanol,196.06,210516.06,330.78,0.0
risk_lambda,0.0,18.59,bio_methanol,195.95,210402.57,330.6,0.0
risk_lambda,0.25,18.59,bio_methanol,195.95,210402.57,330.6,0.0
risk_lambda,0.5,18.59,bio_methanol,195.95,210402.57,330.6,0.0
risk_lambda,1.0,18.59,bio_methanol,195.95,210402.57,330.6,0.0
risk_lambda,2.0,18.59,bio_methanol,195.95,210402.57,330.6,0.0
