experiment_id,timestamp,git_commit,data_source,scenario_id,scenario_name,vessel_id,policy_id,speed_knots,fuel_type,total_fuel_tonnes,total_opex_usd,fuel_cost_usd,carbon_cost_usd,schedule_penalty_usd,fueleu_penalty_usd,total_wtw_ghg_tonnes,voyage_duration_hours,schedule_delay_hours,uncertainty_risk_tonnes,cii_rating,fueleu_compliant,domain_status,is_feasible,total_penalty_value,fitness
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-01,North Sea Cruise Transit,CPS_Poseidon,BASELINE-1,21.5,vlsfo,114.63,112607.66,71071.79,32126.74,0.0,9409.13,424.98,22.88,0.0,8.61,NOT_EVALUABLE,False,VALID,True,2500.0,2502.1004
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-01,North Sea Cruise Transit,CPS_Poseidon,BASELINE-2,19.5,vlsfo,124.62,122419.53,77264.51,34926.05,0.0,10228.97,462.01,25.12,0.0,12.98,NOT_EVALUABLE,False,VALID,True,2500.0,2502.2955
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-01,North Sea Cruise Transit,CPS_Poseidon,BASELINE-3,17.307692307692307,vlsfo,105.74,106886.95,65558.98,29634.77,173.91,8679.29,392.01,28.17,0.17,11.75,NOT_EVALUABLE,False,VALID,True,2572.53,2574.4968
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-01,North Sea Cruise Transit,CPS_Poseidon,BASELINE-4,15.75,vlsfo,100.41,104341.8,62256.4,28141.9,2861.44,8242.06,372.27,30.86,2.86,19.62,NOT_EVALUABLE,False,VALID,True,7340.36,7342.3026
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-01,North Sea Cruise Transit,CPS_Poseidon,BASELINE-5,12.0,bio_methanol,178.46,206650.38,169533.3,22083.94,12193.14,0.0,301.08,40.19,12.19,35.77,NOT_EVALUABLE,True,VALID,True,42576.85,42579.9052
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-01,North Sea Cruise Transit,CPS_Poseidon,BASELINE-6,14.809050891355218,vlsfo,96.36,102259.26,59744.5,27006.44,4758.8,7909.52,357.25,32.76,4.76,20.98,NOT_EVALUABLE,False,VALID,True,12881.18,12883.0806
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-02,Atlantic Cruise Crossing,CPS_Poseidon,BASELINE-1,21.5,vlsfo,314.57,309011.96,195031.44,88160.5,0.0,25820.02,1166.2,61.64,0.0,24.66,NOT_EVALUABLE,False,OUT_OF_DOMAIN,False,300510.34,300516.1044
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-02,Atlantic Cruise Crossing,CPS_Poseidon,BASELINE-2,19.5,vlsfo,266.78,262069.5,165403.92,74767.91,0.0,21897.67,989.04,67.86,0.0,81.46,NOT_EVALUABLE,False,OUT_OF_DOMAIN,False,300510.34,300515.4301
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-02,Atlantic Cruise Crossing,CPS_Poseidon,BASELINE-3,17.142857142857142,vlsfo,256.95,260302.69,159306.62,72011.73,5053.89,21090.45,952.58,77.05,5.05,77.9,NOT_EVALUABLE,False,OUT_OF_DOMAIN,False,311871.91,311876.9157
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-02,Atlantic Cruise Crossing,CPS_Poseidon,BASELINE-4,15.75,vlsfo,260.31,270336.26,161394.27,72955.42,11779.74,21366.83,965.07,83.78,11.78,83.82,NOT_EVALUABLE,False,OUT_OF_DOMAIN,False,340940.34,340945.529
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-02,Atlantic Cruise Crossing,CPS_Poseidon,BASELINE-5,12.0,bio_methanol,484.97,561228.06,460724.25,60015.4,37648.41,0.0,818.22,109.65,37.65,152.64,NOT_EVALUABLE,True,OUT_OF_DOMAIN,False,529014.62,529023.1418
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-02,Atlantic Cruise Crossing,CPS_Poseidon,BASELINE-6,14.809050891355218,vlsfo,241.85,257457.87,149946.48,67780.65,17039.47,19851.27,896.61,89.04,17.04,62.3,NOT_EVALUABLE,False,OUT_OF_DOMAIN,False,370847.37,370852.2398
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-03,Offshore Supply Station,OSS_Ceto,BASELINE-1,14.5,vlsfo,18.2,17877.51,11283.3,5100.42,0.0,1493.79,67.47,9.55,0.0,1.44,NOT_APPLICABLE,False,OUT_OF_DOMAIN,False,103600.52,103600.856
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-03,Offshore Supply Station,OSS_Ceto,BASELINE-2,12.0,vlsfo,16.84,16541.26,10439.94,4719.19,0.0,1382.13,62.43,11.33,0.0,5.45,NOT_APPLICABLE,False,VALID,True,2500.0,2500.3225
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-03,Offshore Supply Station,OSS_Ceto,BASELINE-3,10.0,vlsfo,13.36,13908.38,8280.86,3743.22,0.0,1096.3,49.52,13.4,0.0,10.85,NOT_APPLICABLE,False,VALID,True,2500.0,2500.2823
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-03,Offshore Supply Station,OSS_Ceto,BASELINE-4,10.0,vlsfo,13.36,13908.38,8280.86,3743.22,0.0,1096.3,49.52,13.4,0.0,10.85,NOT_APPLICABLE,False,VALID,True,2500.0,2500.2823
EXP-OPT-01-PHASE3_2,2026-09-13T22:48:23.733275+00:00,20309b214b9540a7363b7365e442a222cd9c49a1,REAL_FUELCAST,SCEN-03,Offshore Supply Station,OSS_Ceto,BASELINE-5,8.0,bio_methanol,32.97,38693.52,31323.02,4080.23,2502.27,0.0,55.63,16.5,2.5,4.77,NOT_APPLICABLE,True,VALID,True,3958.24,3958.8044
