seed,optimizer,physical_objective,penalty_value,total_objective,physical_fraction,penalty_fraction,is_penalty_dominated,is_feasible,domain_status
100,DE,3.2758,0.0,3.275826915759734,1.0,0.0,False,True,VALID
137,DE,3.2758,0.0,3.275826573079509,1.0,0.0,False,True,VALID
174,DE,3.2758,0.0,3.2758268499944565,1.0,0.0,False,True,VALID
211,DE,3.2758,0.0,3.2758266878511564,1.0,0.0,False,True,VALID
248,DE,3.2758,0.0,3.2758266506756857,1.0,0.0,False,True,VALID
285,DE,3.2758,0.0,3.2758265731454386,1.0,0.0,False,True,VALID
322,DE,3.2758,0.0,3.275826578951965,1.0,0.0,False,True,VALID
359,DE,3.2758,0.0,3.275826651614791,1.0,0.0,False,True,VALID
396,DE,3.2758,0.0,3.2758266467964443,1.0,0.0,False,True,VALID
433,DE,3.2758,0.0,3.275826567254572,1.0,0.0,False,True,VALID
470,DE,3.2758,0.0,3.2758265743937365,1.0,0.0,False,True,VALID
507,DE,3.2758,0.0,3.275826876018104,1.0,0.0,False,True,VALID
544,DE,3.2758,0.0,3.275826662389022,1.0,0.0,False,True,VALID
581,DE,3.2758,0.0,3.275826646458326,1.0,0.0,False,True,VALID
618,DE,3.2758,0.0,3.275826689078967,1.0,0.0,False,True,VALID
655,DE,3.2758,0.0,3.275826570958142,1.0,0.0,False,True,VALID
692,DE,3.2758,0.0,3.2758266426763383,1.0,0.0,False,True,VALID
729,DE,3.2758,0.0,3.2758266490903063,1.0,0.0,False,True,VALID
766,DE,3.2758,0.0,3.275826650978221,1.0,0.0,False,True,VALID
803,DE,3.2758,0.0,3.275826569056166,1.0,0.0,False,True,VALID
840,DE,3.2758,0.0,3.2758265725038958,1.0,0.0,False,True,VALID
877,DE,3.2758,0.0,3.275826678069288,1.0,0.0,False,True,VALID
914,DE,3.2758,0.0,3.275826568722459,1.0,0.0,False,True,VALID
951,DE,3.2758,0.0,3.2758265677834197,1.0,0.0,False,True,VALID
988,DE,3.2758,0.0,3.275826742503384,1.0,0.0,False,True,VALID
