seed,optimizer,best_loss,best_physical_objective,penalty,penalty_fraction,total_evaluations,runtime_seconds,speed_knots,cargo_tonnes,fuel_type,operating_mode,use_shore_power,total_fuel_tonnes,total_opex_usd,total_wtw_ghg_tonnes,voyage_duration_hours,schedule_delay_hours,uncertainty_risk_tonnes,cii_rating,fueleu_compliant,domain_status,is_feasible,convergence_history
100,DE,3.275826915759734,3.2758,0.0,0.0,2500,148.538,18.59,696.7,bio_methanol,maneuvering,False,195.95,210402.34,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[4.114571633347294, 3.8066795321497167, 3.8066795321497167, 3.358995880652983, 3.300226595448197, 3.283186595448197, 3.283186595448197, 3.283186595448197, 3.283186595448197, 3.2825612145813023, 3.2825612145813023, 3.2825612145813023, 3.2825612145813023, 3.2825612145813023, 3.2825612145813023, 3.2825612145813023, 3.2763843525000125, 3.2763843525000125, 3.2763843525000125, 3.275896958753994, 3.275896958753994, 3.275896958753994, 3.275896958753994, 3.275896958753994, 3.275896958753994, 3.275896958753994, 3.275896958753994, 3.275896958753994, 3.275896958753994, 3.2758938914318847, 3.2758437790728596, 3.2758437790728596, 3.2758437790728596, 3.2758437790728596, 3.2758437790728596, 3.2758437790728596, 3.2758437790728596, 3.2758304330084664, 3.2758304330084664, 3.2758304330084664, 3.2758286162758012, 3.2758286162758012, 3.2758282150614946, 3.2758275597153457, 3.2758275597153457, 3.2758275597153457, 3.275827154550895, 3.275827154550895, 3.275826915759734, 3.275826915759734]"
137,DE,3.275826573079509,3.2758,0.0,0.0,2500,157.069,18.59,741.2,bio_methanol,transit,False,195.95,210402.32,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.4303502414681364, 3.320290061755986, 3.320290061755986, 3.2932373193176634, 3.2932373193176634, 3.2932373193176634, 3.2932373193176634, 3.293113070825298, 3.2788134824078035, 3.2788134824078035, 3.2760730708252983, 3.2760730708252983, 3.2760730708252983, 3.2760730708252983, 3.2760730708252983, 3.2760730708252983, 3.2760730708252983, 3.2760730708252983, 3.2760730708252983, 3.2759932986088973, 3.2759932986088973, 3.2759932986088973, 3.27594037776158, 3.27594037776158, 3.2758562458102087, 3.2758562458102087, 3.2758562458102087, 3.2758562458102087, 3.2758562458102087, 3.2758520892513605, 3.275841962653922, 3.275834008363755, 3.275834008363755, 3.2758281034152232, 3.2758281034152232, 3.2758281034152232, 3.2758270398164786, 3.275826741672652, 3.275826733618734, 3.275826733618734, 3.275826733618734, 3.275826573079509, 3.275826573079509, 3.275826573079509, 3.275826573079509, 3.275826573079509, 3.275826573079509, 3.275826573079509, 3.275826573079509, 3.275826573079509]"
174,DE,3.2758268499944565,3.2758,0.0,0.0,2500,200.99,18.59,897.8,bio_methanol,maneuvering,False,195.95,210402.34,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.925830079955851, 3.828065446531618, 3.2997994274556386, 3.2997994274556386, 3.2997994274556386, 3.2997994274556386, 3.2997994274556386, 3.2997994274556386, 3.2821481713573677, 3.2821481713573677, 3.2821481713573677, 3.2813088633284155, 3.2813088633284155, 3.2813088633284155, 3.2813088633284155, 3.2760831094183707, 3.2760831094183707, 3.2760831094183707, 3.2760831094183707, 3.275933987945058, 3.275866074899576, 3.275863469778624, 3.275863469778624, 3.275863469778624, 3.275830526851485, 3.275830526851485, 3.275830526851485, 3.275830526851485, 3.275830526851485, 3.275830526851485, 3.275830526851485, 3.275830526851485, 3.275830526851485, 3.275830526851485, 3.275830526851485, 3.275830526851485, 3.275830526851485, 3.2758279127709438, 3.2758279127709438, 3.27582781380132, 3.27582781380132, 3.27582781380132, 3.2758268499944565, 3.2758268499944565, 3.2758268499944565, 3.2758268499944565, 3.2758268499944565, 3.2758268499944565, 3.2758268499944565, 3.2758268499944565]"
211,DE,3.2758266878511564,3.2758,0.0,0.0,2500,220.238,18.59,216.9,bio_methanol,maneuvering,False,195.95,210402.33,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.4099401983165145, 3.2937610372795594, 3.2937610372795594, 3.2937610372795594, 3.2937610372795594, 3.2937610372795594, 3.2937610372795594, 3.2937610372795594, 3.2816670509287076, 3.2816670509287076, 3.276721037279559, 3.276721037279559, 3.2766539148319977, 3.2766539148319977, 3.2766539148319977, 3.2766539148319977, 3.2766539148319977, 3.2766539148319977, 3.2766539148319977, 3.276389484817642, 3.2762908894259306, 3.2762908894259306, 3.2762908894259306, 3.2761230016016434, 3.2761230016016434, 3.276005645563405, 3.276005645563405, 3.276005645563405, 3.276005645563405, 3.275905506393204, 3.275905506393204, 3.2758659074432224, 3.2758354349163517, 3.275833924062048, 3.2758272513949276, 3.2758272513949276, 3.2758272513949276, 3.2758272513949276, 3.2758272513949276, 3.2758272513949276, 3.2758272513949276, 3.2758272513949276, 3.2758269786532606, 3.2758269786532606, 3.2758269786532606, 3.2758269786532606, 3.2758269786532606, 3.2758268105343924, 3.2758268105343924, 3.2758266878511564]"
248,DE,3.2758266506756857,3.2758,0.0,0.0,2500,227.906,18.59,399.2,bio_methanol,maneuvering,False,195.95,210402.33,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.478488923366948, 3.3214619226912525, 3.3214619226912525, 3.2969716311038453, 3.2969716311038453, 3.2969716311038453, 3.2969716311038453, 3.2870165313658277, 3.2870165313658277, 3.2796866999502816, 3.279244665583863, 3.2780787604508737, 3.277363242485202, 3.2760384466765444, 3.2760384466765444, 3.2759164588125858, 3.2759164588125858, 3.2759164588125858, 3.2759164588125858, 3.2759164588125858, 3.2759164588125858, 3.2759164588125858, 3.2759164588125858, 3.2759164588125858, 3.2759164588125858, 3.2759164588125858, 3.2758620839999075, 3.2758620839999075, 3.2758430820466042, 3.2758430820466042, 3.2758430820466042, 3.2758397648878788, 3.2758340968939814, 3.2758340968939814, 3.2758311234291164, 3.2758267324216166, 3.2758267324216166, 3.2758267324216166, 3.2758267324216166, 3.2758267324216166, 3.2758267324216166, 3.275826724083428, 3.2758266886856537, 3.2758266709979162, 3.2758266709979162, 3.2758266709979162, 3.2758266709979162, 3.2758266538936662, 3.2758266506756857, 3.2758266506756857]"
285,DE,3.2758265731454386,3.2758,0.0,0.0,2500,236.928,18.59,401.6,bio_methanol,transit,False,195.95,210402.32,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.4442730336799783, 3.3224636968215298, 3.3224636968215298, 3.3224636968215298, 3.299063977566129, 3.299063977566129, 3.299063977566129, 3.294746802491446, 3.291889147536708, 3.2789848006363664, 3.2789848006363664, 3.275873855574064, 3.275873855574064, 3.275873855574064, 3.275873855574064, 3.275873855574064, 3.275830601294303, 3.275830601294303, 3.275830601294303, 3.275830601294303, 3.275830601294303, 3.275827744017316, 3.275827744017316, 3.275827744017316, 3.275827744017316, 3.275827744017316, 3.275827744017316, 3.275827744017316, 3.275827744017316, 3.27582759801935, 3.27582759801935, 3.27582759801935, 3.27582759801935, 3.2758269943004894, 3.2758269943004894, 3.2758269943004894, 3.2758268631288474, 3.2758268631288474, 3.2758268631288474, 3.2758268631288474, 3.2758268631288474, 3.2758268631288474, 3.2758268631288474, 3.2758268631288474, 3.2758268631288474, 3.2758268631288474, 3.2758268631288474, 3.2758265742735664, 3.2758265731454386, 3.2758265731454386]"
322,DE,3.275826578951965,3.2758,0.0,0.0,2500,250.631,18.59,0.0,bio_methanol,maneuvering,False,195.95,210402.32,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.333378243662939, 3.333378243662939, 3.333378243662939, 3.333378243662939, 3.333378243662939, 3.2973865480956954, 3.2973865480956954, 3.2849372189609336, 3.2849372189609336, 3.2849372189609336, 3.2849372189609336, 3.280260928970354, 3.280260928970354, 3.280260928970354, 3.2797922029289666, 3.276691261845208, 3.2764530265335257, 3.2762196172654097, 3.2762196172654097, 3.2762196172654097, 3.2762196172654097, 3.2762196172654097, 3.2762196172654097, 3.2759660755517688, 3.2759660755517688, 3.2759660755517688, 3.2759200059104834, 3.2759200059104834, 3.275870615740281, 3.275870615740281, 3.2758694663637304, 3.2758577905254906, 3.2758369565279866, 3.2758369565279866, 3.2758298709315823, 3.2758298709315823, 3.275826578951965, 3.275826578951965, 3.275826578951965, 3.275826578951965, 3.275826578951965, 3.275826578951965, 3.275826578951965, 3.275826578951965, 3.275826578951965, 3.275826578951965, 3.275826578951965, 3.275826578951965, 3.275826578951965, 3.275826578951965]"
359,DE,3.275826651614791,3.2758,0.0,0.0,2500,253.417,18.59,224.0,bio_methanol,maneuvering,False,195.95,210402.33,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.364739236233699, 3.364739236233699, 3.364739236233699, 3.352807125271162, 3.333444901109722, 3.320042520033436, 3.2853551571451356, 3.2853551571451356, 3.2853551571451356, 3.2853551571451356, 3.2853551571451356, 3.2853551571451356, 3.2853551571451356, 3.2796475965414276, 3.2796475965414276, 3.2796475965414276, 3.2796475965414276, 3.27597915448482, 3.27597915448482, 3.27597915448482, 3.27597915448482, 3.27597915448482, 3.27597915448482, 3.27597915448482, 3.27597915448482, 3.27586965606796, 3.27583409592037, 3.27583409592037, 3.27583409592037, 3.27583409592037, 3.27583409592037, 3.275832661802281, 3.275832661802281, 3.275832661802281, 3.2758284530138138, 3.2758284530138138, 3.2758284530138138, 3.2758270176920496, 3.2758270176920496, 3.2758270176920496, 3.2758270176920496, 3.2758270176920496, 3.2758270176920496, 3.2758270176920496, 3.2758270176920496, 3.2758270176920496, 3.275826817175856, 3.275826817175856, 3.275826651614791, 3.275826651614791]"
396,DE,3.2758266467964443,3.2758,0.0,0.0,2500,258.973,18.59,1000.0,bio_methanol,maneuvering,False,195.95,210402.33,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.330750639583462, 3.330750639583462, 3.330750639583462, 3.3150301184510393, 3.313710639583462, 3.2934846502093067, 3.293340605991173, 3.293340605991173, 3.293340605991173, 3.2767457684405756, 3.2767457684405756, 3.2767457684405756, 3.2767457684405756, 3.2767457684405756, 3.2763006059911723, 3.2763006059911723, 3.2763006059911723, 3.2763006059911723, 3.2763006059911723, 3.2763006059911723, 3.276047692574822, 3.276047692574822, 3.276047692574822, 3.2758487178224263, 3.2758487178224263, 3.2758487178224263, 3.2758487178224263, 3.2758487178224263, 3.275840573230657, 3.275840573230657, 3.275840573230657, 3.2758302875155487, 3.2758300165746554, 3.2758300165746554, 3.2758281055207696, 3.2758281055207696, 3.2758279811981965, 3.275827762586494, 3.275827762586494, 3.275827762586494, 3.2758271929723892, 3.2758270067147026, 3.2758266774721205, 3.2758266709348405, 3.2758266709348405, 3.2758266467964443, 3.2758266467964443, 3.2758266467964443, 3.2758266467964443, 3.2758266467964443]"
433,DE,3.275826567254572,3.2758,0.0,0.0,2500,277.504,18.59,174.3,bio_methanol,maneuvering,False,195.95,210402.32,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True,VALID,True,"[3.5011746235335415, 3.4060033255467674, 3.2980075487993936, 3.2972440201713544, 3.296710595259067, 3.279070992062373, 3.279070992062373, 3.279070992062373, 3.279070992062373, 3.279070992062373, 3.279070992062373, 3.279070992062373, 3.279070992062373, 3.279070992062373, 3.279070992062373, 3.279070992062373, 3.275972258154824, 3.275972258154824, 3.275972258154824, 3.275972258154824, 3.275972258154824, 3.275972258154824, 3.2758302026337844, 3.2758302026337844, 3.2758302026337844, 3.2758302026337844, 3.2758302026337844, 3.2758302026337844, 3.2758302026337844, 3.2758302026337844, 3.275829684293748, 3.275829684293748, 3.275826829063137, 3.275826829063137, 3.275826829063137, 3.275826829063137, 3.275826686244814, 3.275826686244814, 3.275826686244814, 3.275826651168602, 3.275826651168602, 3.275826651168602, 3.2758266482013645, 3.2758266482013645, 3.2758266482013645, 3.2758265680282697, 3.2758265680282697, 3.2758265680282697, 3.2758265680282697, 3.275826567254572]"
