sweep_parameter,parameter_value,optimal_speed_kn,optimal_fuel,fuel_tonnes,opex_usd,ghg_tonnes,loss
fuel_price_usd_tonne,400.0,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
fuel_price_usd_tonne,550.0,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
fuel_price_usd_tonne,700.0,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
fuel_price_usd_tonne,850.0,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
fuel_price_usd_tonne,1000.0,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
carbon_price_usd_tonne,0.0,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
carbon_price_usd_tonne,50.0,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
carbon_price_usd_tonne,90.0,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
carbon_price_usd_tonne,150.0,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
carbon_price_usd_tonne,250.0,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
wave_height_m,1.0,18.25,bio_methanol,191.98,206143.2,323.91,3.2107
wave_height_m,2.0,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
wave_height_m,3.0,18.95,bio_methanol,196.06,210520.25,330.78,3.2815
wave_height_m,4.0,19.32,bio_methanol,196.06,210516.59,330.78,100671.1715
wave_height_m,5.0,19.71,bio_methanol,196.06,210515.33,330.78,108092.1215
deadline_hours,24.0,21.64,bio_methanol,230.01,246968.03,388.05,3.7688
deadline_hours,28.0,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
deadline_hours,32.0,16.53,bio_methanol,195.47,209888.91,329.79,3.2593
deadline_hours,36.0,13.56,bio_methanol,171.49,184134.87,289.33,2.819
deadline_hours,40.0,13.55,bio_methanol,171.55,184202.72,289.43,2.82
risk_lambda,0.0,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
risk_lambda,0.25,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
risk_lambda,0.5,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
risk_lambda,0.75,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
risk_lambda,1.0,18.59,bio_methanol,195.95,210402.63,330.6,3.2758
