run_id,optimizer,seed,assigned_demands,fuel_decisions,speed_decisions,shore_power_decisions
QPSO_seed_1001,QPSO,1001,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.147929805235307, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.97926460453585}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': False}"
QPSO_seed_1002,QPSO,1002,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.373488428867425, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.784323082951714}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': False}"
QPSO_seed_1003,QPSO,1003,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 21.368591865109344, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.852015788717456}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': True}"
QPSO_seed_1004,QPSO,1004,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 11.964193130053735, 'CPS_Triton': 15.861104914461015, 'OSS_Ceto': 12.018260343263677}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': False}"
QPSO_seed_1005,QPSO,1005,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'UNASSIGNED'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 12.481663840463822, 'CPS_Triton': 11.461497483399212, 'OSS_Ceto': 9.046596151005522}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': True}"
QPSO_seed_1006,QPSO,1006,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.13508319304565, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.954523886202255}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': True}"
QPSO_seed_1007,QPSO,1007,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 19.15625952884223, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.949946004560273}","{'CPS_Poseidon': False, 'CPS_Triton': True, 'OSS_Ceto': True}"
QPSO_seed_1008,QPSO,1008,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.137670777422823, 'CPS_Triton': 17.976767116413356, 'OSS_Ceto': 11.851086735212375}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': False}"
QPSO_seed_1009,QPSO,1009,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.13736326200007, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.95054208112167}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': True}"
QPSO_seed_1010,QPSO,1010,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.14750890434641, 'CPS_Triton': 15.94718096529562, 'OSS_Ceto': 11.933653338644918}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': True}"
QPSO_seed_1011,QPSO,1011,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.29642448220589, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.703023106730315}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': True}"
QPSO_seed_1012,QPSO,1012,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.137518437097135, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.65933595291216}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': False}"
QPSO_seed_1013,QPSO,1013,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.15542018952933, 'CPS_Triton': 16.361460441011324, 'OSS_Ceto': 11.853817921887146}","{'CPS_Poseidon': False, 'CPS_Triton': False, 'OSS_Ceto': False}"
QPSO_seed_1014,QPSO,1014,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.146324746387126, 'CPS_Triton': 10.838402906103564, 'OSS_Ceto': 11.95557449377391}","{'CPS_Poseidon': True, 'CPS_Triton': False, 'OSS_Ceto': False}"
QPSO_seed_1015,QPSO,1015,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.152754266494327, 'CPS_Triton': 15.896276746268075, 'OSS_Ceto': 11.8866619300716}","{'CPS_Poseidon': True, 'CPS_Triton': False, 'OSS_Ceto': False}"
