sweep_category,sweep_variable,sweep_value,stw_kn,shaft_power_kw,draft_m,wave_height_m,wind_speed_ms,predicted_fuel_ml,lower_bound_q05,upper_bound_q95,uncertainty_width,physics_reference_fuel,physics_ml_disagreement,domain_status,envelope_distance,confidence_risk_flag
One-Factor,stw_kn,10.0,10.0,1025.390625,8.05,1.5,7.5,300.81914106268766,193.33713249675813,314.7343906318281,121.39725813506996,300.08574778308025,0.7333932796074123,NEAR_BOUNDARY,0.0,CAUTION
One-Factor,stw_kn,11.0,11.0,1364.794921875,8.05,1.5,7.5,316.42141240517884,236.56859735332014,314.7343906318281,78.16579327850795,343.30240680008546,26.880994394906622,NEAR_BOUNDARY,0.0,CAUTION
One-Factor,stw_kn,12.0,12.0,1771.875,8.05,1.5,7.5,350.74345280994476,307.1846204611435,332.28808690773326,25.103466446589778,395.299527374405,44.55607456446023,VALID,0.0,SAFE
One-Factor,stw_kn,13.0,13.0,2252.783203125,8.05,1.5,7.5,403.5517802430028,316.42941878684996,388.88395248848207,72.4545337016321,456.97067021071445,53.418889967711664,OUT_OF_DOMAIN,0.020242811094106743,REJECTED
One-Factor,stw_kn,14.0,14.0,2813.671875,8.05,1.5,7.5,452.639583984131,328.4842789370573,442.1218659281775,113.6375869911202,526.3822983120979,73.7427143279669,OUT_OF_DOMAIN,0.10574459785017876,REJECTED
One-Factor,stw_kn,15.0,15.0,3460.693359375,8.05,1.5,7.5,477.5658032365626,347.07030174904816,485.70137619368313,138.63107444463498,602.6058061588806,125.04000292231797,OUT_OF_DOMAIN,0.20437645789237519,REJECTED
One-Factor,stw_kn,16.0,16.0,4200.0,8.05,1.5,7.5,488.865705875924,396.34553275887833,501.6953055220565,105.34977276317818,687.4370563442387,198.57135046831473,OUT_OF_DOMAIN,0.32008707917956275,REJECTED
One-Factor,stw_kn,17.0,17.0,5037.744140625,8.05,1.5,7.5,506.0355156127368,518.3568096179104,518.3568096179104,0.0,780.8795243921298,274.84400877939305,OUT_OF_DOMAIN,0.45641752262722013,REJECTED
One-Factor,stw_kn,18.0,18.0,5980.078125,8.05,1.5,7.5,524.2444727565918,525.954745485655,598.982721604097,73.02797611844198,882.9253777062504,358.6809049496586,OUT_OF_DOMAIN,0.6120316445635438,REJECTED
One-Factor,stw_kn,19.0,19.0,7033.154296875,8.05,1.5,7.5,524.2444727565918,525.954745485655,598.982721604097,73.02797611844198,993.6365337728872,469.39206101629543,PHYSICALLY_INVALID,0.7871197991197042,REJECTED
One-Factor,stw_kn,20.0,20.0,8203.125,8.05,1.5,7.5,524.2444727565918,525.954745485655,598.982721604097,73.02797611844198,1113.2697088960176,589.0252361394258,PHYSICALLY_INVALID,0.982744568766905,REJECTED
One-Factor,stw_kn,21.0,21.0,8500.0,8.05,1.5,7.5,524.2444727565918,525.954745485655,598.982721604097,73.02797611844198,1242.4608130736312,718.2163403170395,PHYSICALLY_INVALID,1.0333387750438556,REJECTED
One-Factor,stw_kn,22.0,22.0,8500.0,8.05,1.5,7.5,524.2444727565918,525.954745485655,598.982721604097,73.02797611844198,1382.4882817676264,858.2438090110346,PHYSICALLY_INVALID,1.0349455620285108,REJECTED
One-Factor,shaft_power_kw,500.0,15.0,500.0,8.05,1.5,7.5,329.87046980211846,218.6510246481492,381.50304208512495,162.85201743697576,602.6058061588806,272.7353363567621,NEAR_BOUNDARY,0.0,CAUTION
One-Factor,shaft_power_kw,1000.0,15.0,1000.0,8.05,1.5,7.5,335.65731521376614,213.3411504395649,381.6277514304866,168.28660099092173,602.6058061588806,266.94849094511443,VALID,0.0,SAFE
One-Factor,shaft_power_kw,1500.0,15.0,1500.0,8.05,1.5,7.5,348.12601106913473,307.75621049372126,381.6277514304866,73.87154093676537,602.6058061588806,254.47979508974583,VALID,0.0,SAFE
One-Factor,shaft_power_kw,2000.0,15.0,2000.0,8.05,1.5,7.5,386.07621164465866,347.07030174904816,401.0246719358183,53.95437018677012,602.6058061588806,216.5295945142219,NEAR_BOUNDARY,0.0,CAUTION
One-Factor,shaft_power_kw,2500.0,15.0,2500.0,8.05,1.5,7.5,429.6073623038292,347.07030174904816,422.06671986113935,74.99641811209119,602.6058061588806,172.9984438550514,OUT_OF_DOMAIN,0.05792850329798879,REJECTED
One-Factor,shaft_power_kw,3000.0,15.0,3000.0,8.05,1.5,7.5,474.01360086557906,347.07030174904816,477.92734486750896,130.8570431184608,602.6058061588806,128.5922052933015,OUT_OF_DOMAIN,0.13414842985689684,REJECTED
One-Factor,shaft_power_kw,3500.0,15.0,3500.0,8.05,1.5,7.5,474.01360086557906,347.07030174904816,477.92734486750896,130.8570431184608,602.6058061588806,128.5922052933015,OUT_OF_DOMAIN,0.21036835641580498,REJECTED
One-Factor,shaft_power_kw,4000.0,15.0,4000.0,8.05,1.5,7.5,474.01360086557906,347.07030174904816,477.92734486750896,130.8570431184608,602.6058061588806,128.5922052933015,OUT_OF_DOMAIN,0.2881343744227082,REJECTED
One-Factor,shaft_power_kw,4500.0,15.0,4500.0,8.05,1.5,7.5,474.01360086557906,347.07030174904816,477.92734486750896,130.8570431184608,602.6058061588806,128.5922052933015,OUT_OF_DOMAIN,0.36854701563831477,REJECTED
