observation_id,timestamp,vessel_id,vessel_type,stw_kn,shaft_power_kw_observed,R_calm,R_wave,R_wind,R_total,P_E,P_D,P_B,SFC,F_physics,F_observed,error,abs_error,percentage_error_pct
1,2026-03-02T04:20:00+00:00,VESSEL_FE_01,container_feeder,14.659988191551,1975.589686489604,189683.9756126441,74995.28992754706,-6436.139165264963,258243.12637492619,1947.6032816530374,2727.735688589688,2783.4037638670284,198.54119005995506,727.1202956955179,390.3655789509125,336.75471674460545,336.75471674460545,86.26649861128035
2,2026-03-02T04:20:00+00:00,VESSEL_FE_02,container_feeder,15.982304691111388,2275.905047379911,225409.80679893369,0.0,1219.1863414497234,226628.99314038342,1863.343752595005,2609.725143690483,2662.9848405004927,199.45325723462,705.6410004042382,450.93331254666055,254.70768785757764,254.70768785757764,56.484557864910826
3,2026-03-02T04:25:00+00:00,VESSEL_HM_03,bulk_handymax,14.522532500438537,2000.003926972751,521739.3263960648,0.0,10472.342576145558,532211.6689722104,3976.1691907167765,5568.864412768594,5682.514706906729,180.27602428473443,1198.921159300678,377.3463963725367,821.5747629281414,821.5747629281414,217.72429015514928
4,2026-03-02T04:25:00+00:00,VESSEL_FE_01,container_feeder,13.48008447632299,1286.4622098624698,160674.2533555364,0.0,903.146847901393,161577.4002034378,1120.4986463522603,1569.325835227255,1601.352893089036,208.0235911189126,507.61917946904134,267.0928127540065,240.52636671503484,240.52636671503484,90.05347775365283
5,2026-03-02T04:25:00+00:00,VESSEL_FE_02,container_feeder,14.301954269459744,1566.5498360142678,180600.6977396996,0.0,-12856.881807537784,167743.81593216181,1234.18427819217,1728.549409232731,1763.825927788501,206.65034927615156,538.9952440398258,316.69497247961965,222.30027156020617,222.30027156020617,70.19381135723962
6,2026-03-02T04:30:00+00:00,VESSEL_FE_01,container_feeder,15.895701863559552,2160.254535869103,222963.09245780212,1326.0996171127833,-14604.189396717562,209685.00267819734,1714.6883000336054,2401.5242297389427,2450.5349283050436,201.0922119036976,667.2834890801303,424.1018615822286,243.18162749790167,243.18162749790167,57.340381999420075
7,2026-03-02T04:30:00+00:00,VESSEL_FE_02,container_feeder,12.439729298946345,1165.5698709594978,137253.91666803762,52482.75853675883,11827.958110622832,201564.63331541928,1289.9217597949519,1806.6131089565151,1843.482764241342,205.98521677322032,554.2301968099482,242.4421767764996,311.7880200334486,311.7880200334486,128.6030443130681
8,2026-03-02T04:30:00+00:00,VESSEL_HM_03,bulk_handymax,13.19494293929062,1616.6951050440184,426855.84954734036,0.0,3037.294964131078,429893.14451147144,2918.140125563285,4087.030988183872,4170.439783861094,188.91770399261205,962.3699086064831,301.58778781706684,660.7821207894162,660.7821207894162,219.10108680866904
9,2026-03-02T04:35:00+00:00,VESSEL_FE_01,container_feeder,15.873040432350958,2175.399985417706,222325.36839727013,0.0,-2050.634805678762,220274.73359159136,1798.717307607799,2519.211915417085,2570.6244034868214,200.16109690023117,689.0390003204246,428.3154671660533,260.72353315437135,260.72353315437135,60.871846370491134
10,2026-03-02T04:35:00+00:00,VESSEL_FE_02,container_feeder,15.48731875410275,2045.6544930624384,211629.33385543674,0.0,8108.799261618135,219738.13311705488,1750.7324187503061,2452.0061887259185,2502.047131352978,200.69132120856128,676.6391445173198,410.10589994283833,266.53324457448144,266.53324457448144,64.99132165902309
11,2026-03-02T04:35:00+00:00,VESSEL_HM_03,bulk_handymax,13.401339847056052,1579.1161828834763,440841.65814686497,70058.2997974334,-3127.567881010983,507772.3900632874,3500.704151875372,4902.946991422089,5003.007134104172,183.92081928189344,1094.6571709775972,306.62253679764723,788.03463417995,788.03463417995,257.00479893296506
12,2026-03-02T04:40:00+00:00,VESSEL_HM_03,bulk_handymax,13.749690571769152,1761.703188573856,465075.72582567023,49499.97333667273,-5377.545779970109,509198.1533823728,3601.785547813705,5044.517573968774,5147.466912213034,183.11334713852622,1117.069895580143,323.889008626123,793.1808869540201,793.1808869540201,244.8928076684498
