seed,algorithm,best_validation_MAE,final_test_MAE,runtime_s,objective_evaluations
42,QPSO,20.535975990142845,21.2171473625221,24.16,225
42,RandomSearch,22.09770378356672,22.22894100370121,27.44,225
101,QPSO,20.20489848927428,22.46436463327413,25.0,225
101,RandomSearch,25.105840458006895,23.9128113041326,27.45,225
202,QPSO,20.721886343617207,23.98374344722437,33.34,225
202,RandomSearch,24.183057207530933,21.81359247789568,27.75,225
303,QPSO,21.468537210072682,21.86965490489847,30.97,225
303,RandomSearch,23.334159261857998,21.98026298653996,19.26,225
404,QPSO,22.244734726058446,24.46090051625686,7.71,225
404,RandomSearch,24.226230844841925,23.92007788888327,8.86,225
505,QPSO,21.41829887475639,24.333216313881895,14.32,225
505,RandomSearch,24.557050537888884,23.509355870142024,8.8,225
606,QPSO,20.298902975745257,21.475742855602903,11.46,225
606,RandomSearch,27.43352334289192,27.742716789010753,11.65,225
707,QPSO,20.157149803235473,20.897907556151686,40.2,225
707,RandomSearch,23.984563651883384,21.63402840694729,25.84,225
808,QPSO,20.017058941708424,20.88376235567114,17.86,225
808,RandomSearch,26.30679179178555,24.23300563629285,8.96,225
909,QPSO,21.53756577871346,22.579501079785484,10.61,225
909,RandomSearch,26.179309839590584,23.77662681050796,9.51,225
