algorithm,seed,run_id,runtime_seconds,objective_evaluations,iterations,best_fitness,physical_objective,penalty,is_feasible,first_feasible_eval,first_feasible_iter,feasible_evaluations_count,candidate_feasibility_rate,constraint_violation_total,hard_violations,repair_count,repair_rate,unique_solutions,pareto_archive_size,pareto_hypervolume,assigned_demands,fuel_decisions,speed_decisions
A5_Complete_Hybrid_QI,1001,A5_Complete_Hybrid_QI_seed_1001,8.7027,2500,49,3.5153,3.5153,0.0,True,1,0,2500,100.0,0.0,NONE,1930,77.2,2500,6,247102859.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.29329534683, 'CPS_Triton': 16.456730436719088, 'OSS_Ceto': 14.34226074718134}"
A5_Complete_Hybrid_QI,1002,A5_Complete_Hybrid_QI_seed_1002,8.5375,2500,49,3.4272,3.4272,0.0,True,1,0,2500,100.0,0.0,NONE,1945,77.8,2500,3,246964157.11,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.177811284132517, 'CPS_Triton': 17.717375619558858, 'OSS_Ceto': 15.0}"
A5_Complete_Hybrid_QI,1003,A5_Complete_Hybrid_QI_seed_1003,7.2658,2500,49,3.4655,3.4655,0.0,True,1,0,2500,100.0,0.0,NONE,1962,78.48,2500,4,247102605.88,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.296571005026024, 'CPS_Triton': 18.0, 'OSS_Ceto': 14.674663178413862}"
A5_Complete_Hybrid_QI,1004,A5_Complete_Hybrid_QI_seed_1004,7.443,2500,49,3.4204,3.4204,0.0,True,1,0,2500,100.0,0.0,NONE,1943,77.72,2500,2,247103180.44,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.229880565046383, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.699853683789069}"
A5_Complete_Hybrid_QI,1005,A5_Complete_Hybrid_QI_seed_1005,7.4885,2500,49,3.4421,3.4421,0.0,True,1,0,2500,100.0,0.0,NONE,1934,77.36,2500,2,247262483.28,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.22404044558096, 'CPS_Triton': 17.994155121614664, 'OSS_Ceto': 11.834793017257693}"
A5_Complete_Hybrid_QI,1006,A5_Complete_Hybrid_QI_seed_1006,7.3341,2500,49,3.424,3.424,0.0,True,1,0,2500,100.0,0.0,NONE,1952,78.08,2500,2,247102605.88,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.34138913274931, 'CPS_Triton': 17.7343623680594, 'OSS_Ceto': 11.961342757534235}"
A5_Complete_Hybrid_QI,1007,A5_Complete_Hybrid_QI_seed_1007,7.6445,2500,49,3.4302,3.4302,0.0,True,1,0,2500,100.0,0.0,NONE,1944,77.76,2500,5,246825820.43,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.366799304844125, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.944335414607243}"
A5_Complete_Hybrid_QI,1008,A5_Complete_Hybrid_QI_seed_1008,8.3906,2500,49,3.4782,3.4782,0.0,True,1,0,2500,100.0,0.0,NONE,1924,76.96,2500,2,247103079.64,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.07712512580965, 'CPS_Triton': 17.519631079113505, 'OSS_Ceto': 12.22549661029713}"
A5_Complete_Hybrid_QI,1009,A5_Complete_Hybrid_QI_seed_1009,7.3722,2500,49,3.4788,3.4788,0.0,True,1,0,2500,100.0,0.0,NONE,1930,77.2,2500,4,247102605.88,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.24657997984158, 'CPS_Triton': 17.608422906012567, 'OSS_Ceto': 15.0}"
A5_Complete_Hybrid_QI,1010,A5_Complete_Hybrid_QI_seed_1010,7.3522,2500,49,3.3882,3.3882,0.0,True,1,0,2500,100.0,0.0,NONE,1963,78.52,2500,1,247262483.28,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.22007444239854, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.957639226132088}"
