solution_id,formulation,algorithm,seed,evaluation_index,evaluations,is_feasible,penalty,domain_status,fuel_tonnes,cost_usd,ghg_tonnes,delay_hours,risk_metric,decisions,x_vector
PS-01,MO_NSGA3_fuel_cost_ghg,NSGA_III,1010,9692,10000,True,0.0,NEAR_BOUNDARY,180.78,173942.5,742.45,0.0,0.1635,"{""CPS_Poseidon"": {""demand"": ""DEMAND-A"", ""cargo_t"": 1200.0, ""speed_kn"": 19.1351, ""fuel"": ""fossil_lng"", ""shore_power"": false}, ""CPS_Triton"": {""demand"": ""DEMAND-B"", ""cargo_t"": 450.0, ""speed_kn"": 15.6524, ""fuel"": ""vlsfo"", ""shore_power"": false}, ""OSS_Ceto"": {""demand"": ""DEMAND-C"", ""cargo_t"": 3200.0, ""speed_kn"": 11.6283, ""fuel"": ""vlsfo"", ""shore_power"": false}}","[1.108051767936346, 8328.11395071956, 19.135072591597115, 1.1035146057600378, 0.528461811904992, 0.22704706165603256, 2.0491141089536615, 547.7439153498808, 15.652362575672765, 0.2212901977625703, 0.27263997649429433, 0.3587129270654897, 2.9527880690972825, 1437.2439951557494, 11.628319988133473, 0.26684968626046934, 0.86637271798608, 0.3765069565603883]"
PS-02,MO_NSGA3_fuel_cost_ghg,NSGA_III,1010,9620,10000,True,0.0,NEAR_BOUNDARY,179.98,174377.5,741.14,0.0,0.1635,"{""CPS_Poseidon"": {""demand"": ""DEMAND-A"", ""cargo_t"": 1200.0, ""speed_kn"": 19.1351, ""fuel"": ""fossil_lng"", ""shore_power"": false}, ""CPS_Triton"": {""demand"": ""DEMAND-B"", ""cargo_t"": 450.0, ""speed_kn"": 15.6524, ""fuel"": ""vlsfo"", ""shore_power"": true}, ""OSS_Ceto"": {""demand"": ""DEMAND-C"", ""cargo_t"": 3200.0, ""speed_kn"": 11.6283, ""fuel"": ""vlsfo"", ""shore_power"": false}}","[1.108051767936346, 7662.1205553898135, 19.13507257020086, 0.6862990901805012, 0.526371671908474, 0.21963244064832493, 2.0491141089536615, 548.3374741160992, 15.652361587372026, 0.03122397968720625, 0.27668096294053013, 0.8540631717856553, 2.621989159577568, 1437.2439951557494, 11.628326120324589, 0.23552425848928715, 0.8671996594016362, 0.4278537420579176]"
PS-03,MO_NSGA3_fuel_cost_ghg,NSGA_III,1010,9869,10000,True,0.0,NEAR_BOUNDARY,178.38,174560.87,737.95,0.0,0.1635,"{""CPS_Poseidon"": {""demand"": ""DEMAND-A"", ""cargo_t"": 1200.0, ""speed_kn"": 19.1351, ""fuel"": ""fossil_lng"", ""shore_power"": true}, ""CPS_Triton"": {""demand"": ""DEMAND-B"", ""cargo_t"": 450.0, ""speed_kn"": 15.6524, ""fuel"": ""vlsfo"", ""shore_power"": false}, ""OSS_Ceto"": {""demand"": ""DEMAND-C"", ""cargo_t"": 3200.0, ""speed_kn"": 11.6283, ""fuel"": ""vlsfo"", ""shore_power"": false}}","[0.692733445437536, 7659.749357477701, 19.1350725930561, 0.6862990901805012, 0.5226446212413179, 0.9483765879274473, 2.048213933852886, 592.3957692921767, 15.652361598060084, 0.00176100567941756, 0.28771291164855356, 0.3492050135607673, 2.621989159577568, 1437.1235891601884, 11.62829633749623, 0.2585143760036579, 0.8733870152444108, 0.42915209674675436]"
PS-04,MO_NSGA3_fuel_cost_ghg,NSGA_III,1010,9908,10000,True,0.0,NEAR_BOUNDARY,177.59,174995.81,736.63,0.0,0.1635,"{""CPS_Poseidon"": {""demand"": ""DEMAND-A"", ""cargo_t"": 1200.0, ""speed_kn"": 19.1351, ""fuel"": ""fossil_lng"", ""shore_power"": true}, ""CPS_Triton"": {""demand"": ""DEMAND-B"", ""cargo_t"": 450.0, ""speed_kn"": 15.6524, ""fuel"": ""vlsfo"", ""shore_power"": true}, ""OSS_Ceto"": {""demand"": ""DEMAND-C"", ""cargo_t"": 3200.0, ""speed_kn"": 11.6283, ""fuel"": ""vlsfo"", ""shore_power"": false}}","[1.359217414923552, 8310.592839093588, 19.13507261340149, 1.1055542254100668, 0.31286670048538606, 0.9140374808403695, 2.3414953369154876, 683.7886996593528, 15.65235006321896, 0.03473955257079971, 0.09553455682316934, 0.9553320044294928, 2.834680409420387, 1436.8824651139685, 11.628277568634456, 0.28445127589586794, 0.890770463186295, 0.34201007512913917]"
PS-05,MO_NSGA3_fuel_cost_ghg,NSGA_III,1010,9606,10000,True,0.0,NEAR_BOUNDARY,177.24,175466.98,736.05,0.0,0.1635,"{""CPS_Poseidon"": {""demand"": ""DEMAND-A"", ""cargo_t"": 1200.0, ""speed_kn"": 19.1351, ""fuel"": ""fossil_lng"", ""shore_power"": true}, ""CPS_Triton"": {""demand"": ""DEMAND-B"", ""cargo_t"": 450.0, ""speed_kn"": 15.6523, ""fuel"": ""vlsfo"", ""shore_power"": true}, ""OSS_Ceto"": {""demand"": ""DEMAND-C"", ""cargo_t"": 3200.0, ""speed_kn"": 11.6283, ""fuel"": ""vlsfo"", ""shore_power"": true}}","[1.1078913112732087, 8342.67350636599, 19.135080141664787, 1.064213213274622, 0.4030464031782883, 0.8915338600305791, 1.8307077990111733, 677.8042907781459, 15.65234972855544, 0.03465964804552561, 0.09553455682316934, 0.7997775033292696, 2.7489020777721516, 2068.2432990685434, 11.628276284132808, 0.3149368866255977, 0.8755557559049613, 0.5281083430458411]"
PS-06,MO_NSGA3_fuel_cost_ghg,NSGA_III,1010,9871,10000,True,0.0,NEAR_BOUNDARY,206.63,204053.61,734.87,0.0,0.1664,"{""CPS_Poseidon"": {""demand"": ""DEMAND-A"", ""cargo_t"": 1200.0, ""speed_kn"": 19.1351, ""fuel"": ""fossil_lng"", ""shore_power"": false}, ""CPS_Triton"": {""demand"": ""DEMAND-B"", ""cargo_t"": 450.0, ""speed_kn"": 15.6523, ""fuel"": ""vlsfo"", ""shore_power"": false}, ""OSS_Ceto"": {""demand"": ""DEMAND-C"", ""cargo_t"": 3200.0, ""speed_kn"": 11.6283, ""fuel"": ""bio_methanol"", ""shore_power"": false}}","[0.9993226749146452, 7332.774016508779, 19.13507534214242, 1.1029726027393254, 0.528461811904992, 0.22021536021958288, 2.1533403252667513, 654.0397636000062, 15.6523427875904, 0.007290890437929173, 0.032926644760687906, 0.3706013058857446, 2.617443544050191, 1499.0664930125338, 11.628280714640804, 1.6869840798992977, 0.8890970891627868, 0.4288082797688405]"
PS-07,MO_NSGA3_fuel_cost_ghg,NSGA_III,1010,9498,10000,True,0.0,NEAR_BOUNDARY,205.92,204078.29,734.39,0.0,0.1664,"{""CPS_Poseidon"": {""demand"": ""DEMAND-A"", ""cargo_t"": 1200.0, ""speed_kn"": 19.1351, ""fuel"": ""fossil_lng"", ""shore_power"": false}, ""CPS_Triton"": {""demand"": ""DEMAND-B"", ""cargo_t"": 450.0, ""speed_kn"": 15.6524, ""fuel"": ""vlsfo"", ""shore_power"": false}, ""OSS_Ceto"": {""demand"": ""DEMAND-C"", ""cargo_t"": 3200.0, ""speed_kn"": 11.6283, ""fuel"": ""bio_methanol"", ""shore_power"": true}}","[1.3597269975837019, 7635.123698991336, 19.135072632351523, 1.1035146057600378, 0.528461811904992, 0.2242526177190619, 2.0491141089536615, 548.3374741160992, 15.652361678005892, 0.21356950648018957, 0.27145738258295815, 0.3662226192485718, 2.623104115750573, 1436.4450221917905, 11.62832610905341, 1.7302610628301314, 0.8664590490791236, 0.8228000688196027]"
PS-08,MO_NSGA3_fuel_cost_ghg,NSGA_III,1010,9938,10000,True,0.0,NEAR_BOUNDARY,205.84,204488.69,733.56,0.0,0.1664,"{""CPS_Poseidon"": {""demand"": ""DEMAND-A"", ""cargo_t"": 1200.0, ""speed_kn"": 19.1351, ""fuel"": ""fossil_lng"", ""shore_power"": false}, ""CPS_Triton"": {""demand"": ""DEMAND-B"", ""cargo_t"": 450.0, ""speed_kn"": 15.6524, ""fuel"": ""vlsfo"", ""shore_power"": true}, ""OSS_Ceto"": {""demand"": ""DEMAND-C"", ""cargo_t"": 3200.0, ""speed_kn"": 11.6283, ""fuel"": ""bio_methanol"", ""shore_power"": false}}","[0.6847066443181188, 7659.46156925066, 19.13507530583011, 1.1019641361306323, 0.3135321291714946, 0.22061753757374175, 1.9390364146475103, 650.5364526542778, 15.652360715628317, 0.03472630980224917, 0.12844397544132702, 0.7998743983929728, 2.619428918070096, 1636.5286114996034, 11.628296034591882, 1.7798364428563833, 0.8673938090173285, 0.3404969463508677]"
PS-09,MO_NSGA3_fuel_cost_ghg,NSGA_III,1010,9925,10000,True,0.0,NEAR_BOUNDARY,205.13,204513.09,733.08,0.0,0.1664,"{""CPS_Poseidon"": {""demand"": ""DEMAND-A"", ""cargo_t"": 1200.0, ""speed_kn"": 19.1351, ""fuel"": ""fossil_lng"", ""shore_power"": false}, ""CPS_Triton"": {""demand"": ""DEMAND-B"", ""cargo_t"": 450.0, ""speed_kn"": 15.6524, ""fuel"": ""vlsfo"", ""shore_power"": true}, ""OSS_Ceto"": {""demand"": ""DEMAND-C"", ""cargo_t"": 3200.0, ""speed_kn"": 11.6283, ""fuel"": ""bio_methanol"", ""shore_power"": true}}","[1.359843488315073, 7617.4149648269795, 19.135072633280153, 1.0924071106576827, 0.5352720086747444, 0.2242526177190619, 1.8960217278639258, 545.0214873704555, 15.652361678005892, 0.03409262130002216, 0.09624274804304463, 0.8168928874451284, 2.8532518269569933, 1635.0553823393418, 11.628277561019466, 1.7228230949382075, 0.8909230656018589, 0.8228000688196027]"
PS-10,MO_NSGA3_fuel_cost_ghg,NSGA_III,1010,9866,10000,True,0.0,NEAR_BOUNDARY,204.24,204672.05,730.37,0.0,0.1664,"{""CPS_Poseidon"": {""demand"": ""DEMAND-A"", ""cargo_t"": 1200.0, ""speed_kn"": 19.1351, ""fuel"": ""fossil_lng"", ""shore_power"": true}, ""CPS_Triton"": {""demand"": ""DEMAND-B"", ""cargo_t"": 450.0, ""speed_kn"": 15.6524, ""fuel"": ""vlsfo"", ""shore_power"": false}, ""OSS_Ceto"": {""demand"": ""DEMAND-C"", ""cargo_t"": 3200.0, ""speed_kn"": 11.6283, ""fuel"": ""bio_methanol"", ""shore_power"": false}}","[1.1080518294258537, 7647.109035333858, 19.13507253728593, 1.3571529256363704, 0.5284014107089576, 0.9094243330866663, 2.1507494398062543, 654.0706155645674, 15.652362846015336, 0.007290890437929173, 0.02705350247509586, 0.36705346438713204, 2.621950144196741, 1396.9094638372762, 11.628280714640804, 1.6866420764061016, 0.8660482688478752, 0.42835787198785774]"
