algorithm,seed,run_id,runtime_seconds,objective_evaluations,iterations,best_fitness,physical_objective,penalty,is_feasible,first_feasible_eval,first_feasible_iter,feasible_evaluations_count,candidate_feasibility_rate,constraint_violation_total,hard_violations,repair_count,repair_rate,unique_solutions,pareto_archive_size,pareto_hypervolume,assigned_demands,fuel_decisions,speed_decisions
A4_Heterogeneous_QI,1001,A4_Heterogeneous_QI_seed_1001,4.5918,2500,49,3.5206,3.5206,0.0,True,7,0,519,20.76,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.72571924765284, 'CPS_Triton': 15.66394057778985, 'OSS_Ceto': 11.815011202948927}"
A4_Heterogeneous_QI,1002,A4_Heterogeneous_QI_seed_1002,5.2541,2500,49,4.5473,4.5473,0.0,True,2,0,465,18.6,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 22.0, 'CPS_Triton': 16.21962258041416, 'OSS_Ceto': 12.555750184750476}"
A4_Heterogeneous_QI,1003,A4_Heterogeneous_QI_seed_1003,4.9491,2500,49,4.2047,4.2047,0.0,True,5,0,445,17.8,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 22.0, 'CPS_Triton': 16.971912165366817, 'OSS_Ceto': 13.899704546730439}"
A4_Heterogeneous_QI,1004,A4_Heterogeneous_QI_seed_1004,4.0974,2500,49,3.5315,3.5315,0.0,True,7,0,463,18.52,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.019808499142467, 'CPS_Triton': 16.344388394976352, 'OSS_Ceto': 15.0}"
A4_Heterogeneous_QI,1005,A4_Heterogeneous_QI_seed_1005,4.1255,2500,49,3.561,3.561,0.0,True,13,0,461,18.44,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 20.17811774229034, 'CPS_Triton': 15.681616052644062, 'OSS_Ceto': 15.0}"
A4_Heterogeneous_QI,1006,A4_Heterogeneous_QI_seed_1006,4.1073,2500,49,3.7679,3.7679,0.0,True,2,0,427,17.08,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 21.298492007918277, 'CPS_Triton': 16.323972306102586, 'OSS_Ceto': 15.0}"
A4_Heterogeneous_QI,1007,A4_Heterogeneous_QI_seed_1007,4.107,2500,49,3.5458,3.5458,0.0,True,18,0,449,17.96,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.60656761058646, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}"
A4_Heterogeneous_QI,1008,A4_Heterogeneous_QI_seed_1008,4.2009,2500,49,3.7687,3.7687,0.0,True,15,0,492,19.68,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 22.0, 'CPS_Triton': 16.726804145696487, 'OSS_Ceto': 11.947429743394803}"
A4_Heterogeneous_QI,1009,A4_Heterogeneous_QI_seed_1009,4.1886,2500,49,3.7304,3.7304,0.0,True,4,0,461,18.44,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 21.32970887175258, 'CPS_Triton': 16.411583373120926, 'OSS_Ceto': 11.843039889934968}"
A4_Heterogeneous_QI,1010,A4_Heterogeneous_QI_seed_1010,4.2147,2500,49,3.4365,3.4365,0.0,True,2,0,455,18.2,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.22984768985045, 'CPS_Triton': 16.083964438162955, 'OSS_Ceto': 11.716102710696417}"
A4_Heterogeneous_QI,1011,A4_Heterogeneous_QI_seed_1011,4.1456,2500,49,3.5713,3.5713,0.0,True,3,0,436,17.44,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 20.55599483564896, 'CPS_Triton': 18.0, 'OSS_Ceto': 13.156089846916489}"
A4_Heterogeneous_QI,1012,A4_Heterogeneous_QI_seed_1012,4.1967,2500,49,3.5496,3.5496,0.0,True,2,0,456,18.24,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.610878382307806, 'CPS_Triton': 17.559733180283228, 'OSS_Ceto': 15.0}"
