algorithm,feasibility,median_objective,mean_objective,physical_objective,penalty,first_feasible_eval,runtime,hypervolume,diversity,repair_rate
A0_Plain_QPSO,80.0,3.42,12202.67,202.67,12000.0,210.2,1.797,0.0,176.231,0.0
A1_QPSO_Deb,100.0,3.41,2003.35,3.35,2000.0,201.3,2.319,0.0,171.192,0.0
A2_QPSO_Decoder,100.0,3.38,3.39,3.39,0.0,1.2,4.964,0.0,5.746,25.34
A3_Discrete_QPSO,86.67,3.39,6802.94,136.27,6666.67,209.6,3.255,0.0,168.489,0.0
A4_Heterogeneous_QI,100.0,3.66,3.72,3.72,0.0,7.3,4.249,0.0,189.535,0.0
A5_Complete_Hybrid_QI,100.0,3.45,3.45,3.45,0.0,1.0,7.514,247105993.53,0.663,77.7
DE,100.0,4.13,3976.19,3.7,3972.49,237.8,1.706,0.0,290.224,0.0
PSO,50.0,45500.25,30168.0,501.33,29666.67,378.8,1.788,0.0,113.772,0.0
GA,70.0,20002.46,27726.3,302.54,27423.76,205.0,1.142,0.0,137.897,0.0
Random,96.67,27072.72,28681.98,36.5,28645.47,375.8,0.385,0.0,0.0,0.0
NSGA3,80.0,37475.79,36645.36,202.3,36443.06,509.6,0.878,150671177.17,0.0,0.0
