algorithm,seed,run_id,runtime_seconds,objective_evaluations,iterations,best_fitness,physical_objective,penalty,is_feasible,first_feasible_eval,first_feasible_iter,feasible_evaluations_count,candidate_feasibility_rate,constraint_violation_total,hard_violations,repair_count,repair_rate,unique_solutions,pareto_archive_size,pareto_hypervolume,assigned_demands,fuel_decisions,speed_decisions
NSGA3,1001,NSGA3_seed_1001,0.2177,2500,49,29433.8854,2.0707,29431.81,True,383,7,8,0.32,0.0,NONE,0,0.0,2445,2,137910304.43,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 13.578674510510796, 'CPS_Triton': 16.304106556636356, 'OSS_Ceto': 8.806132357830027}"
NSGA3,1002,NSGA3_seed_1002,0.2283,2500,49,23810.8898,3.7901,23807.1,True,15,0,30,1.2,0.0,NONE,0,0.0,2442,1,242526469.48,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 14.143571967587796, 'CPS_Triton': 16.5621879600792, 'OSS_Ceto': 10.030570774836647}"
NSGA3,1003,NSGA3_seed_1003,0.2144,2500,49,22356.9097,3.2175,22353.69,True,299,5,7,0.28,0.0,NONE,0,0.0,2455,1,207226601.69,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 17.950874151219452, 'CPS_Triton': 17.147723982890607, 'OSS_Ceto': 8.471653228135557}"
NSGA3,1004,NSGA3_seed_1004,0.2734,2500,49,15095.3831,4.1693,15091.21,True,1118,22,3,0.12,0.0,NONE,0,0.0,2451,1,94155618.91,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 19.570410848295236, 'CPS_Triton': 17.534870135198258, 'OSS_Ceto': 7.790931996175374}"
NSGA3,1005,NSGA3_seed_1005,0.2196,2500,49,47243.8822,1.4516,47242.43,True,1194,23,3,0.12,0.0,NONE,0,0.0,2446,1,166578325.24,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 15.185611379417711, 'CPS_Triton': 14.107261975073762, 'OSS_Ceto': 13.21378664493004}"
NSGA3,1006,NSGA3_seed_1006,0.2968,2500,49,24266.9086,1.9249,24264.98,True,155,3,4,0.16,0.0,NONE,0,0.0,2467,2,144345640.69,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 9.914947242668275, 'CPS_Triton': 17.446598861739584, 'OSS_Ceto': 9.995203735047012}"
NSGA3,1007,NSGA3_seed_1007,0.8807,2500,49,51000.0,1000.0,50000.0,False,-1,-1,0,0.0,50000.0,Mandatory demand DEMAND-A is unfulfilled.,0,0.0,2462,0,0.0,"{'CPS_Poseidon': 'UNASSIGNED', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 20.19891044507674, 'CPS_Triton': 17.26189583346732, 'OSS_Ceto': 13.617611711653279}"
NSGA3,1008,NSGA3_seed_1008,1.1195,2500,49,40002.4096,2.4096,40000.0,True,14,0,17,0.68,0.0,NONE,0,0.0,2456,1,222421863.67,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 20.581044688167598, 'CPS_Triton': 9.594432303527428, 'OSS_Ceto': 12.99361879013427}"
NSGA3,1009,NSGA3_seed_1009,1.1409,2500,49,9390.5151,3.4989,9387.02,True,514,10,6,0.24,0.0,NONE,0,0.0,2446,3,109878651.88,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 20.921900819698983, 'CPS_Triton': 15.650265821764808, 'OSS_Ceto': 8.815224979898494}"
NSGA3,1010,NSGA3_seed_1010,1.1114,2500,49,60000.1234,0.1234,60000.0,True,101,2,3,0.12,0.0,NONE,0,0.0,2456,1,242389418.64,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 13.448413959510184, 'CPS_Triton': 8.032752009388911, 'OSS_Ceto': 6.0563648223645625}"
NSGA3,1011,NSGA3_seed_1011,1.3114,2500,49,45294.3301,2.5547,45291.78,True,149,2,4,0.16,0.0,NONE,0,0.0,2467,1,156561088.38,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 10.764753023869025, 'CPS_Triton': 11.972774196655886, 'OSS_Ceto': 13.400453691349252}"
NSGA3,1012,NSGA3_seed_1012,1.0978,2500,49,51000.0,1000.0,50000.0,False,-1,-1,0,0.0,50000.0,Mandatory demand DEMAND-B is unfulfilled.,0,0.0,2453,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 19.790105675092832, 'CPS_Triton': 15.294564330679059, 'OSS_Ceto': 7.590038264715767}"
NSGA3,1013,NSGA3_seed_1013,1.1117,2500,49,35644.0912,6.9737,35637.12,True,473,9,6,0.24,0.0,NONE,0,0.0,2450,1,239956583.31,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 20.463852451841532, 'CPS_Triton': 12.42244887467431, 'OSS_Ceto': 7.859403013041549}"
NSGA3,1014,NSGA3_seed_1014,1.0964,2500,49,51000.0,1000.0,50000.0,False,-1,-1,0,0.0,50000.0,Mandatory demand DEMAND-C is unfulfilled.,0,0.0,2463,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'UNASSIGNED'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 10.501741337273355, 'CPS_Triton': 15.075847687627839, 'OSS_Ceto': 13.874336411413124}"
NSGA3,1015,NSGA3_seed_1015,1.1034,2500,49,1230.6878,3.8795,1226.81,True,149,2,9,0.36,0.0,NONE,0,0.0,2461,1,243853622.04,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 18.707717522346393, 'CPS_Triton': 15.884079017476441, 'OSS_Ceto': 11.031399675971086}"
