algorithm,seed,run_id,runtime_seconds,objective_evaluations,iterations,best_fitness,physical_objective,penalty,is_feasible,first_feasible_eval,first_feasible_iter,feasible_evaluations_count,candidate_feasibility_rate,constraint_violation_total,hard_violations,repair_count,repair_rate,unique_solutions,pareto_archive_size,pareto_hypervolume,assigned_demands,fuel_decisions,speed_decisions
PSO,1001,PSO_seed_1001,0.9178,2500,49,51000.0,1000.0,50000.0,False,73,1,30,1.2,50000.0,Mandatory demand DEMAND-A is unfulfilled.,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'UNASSIGNED', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 11.609449981984664, 'CPS_Triton': 14.794891464316855, 'OSS_Ceto': 10.686363341123272}"
PSO,1002,PSO_seed_1002,3.4759,2500,49,3.4539,3.4539,0.0,True,15,0,1570,62.8,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.34892992396396, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}"
PSO,1003,PSO_seed_1003,3.2805,2500,49,3.4539,3.4539,0.0,True,160,3,1272,50.88,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.34892466552275, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}"
PSO,1004,PSO_seed_1004,1.0193,2500,49,51000.0,1000.0,50000.0,False,-1,-1,0,0.0,50000.0,Mandatory demand DEMAND-A is unfulfilled.,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 20.23557317231969, 'CPS_Triton': 15.768209913307656, 'OSS_Ceto': 8.440883946698316}"
PSO,1005,PSO_seed_1005,1.0174,2500,49,51000.0,1000.0,50000.0,False,780,15,1,0.04,50000.0,Mandatory demand DEMAND-A is unfulfilled.,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 15.185611379417711, 'CPS_Triton': 13.242363110758841, 'OSS_Ceto': 10.236229718333352}"
PSO,1006,PSO_seed_1006,2.7737,2500,49,3.6462,3.6462,0.0,True,67,1,1029,41.16,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 19.13732045188635, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.629286490115456}"
PSO,1007,PSO_seed_1007,0.9706,2500,49,51000.0,1000.0,50000.0,False,-1,-1,0,0.0,50000.0,Mandatory demand DEMAND-A is unfulfilled.,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 18.79959922664265, 'CPS_Triton': 18.0, 'OSS_Ceto': 13.139868501594478}"
PSO,1008,PSO_seed_1008,2.9088,2500,49,3.4779,3.4779,0.0,True,14,0,1213,48.52,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.349028578186935, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}"
PSO,1009,PSO_seed_1009,0.8909,2500,49,51000.0,1000.0,50000.0,False,242,4,1,0.04,50000.0,Mandatory demand DEMAND-C is unfulfilled.,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'UNASSIGNED'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 14.836417173981378, 'CPS_Triton': 12.748229171455892, 'OSS_Ceto': 8.819285840315805}"
PSO,1010,PSO_seed_1010,2.6038,2500,49,20001.1668,1.1668,20000.0,True,86,1,1317,52.68,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 8.0, 'CPS_Triton': 15.626801186695808, 'OSS_Ceto': 11.62815625583917}"
PSO,1011,PSO_seed_1011,0.8766,2500,49,51000.0,1000.0,50000.0,False,434,8,2,0.08,50000.0,Mandatory demand DEMAND-B is unfulfilled.,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 10.552561194932316, 'CPS_Triton': 11.972774196655886, 'OSS_Ceto': 9.076592930663395}"
PSO,1012,PSO_seed_1012,2.6056,2500,49,20001.1826,1.1826,20000.0,True,51,1,1273,50.92,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 8.0, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.627023463179412}"
PSO,1013,PSO_seed_1013,2.8127,2500,49,40000.4982,0.4982,40000.0,True,58,1,1497,59.88,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 8.0, 'CPS_Triton': 7.564259727064172, 'OSS_Ceto': 11.693880416937743}"
PSO,1014,PSO_seed_1014,2.8003,2500,49,3.3842,3.3842,0.0,True,174,3,1373,54.92,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.137585503331046, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.952753081013185}"
PSO,1015,PSO_seed_1015,2.1127,2500,49,3.4539,3.4539,0.0,True,264,5,847,33.88,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.348925991368514, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}"
PSO,1016,PSO_seed_1016,2.1768,2500,49,3.6958,3.6958,0.0,True,314,6,951,38.04,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 21.303890334715962, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.756726319629507}"
