algorithm,seed,runtime_s,best_fitness,physical_obj,penalty,is_feasible,hypervolume,unique_solutions,feas_rate
Fair_MODE,1001,5.7508,3.3904,3.3904,0.0,True,246845951.75,2500,90.68
Fair_MODE,1002,6.5534,3.3979,3.3979,0.0,True,246870681.8,2499,93.76
Fair_MODE,1003,6.0075,3.391,3.391,0.0,True,246503042.4,2498,93.16
Fair_MODE,1004,6.3317,3.3823,3.3823,0.0,True,246002100.63,2500,93.52
Fair_MODE,1005,5.7362,3.4126,3.4126,0.0,True,246491697.85,2500,92.64
Fair_MODE,1006,5.9055,3.3908,3.3908,0.0,True,247102284.44,2499,94.12
Fair_MODE,1007,5.9244,3.3887,3.3887,0.0,True,245492940.54,2500,93.56
Fair_MODE,1008,6.2122,3.3925,3.3925,0.0,True,247262483.28,2500,98.64
Fair_MODE,1009,5.8308,3.3892,3.3892,0.0,True,246427062.79,2500,93.72
Fair_MODE,1010,6.4422,3.3932,3.3932,0.0,True,245955328.98,2499,99.2
Fair_MODE,1011,6.4641,3.3887,3.3887,0.0,True,247262483.28,2499,92.72
Fair_MODE,1012,6.4325,3.3845,3.3845,0.0,True,246825127.91,2500,93.28
Fair_MODE,1013,6.1423,3.3897,3.3897,0.0,True,247262483.28,2499,94.0
Fair_MODE,1014,6.4698,3.3882,3.3882,0.0,True,247262483.28,2500,93.16
Fair_MODE,1015,5.8235,3.408,3.408,0.0,True,246153543.29,2500,92.4
Fair_MODE,1016,6.0791,3.3853,3.3853,0.0,True,246507246.82,2498,95.72
Fair_MODE,1017,6.2248,3.3897,3.3897,0.0,True,247262483.28,2500,88.68
Fair_MODE,1018,6.118,3.4136,3.4136,0.0,True,246691686.2,2500,92.32
Fair_MODE,1019,6.7419,3.3996,3.3996,0.0,True,247262483.28,2500,98.64
Fair_MODE,1020,6.4114,3.3914,3.3914,0.0,True,247262483.28,2500,98.44
Fair_MODE,1021,6.3724,3.3878,3.3878,0.0,True,246646994.19,2499,98.88
Fair_MODE,1022,6.3047,3.3939,3.3939,0.0,True,246926257.86,2500,98.68
Fair_MODE,1023,6.249,3.3915,3.3915,0.0,True,246710703.6,2500,93.04
Fair_MODE,1024,6.4786,3.3905,3.3905,0.0,True,246294596.58,2500,94.52
Fair_MODE,1025,6.4843,3.3939,3.3939,0.0,True,246824692.31,2500,94.84
Fair_MODE,1026,5.5414,3.3873,3.3873,0.0,True,246746176.37,2500,92.84
Fair_MODE,1027,6.4343,3.3917,3.3917,0.0,True,247262483.28,2500,99.08
Fair_MODE,1028,6.2277,3.3921,3.3921,0.0,True,246982794.76,2500,92.72
Fair_MODE,1029,6.0405,3.4064,3.4064,0.0,True,247262483.28,2499,99.2
Fair_MODE,1030,6.0683,3.406,3.406,0.0,True,247103180.44,2500,91.24
