algorithm,seed,runtime_s,best_fitness,physical_obj,penalty,is_feasible,hypervolume,unique_solutions,feas_rate
Fair_NSGA3,1001,4.0237,49.2235,3.8947,45.33,True,247102859.0,2231,70.72
Fair_NSGA3,1002,4.3006,187.6016,3.5664,184.04,True,247262483.28,2227,72.88
Fair_NSGA3,1003,4.0022,5.7797,5.7797,0.0,True,246870681.8,2243,60.16
Fair_NSGA3,1004,4.0555,3.5828,3.5828,0.0,True,247262483.28,2266,68.48
Fair_NSGA3,1005,4.0324,3.9247,3.9247,0.0,True,246825797.71,2245,67.92
Fair_NSGA3,1006,4.2172,3.7992,3.7992,0.0,True,247262483.28,2254,66.08
Fair_NSGA3,1007,4.0728,1940.47,3.9234,1936.55,True,247102859.0,2233,60.6
Fair_NSGA3,1008,4.424,3.9519,3.9519,0.0,True,247262483.28,2214,70.04
Fair_NSGA3,1009,4.8826,4.0168,4.0168,0.0,True,247102605.88,2251,78.48
Fair_NSGA3,1010,4.8073,3.8154,3.8154,0.0,True,246870681.8,2205,76.52
Fair_NSGA3,1011,3.9648,3.8507,3.8507,0.0,True,246426857.59,2243,59.2
Fair_NSGA3,1012,4.3524,2662.0781,3.1013,2658.98,True,247102284.44,2225,69.44
Fair_NSGA3,1013,4.1831,3.8755,3.8755,0.0,True,247262483.28,2203,64.56
Fair_NSGA3,1014,4.1185,4.4304,4.4304,0.0,True,247102859.0,2258,65.08
Fair_NSGA3,1015,3.6619,3.4821,3.4821,0.0,True,246983243.92,2282,61.32
Fair_NSGA3,1016,4.8074,238.8914,4.281,234.61,True,247262483.28,2220,73.84
Fair_NSGA3,1017,4.5359,3.8787,3.8787,0.0,True,246870681.8,2232,65.84
Fair_NSGA3,1018,4.3795,3.8825,3.8825,0.0,True,247103079.64,2227,65.16
Fair_NSGA3,1019,4.7208,3.5347,3.5347,0.0,True,247103079.64,2250,72.28
Fair_NSGA3,1020,4.2831,3.87,3.87,0.0,True,246964157.11,2241,63.0
Fair_NSGA3,1021,4.4991,3.5793,3.5793,0.0,True,247262483.28,2223,65.32
Fair_NSGA3,1022,4.5355,6.2901,6.2901,0.0,True,247262483.28,2200,79.44
Fair_NSGA3,1023,4.1172,4.0816,4.0816,0.0,True,247262483.28,2202,72.64
Fair_NSGA3,1024,3.6031,4.2226,4.2226,0.0,True,246825811.61,2278,59.44
Fair_NSGA3,1025,4.1709,3.8424,3.8424,0.0,True,246964157.11,2223,68.32
Fair_NSGA3,1026,3.9266,944.7993,3.7059,941.09,True,247262483.28,2247,66.88
Fair_NSGA3,1027,4.2381,1351.8084,3.286,1348.52,True,247262483.28,2221,73.96
Fair_NSGA3,1028,4.4473,3.9632,3.9632,0.0,True,247103180.44,2241,75.28
Fair_NSGA3,1029,4.5507,3.9353,3.9353,0.0,True,247262483.28,2214,77.72
Fair_NSGA3,1030,3.3006,4.2934,4.2934,0.0,True,246567139.13,2250,43.52
