metric,C1_Classical_Mean,C1_Classical_SD,C1_Classical_Median,C1_Classical_IQR,C2_QBit_Mean,C2_QBit_SD,C2_QBit_Median,C2_QBit_IQR,Mean_Difference (C2-C1),Hodges_Lehmann_Difference,Bootstrap_95_CI_Low,Bootstrap_95_CI_High,Wilcoxon_W,Wilcoxon_p,Rank_Biserial_Effect_Size,Holm_Bonferroni_p,Interpretation
run_feasibility,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,NOT SIGNIFICANT
candidate_feasibility_rate,98.788,0.2984,98.74,0.39,100.0,0.0,100.0,0.0,1.212,1.22,1.1067,1.316,0.0,1.7202594665136766e-06,1.0,2e-05,SIGNIFICANT + PRACTICALLY MEANINGFUL
physical_objective,3.4004,0.0573,3.3877,0.0109,3.4674,0.023,3.4666,0.0378,0.067,0.0757,0.0403,0.0844,30.0,3.7904828786849976e-06,0.871,3e-05,SIGNIFICANT + PRACTICALLY MEANINGFUL
hv_nominal,246504835.989,536512.4371,246606018.02,571655.165,247056155.608,162531.9833,247103079.64,218372.4425,551319.619,524483.4,374749.7027,742097.1936,24.0,2.8569559300651173e-05,0.8968,0.0002,SIGNIFICANT + PRACTICALLY MEANINGFUL
hv_tighter,199355509.8723,482517.2225,199446569.27,514273.415,199851382.908,146196.3493,199893591.14,196456.9425,495873.0357,471880.65,337066.4698,667434.7749,24.0,2.8569559300651173e-05,0.8968,0.00017,SIGNIFICANT + PRACTICALLY MEANINGFUL
hv_expanded,355803488.2223,644502.9407,355924915.52,686418.665,356465701.008,195203.2666,356522056.64,262203.4425,662212.7857,629688.9,450108.9652,891422.0311,24.0,2.8569559300651173e-05,0.8968,0.00014,SIGNIFICANT + PRACTICALLY MEANINGFUL
hv_wide,992998097.1557,1076465.3994,993200505.52,1145472.665,994103882.608,325888.4923,994197964.64,437527.4425,1105785.4523,1050510.9,751546.0152,1488717.1688,24.0,2.8569559300651173e-05,0.8968,0.00011,SIGNIFICANT + PRACTICALLY MEANINGFUL
igd_plus,1290391633173.8484,848670570777.7986,1108141754417.2034,1100751648718.4016,414450537693.1128,326716872151.245,320133507987.7344,438314903767.7691,-875941095480.736,-834864233697.5461,-1183062600566.8577,-583884491461.9095,28.5,4.358188802872468e-05,0.8774,0.00013,SIGNIFICANT + PRACTICALLY MEANINGFUL
pareto_size,2.2333,1.1651,2.0,2.0,2.9,1.6049,2.0,2.0,0.6667,0.5,0.0667,1.3,42.0,0.054962882529636305,0.8194,0.10993,NOT SIGNIFICANT
unique_cat_configs,733.4667,127.9266,717.5,188.5,1876.3333,18.0446,1879.5,26.5,1142.8667,1147.5,1094.3967,1189.8683,0.0,1.7322162331441136e-06,1.0,2e-05,SIGNIFICANT + PRACTICALLY MEANINGFUL
mean_cat_entropy,0.5661,0.0592,0.5742,0.0592,0.8335,0.0172,0.8366,0.0234,0.2673,0.2612,0.2468,0.2901,0.0,1.862645149230957e-09,1.0,0.0,SIGNIFICANT + PRACTICALLY MEANINGFUL
mean_pop_diversity,4.6655,0.947,4.731,1.4343,0.9009,0.0805,0.9223,0.0938,-3.7646,-3.7888,-4.1014,-3.4093,0.0,1.862645149230957e-09,1.0,0.0,SIGNIFICANT + PRACTICALLY MEANINGFUL
repair_rate,0.0805,0.0075,0.0769,0.0082,0.2965,0.0974,0.3145,0.1511,0.216,0.2207,0.1788,0.2515,1.0,3.725290298461914e-09,0.9957,0.0,SIGNIFICANT + PRACTICALLY MEANINGFUL
runtime_seconds,3.1191,1.0505,3.5301,2.1032,1.7728,0.1135,1.7733,0.153,-1.3463,-1.3346,-1.6957,-0.9848,35.0,7.994472980499268e-06,0.8495,6e-05,SIGNIFICANT + PRACTICALLY MEANINGFUL
