comparison,metric,mean_a,mean_b,mean_difference,ci_95_lower,ci_95_upper,wilcoxon_stat,raw_p_value,rank_biserial_effect,holm_p_value,is_significant_001
Fair_MODE vs A5_Complete_Hybrid_QI,physical_objective,3.3936,3.4483,-0.0547,-0.0691,-0.0412,11.0,1.0244548320770264e-07,0.9527,1e-06,True
Fair_MODE vs A5_Complete_Hybrid_QI,hypervolume,246782214.701,247105993.5253,-323778.8243,-492590.3974,-161585.2635,64.0,0.0015436130444838117,0.6847,0.007718,True
Fair_MODE vs A5_Complete_Hybrid_QI,runtime_s,6.1934,7.5139,-1.3205,-1.4953,-1.1695,0.0,1.862645149230957e-09,1.0,0.0,True
Fair_NSGA3 vs A5_Complete_Hybrid_QI,physical_objective,3.9881,3.4483,0.5397,0.3473,0.783,14.0,2.0489096641540527e-07,0.9398,1e-06,True
Fair_NSGA3 vs A5_Complete_Hybrid_QI,hypervolume,247071393.866,247105993.5253,-34599.6593,-121207.4596,48006.7376,143.5,0.6089296917943109,0.1169,1.0,False
Fair_NSGA3 vs A5_Complete_Hybrid_QI,runtime_s,4.2405,7.5139,-3.2734,-3.4741,-3.0928,0.0,1.862645149230957e-09,1.0,0.0,True
Fair_MODE vs Fair_NSGA3,physical_objective,3.3936,3.9881,-0.5944,-0.8432,-0.4008,9.0,6.146728992462158e-08,0.9613,0.0,True
Fair_MODE vs Fair_NSGA3,hypervolume,246782214.701,247071393.866,-289179.165,-471392.8183,-111624.2332,67.5,0.006086360531501739,0.6154,0.024345,False
Fair_MODE vs Fair_NSGA3,runtime_s,6.1934,4.2405,1.953,1.8051,2.0971,0.0,1.862645149230957e-09,1.0,0.0,True
Fair_MODE vs Standard_DE,physical_objective,3.3936,3.7003,-0.3067,-0.6493,0.0321,111.0,0.011303061619400978,0.5226,0.041769,False
Fair_MODE vs Standard_DE,hypervolume,246782214.701,0.0,246782214.701,246613841.7907,246939735.3602,0.0,1.607505526400268e-06,1.0,1.1e-05,True
Fair_MODE vs Standard_DE,runtime_s,6.1934,1.706,4.4874,4.3471,4.6249,0.0,1.862645149230957e-09,1.0,0.0,True
A5_Complete_Hybrid_QI vs Standard_NSGA3,physical_objective,3.4483,202.3004,-198.8521,-332.1401,-65.8168,213.0,0.7000329215079546,0.0839,0.700033,False
A5_Complete_Hybrid_QI vs Standard_NSGA3,hypervolume,247105993.5253,150671177.17,96434816.3553,66459765.7198,127573098.8236,0.0,1.7235135468062213e-06,1.0,1.1e-05,True
A5_Complete_Hybrid_QI vs Standard_NSGA3,runtime_s,7.5139,0.8779,6.636,6.4473,6.8557,0.0,1.862645149230957e-09,1.0,0.0,True
A1_QPSO_Deb vs A0_Plain_QPSO,physical_objective,3.3538,202.6663,-199.3125,-332.3523,-66.4022,173.0,0.3359328511803926,0.2046,0.671866,False
A1_QPSO_Deb vs A0_Plain_QPSO,hypervolume,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,False
A1_QPSO_Deb vs A0_Plain_QPSO,runtime_s,2.3191,1.7971,0.5221,0.2759,0.7642,69.0,0.0004183966666460037,0.7032,0.000418,True
A2_QPSO_Decoder vs A1_QPSO_Deb,physical_objective,3.3858,3.3538,0.032,-0.1163,0.2532,108.0,0.010442365286734987,0.5355,0.041769,False
A2_QPSO_Decoder vs A1_QPSO_Deb,hypervolume,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,False
A2_QPSO_Decoder vs A1_QPSO_Deb,runtime_s,4.9642,2.3191,2.645,2.5158,2.7829,0.0,1.862645149230957e-09,1.0,0.0,True
