algorithm,seed,feasibility,fitness,fuel_tonnes,cost_usd,ghg_tonnes,delay_hours,runtime_seconds,evaluations
DE,1001,1.0,3573.3674,253.84,266274.74,649.94,1.39,4.768,2500
DE,1002,1.0,4.5468,223.35,222682.45,701.51,0.0,2.005,2500
DE,1003,1.0,4.1415,186.73,183485.98,766.31,0.0,1.299,2500
DE,1004,1.0,4.1019,185.29,178427.82,761.25,0.0,1.323,2500
DE,1005,1.0,20001.9005,95.72,103806.16,244.24,0.0,0.949,2500
DE,1006,1.0,4.4555,195.54,191033.68,805.52,0.0,1.108,2500
DE,1007,1.0,20001.801,99.11,109026.21,166.97,0.0,1.034,2500
DE,1008,1.0,4.0721,185.17,178323.1,760.53,0.0,1.756,2500
DE,1009,1.0,10464.8043,203.31,211794.01,597.22,4.76,1.253,2500
DE,1010,1.0,4.039,180.64,173996.52,741.2,0.0,1.508,2500
DE,1011,1.0,20003.4084,151.14,147902.55,630.74,0.0,1.014,2500
DE,1012,1.0,4.5426,210.43,207504.51,780.14,0.0,1.145,2500
DE,1013,1.0,4.6705,219.71,220247.78,774.63,0.0,1.418,2500
DE,1014,1.0,4.8942,225.67,227028.02,801.27,0.0,1.064,2500
DE,1015,1.0,4.2163,190.54,184219.44,784.02,0.0,1.134,2500
DE,1016,1.0,5943.7093,231.56,241724.17,578.99,2.69,1.111,2500
DE,1017,1.0,4.5756,212.69,212566.48,788.53,0.0,1.301,2500
DE,1018,1.0,4.0811,184.08,177224.47,757.11,0.0,1.528,2500
DE,1019,1.0,2583.4383,251.97,266201.22,578.14,0.76,1.202,2500
DE,1020,1.0,5.253,259.0,267736.15,766.51,0.0,1.531,2500
DE,1021,1.0,5.443,263.96,267582.33,790.13,0.0,1.153,2500
DE,1022,1.0,2183.6665,227.69,232410.34,771.14,0.91,1.125,2500
DE,1023,1.0,4.5251,214.52,213315.84,758.75,0.0,1.142,2500
DE,1024,1.0,4.0366,183.03,176222.75,752.62,0.0,1.437,2500
DE,1025,1.0,20002.3575,137.23,152520.04,157.06,0.0,1.068,2500
DE,1026,1.0,4.829,240.96,243528.59,694.84,0.0,1.193,2500
DE,1027,1.0,7.8967,419.96,453076.2,766.67,0.0,0.939,2500
DE,1028,1.0,5.4446,262.07,266344.61,786.94,0.0,1.048,2500
DE,1029,1.0,14452.8182,162.9,166025.8,662.97,6.91,1.046,2500
DE,1030,1.0,4.0962,185.12,178272.37,760.55,0.0,1.998,2500
QPSO,1001,1.0,3.9792,177.8,171239.71,729.95,0.0,2.156,2500
QPSO,1002,0.0,51000.0,200.0,250000.0,750.0,10.0,0.697,2500
QPSO,1003,1.0,3.9897,177.91,172498.69,730.46,0.0,1.558,2500
QPSO,1004,1.0,4.0099,177.8,174078.99,730.02,0.0,2.204,2500
QPSO,1005,1.0,3.9903,177.57,171810.08,729.11,0.0,1.938,2500
QPSO,1006,1.0,20003.2442,141.28,140140.23,594.6,0.0,1.181,2500
QPSO,1007,1.0,4.0157,177.99,174262.1,730.74,0.0,1.714,2500
QPSO,1008,1.0,4.0236,182.7,176683.99,751.38,0.0,1.534,2500
QPSO,1009,1.0,3.9906,177.58,171811.31,729.14,0.0,1.726,2500
QPSO,1010,1.0,4.0445,183.06,177403.85,752.78,0.0,1.002,2500
QPSO,1011,1.0,4.026,179.92,174104.06,737.95,0.0,2.111,2500
QPSO,1012,1.0,20003.247,144.44,139194.28,607.63,0.0,0.881,2500
QPSO,1013,0.0,51000.0,200.0,250000.0,750.0,10.0,0.673,2500
QPSO,1014,1.0,4.033,180.04,173433.2,738.54,0.0,1.573,2500
QPSO,1015,1.0,4.0039,177.87,174148.47,730.2,0.0,1.324,2500
QPSO,1016,1.0,4.0305,182.78,176768.24,751.68,0.0,1.625,2500
QPSO,1017,1.0,4.02,178.13,175538.11,731.54,0.0,1.518,2500
QPSO,1018,1.0,4.0333,182.79,177137.09,751.73,0.0,1.656,2500
QPSO,1019,1.0,3.9918,178.2,171621.51,731.77,0.0,2.303,2500
QPSO,1020,1.0,4.0189,177.6,175820.24,729.23,0.0,1.49,2500
QPSO,1021,0.0,51000.0,200.0,250000.0,750.0,10.0,0.64,2500
QPSO,1022,1.0,20003.4946,154.74,148728.85,641.3,0.0,0.756,2500
QPSO,1023,0.0,51000.0,200.0,250000.0,750.0,10.0,0.79,2500
QPSO,1024,1.0,3.9871,177.74,171175.38,729.83,0.0,2.596,2500
QPSO,1025,0.0,51000.0,200.0,250000.0,750.0,10.0,0.683,2500
QPSO,1026,1.0,4.0225,179.59,174104.68,737.58,0.0,1.115,2500
