formulation,seed,algorithm,is_feasible,best_fitness,physical_fuel_tonnes,operational_cost_usd,wtw_ghg_tonnes,schedule_delay_hours,runtime_seconds,evaluations
A_Fuel_Only,1001,DE,True,1653.275,189.94,190403.79,653.77,0.57,1.238,2500
A_Fuel_Only,1002,DE,True,4.4432,220.68,222934.01,782.64,0.0,1.204,2500
A_Fuel_Only,1003,DE,True,3.7505,186.73,183485.98,766.31,0.0,1.285,2500
A_Fuel_Only,1004,DE,True,3.7361,185.29,178427.82,761.25,0.0,1.43,2500
A_Fuel_Only,1005,DE,True,20001.9313,95.72,103806.16,244.24,0.0,1.043,2500
A_Fuel_Only,1006,DE,True,3.8079,189.49,186060.6,779.49,0.0,1.452,2500
A_Fuel_Only,1007,DE,True,20002.0002,99.11,109026.21,166.97,0.0,1.185,2500
A_Fuel_Only,1008,DE,True,3.7127,183.2,177612.98,751.63,0.0,1.593,2500
A_Fuel_Only,1009,DE,True,10464.768,203.31,211794.01,597.22,4.76,1.161,2500
A_Fuel_Only,1010,DE,True,4.275,212.89,214187.76,752.73,0.0,1.663,2500
A_Fuel_Only,1011,DE,True,20003.07,151.14,147902.55,630.74,0.0,1.146,2500
A_Fuel_Only,1012,DE,True,4.262,210.43,207504.51,780.14,0.0,1.395,2500
A_Fuel_Only,1013,DE,True,4.4347,219.71,220247.78,774.63,0.0,1.235,2500
A_Fuel_Only,1014,DE,True,4.6212,225.67,227028.02,801.27,0.0,1.207,2500
A_Fuel_Only,1015,DE,True,3.8335,190.54,184219.44,784.02,0.0,1.163,2500
A_Fuel_Only,1016,DE,True,5943.8701,231.56,241724.17,578.99,2.69,1.264,2500
A_Fuel_Only,1017,DE,True,4.2743,212.69,212566.48,788.53,0.0,1.487,2500
A_Fuel_Only,1018,DE,True,3.7221,185.47,178623.81,761.65,0.0,1.707,2500
A_Fuel_Only,1019,DE,True,2583.6954,251.97,266201.22,578.14,0.76,1.174,2500
A_Fuel_Only,1020,DE,True,5.2125,259.0,267736.15,766.51,0.0,1.103,2500
A_Fuel_Only,1021,DE,True,5.4069,263.96,267582.33,790.13,0.0,1.085,2500
A_Fuel_Only,1022,DE,True,2183.4441,227.69,232410.34,771.14,0.91,1.131,2500
A_Fuel_Only,1023,DE,True,4.301,214.52,213315.84,758.75,0.0,1.137,2500
A_Fuel_Only,1024,DE,True,3.6753,182.89,178924.15,752.11,0.0,1.537,2500
A_Fuel_Only,1025,DE,True,20002.7246,135.35,147856.19,235.37,0.0,1.132,2500
A_Fuel_Only,1026,DE,True,4.8786,240.96,243528.59,694.84,0.0,1.719,2500
A_Fuel_Only,1027,DE,True,8.6816,419.96,453076.2,766.67,0.0,1.251,2500
A_Fuel_Only,1028,DE,True,5.4025,262.07,266344.61,786.94,0.0,1.322,2500
A_Fuel_Only,1029,DE,True,14452.4401,162.9,166025.8,662.97,6.91,1.211,2500
A_Fuel_Only,1030,DE,True,3.7061,184.79,182723.49,759.13,0.0,1.949,2500
B_Fuel_Cost,1001,DE,True,4.8842,237.1,237416.99,799.57,0.0,2.684,2500
B_Fuel_Cost,1002,DE,True,4.466,220.68,222934.01,782.64,0.0,1.522,2500
B_Fuel_Cost,1003,DE,True,3.7179,186.73,183485.98,766.31,0.0,1.61,2500
B_Fuel_Cost,1004,DE,True,3.6669,185.29,178427.82,761.25,0.0,1.835,2500
B_Fuel_Cost,1005,DE,True,20002.0128,95.72,103806.16,244.24,0.0,1.181,2500
B_Fuel_Cost,1006,DE,True,3.9868,195.54,191033.68,805.52,0.0,2.105,2500
B_Fuel_Cost,1007,DE,True,20002.1003,99.11,109026.21,166.97,0.0,1.293,2500
B_Fuel_Cost,1008,DE,True,3.6402,185.17,178323.1,760.53,0.0,1.668,2500
B_Fuel_Cost,1009,DE,True,10464.8545,203.31,211794.01,597.22,4.76,1.698,2500
B_Fuel_Cost,1010,DE,True,3.6116,180.64,173996.52,741.2,0.0,1.871,2500
B_Fuel_Cost,1011,DE,True,20003.0363,151.14,147902.55,630.74,0.0,1.339,2500
B_Fuel_Cost,1012,DE,True,4.2322,210.43,207504.51,780.14,0.0,1.705,2500
B_Fuel_Cost,1013,DE,True,4.4401,219.71,220247.78,774.63,0.0,1.204,2500
B_Fuel_Cost,1014,DE,True,4.6316,225.67,227028.02,801.27,0.0,1.152,2500
B_Fuel_Cost,1015,DE,True,3.7698,190.54,184219.44,784.02,0.0,1.249,2500
B_Fuel_Cost,1016,DE,True,5943.9733,231.56,241724.17,578.99,2.69,1.2,2500
B_Fuel_Cost,1017,DE,True,4.2729,212.69,212566.48,788.53,0.0,1.536,2500
B_Fuel_Cost,1018,DE,True,3.6466,184.08,177224.47,757.11,0.0,1.491,2500
B_Fuel_Cost,1019,DE,True,2583.8469,251.97,266201.22,578.14,0.76,1.244,2500
B_Fuel_Cost,1020,DE,True,5.3,259.0,267736.15,766.51,0.0,1.278,2500
B_Fuel_Cost,1021,DE,True,5.4402,263.96,267582.33,790.13,0.0,1.275,2500
B_Fuel_Cost,1022,DE,True,2183.4862,227.69,232410.34,771.14,0.91,1.29,2500
B_Fuel_Cost,1023,DE,True,4.2899,214.52,213315.84,758.75,0.0,1.24,2500
B_Fuel_Cost,1024,DE,True,3.6878,186.65,180503.4,767.29,0.0,2.002,2500
B_Fuel_Cost,1025,DE,True,20002.8503,135.35,147856.19,235.37,0.0,1.32,2500
B_Fuel_Cost,1026,DE,True,4.9067,240.96,243528.59,694.84,0.0,1.405,2500
B_Fuel_Cost,1027,DE,True,9.0233,419.96,453076.2,766.67,0.0,1.169,2500
