formulation,seed,algorithm,is_feasible,best_fitness,fuel_tonnes,cost_usd,ghg_tonnes,delay_hours,runtime_seconds,evaluations
A_Fuel_Only,1005,DE,True,20001.9313,95.72,103806.16,244.24,0.0,1.043,2500
A_Fuel_Only,1007,DE,True,20002.0002,99.11,109026.21,166.97,0.0,1.185,2500
B_Fuel_Cost,1005,DE,True,20002.0128,95.72,103806.16,244.24,0.0,1.181,2500
B_Fuel_Cost,1007,DE,True,20002.1003,99.11,109026.21,166.97,0.0,1.293,2500
C_Fuel_GHG,1005,DE,True,20001.7812,95.72,103806.16,244.24,0.0,1.23,2500
C_Fuel_GHG,1007,DE,True,20001.5576,99.11,109026.21,166.97,0.0,1.193,2500
C_Fuel_GHG,1025,DE,True,20001.9086,137.23,152520.04,157.06,0.0,1.179,2500
D_Fuel_Cost_GHG,1005,DE,True,20001.9005,95.72,103806.16,244.24,0.0,1.093,2500
D_Fuel_Cost_GHG,1007,DE,True,20001.801,99.11,109026.21,166.97,0.0,1.244,2500
D_Fuel_Cost_GHG,1025,DE,True,20002.3575,137.23,152520.04,157.06,0.0,1.206,2500
E_Full_Schedule_Risk,1005,DE,True,20001.6173,95.72,103806.16,244.24,0.0,1.098,2500
E_Full_Schedule_Risk,1007,DE,True,20001.5357,99.11,109026.21,166.97,0.0,1.171,2500
E_Full_Schedule_Risk,1025,DE,True,20002.0132,137.23,152520.04,157.06,0.0,1.188,2500
