algorithm,seed,feasibility,best_penalty_free,fitness,best_penalty,fuel_tonnes,cost_usd,ghg_tonnes,delay_hours,feasible_evaluations,penalty_free_evaluations,unique_solutions,nondominated_penalty_free,pf_min_fuel_tonnes,pf_min_cost_usd,pf_min_ghg_tonnes,runtime_seconds,evaluations
DE,1001,1.0,False,6649.1116,6642.12,376.41,403417.3,712.65,2.76,6,0,2500,0,,,,0.528,2500
DE,1002,1.0,False,23811.4344,23807.1,212.49,231587.53,593.37,11.38,4,0,2500,0,,,,0.498,2500
DE,1003,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,3,0,2500,0,,,,0.416,2500
DE,1004,1.0,True,5.3293,0.0,259.87,266771.37,745.21,0.0,38,1,2500,1,259.87,266771.37,745.21,0.476,2500
DE,1005,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,2,0,2500,0,,,,0.429,2500
DE,1006,1.0,False,2812.7393,2807.44,252.78,257628.09,783.52,1.22,32,0,2500,0,,,,0.406,2500
DE,1007,1.0,False,3754.8667,3749.94,237.03,241218.47,769.04,1.48,4,0,2500,0,,,,0.389,2500
DE,1008,1.0,False,40233.3886,40226.36,369.98,420385.51,624.21,19.13,16,0,2500,0,,,,0.417,2500
DE,1009,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2500,0,,,,0.382,2500
DE,1010,1.0,False,28023.2266,28016.44,360.61,400233.93,685.39,13.67,17,0,2500,0,,,,0.446,2500
DE,1011,1.0,False,21217.5339,21213.57,176.88,187286.39,655.73,9.91,15,0,2500,0,,,,0.421,2500
DE,1012,1.0,True,7.3198,0.0,379.81,405920.35,770.82,0.0,25,1,2500,1,379.81,405920.35,770.82,0.538,2500
DE,1013,1.0,False,30472.97,30469.13,163.65,175880.89,666.66,14.38,4,0,2500,0,,,,0.423,2500
DE,1014,1.0,False,13334.6864,13327.63,377.2,414067.29,684.03,6.43,8,0,2499,0,,,,0.51,2500
DE,1015,1.0,False,39461.8413,39456.95,229.39,248318.86,735.14,18.99,3,0,2499,0,,,,0.522,2500
DE,1016,1.0,False,3353.8083,3349.28,219.04,225314.04,654.89,1.09,22,0,2499,0,,,,0.455,2500
DE,1017,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,3,0,2500,0,,,,0.396,2500
DE,1018,1.0,False,4119.2562,4115.03,209.8,214739.89,595.79,1.6,20,0,2500,0,,,,0.506,2500
DE,1019,1.0,False,3209.0586,3201.38,406.75,435188.06,764.78,1.21,19,0,2499,0,,,,0.473,2500
DE,1020,1.0,False,27692.8985,27688.11,225.38,238462.36,752.47,13.53,17,0,2500,0,,,,0.594,2500
DE,1021,1.0,False,19123.6657,19118.98,220.53,232123.18,738.54,9.29,8,0,2500,0,,,,0.538,2500
DE,1022,1.0,True,4.4155,0.0,193.39,190077.46,797.57,0.0,25,1,2500,1,193.39,190077.46,797.57,0.444,2500
DE,1023,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,4,0,2500,0,,,,0.418,2500
DE,1024,1.0,False,15567.3649,15561.25,323.86,351326.12,624.15,7.1,11,0,2500,0,,,,0.465,2500
DE,1025,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,4,0,2500,0,,,,0.438,2500
DE,1026,1.0,False,2225.972,2221.07,235.27,237628.49,770.06,0.75,9,0,2498,0,,,,0.479,2500
