algorithm,seed,run_id,runtime_seconds,objective_evaluations,iterations,best_fitness,physical_objective,penalty,is_feasible,first_feasible_eval,first_feasible_iter,feasible_evaluations_count,candidate_feasibility_rate,constraint_violation_total,hard_violations,repair_count,repair_rate,unique_solutions,pareto_archive_size,pareto_hypervolume,assigned_demands,fuel_decisions,speed_decisions
A1_QPSO_Deb,1001,A1_QPSO_Deb_seed_1001,2.7565,2500,49,3.6353,3.6353,0.0,True,81,1,1196,47.84,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 19.13536946245838, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.95131456561159}"
A1_QPSO_Deb,1002,A1_QPSO_Deb_seed_1002,2.7442,2500,49,3.4119,3.4119,0.0,True,15,0,930,37.2,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.238128899067007, 'CPS_Triton': 15.668123526813039, 'OSS_Ceto': 11.6383145969906}"
A1_QPSO_Deb,1003,A1_QPSO_Deb_seed_1003,3.2788,2500,49,3.3909,3.3909,0.0,True,93,1,1133,45.32,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.135542623375933, 'CPS_Triton': 17.930281610143453, 'OSS_Ceto': 11.749436352813454}"
A1_QPSO_Deb,1004,A1_QPSO_Deb_seed_1004,3.2429,2500,49,3.431,3.431,0.0,True,133,2,1131,45.24,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.22954726102834, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.6265855981656}"
A1_QPSO_Deb,1005,A1_QPSO_Deb_seed_1005,2.2164,2500,49,3.7196,3.7196,0.0,True,278,5,569,22.76,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 21.182366420465314, 'CPS_Triton': 17.510134091810112, 'OSS_Ceto': 11.862285727245037}"
A1_QPSO_Deb,1006,A1_QPSO_Deb_seed_1006,1.8635,2500,49,3.4099,3.4099,0.0,True,147,2,544,21.76,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.19510784961387, 'CPS_Triton': 18.0, 'OSS_Ceto': 12.624052580173373}"
A1_QPSO_Deb,1007,A1_QPSO_Deb_seed_1007,2.2396,2500,49,3.3785,3.3785,0.0,True,132,2,894,35.76,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.13844936310041, 'CPS_Triton': 15.9480171542348, 'OSS_Ceto': 12.35567351663386}"
A1_QPSO_Deb,1008,A1_QPSO_Deb_seed_1008,2.458,2500,49,20002.7043,2.7043,20000.0,True,14,0,1112,44.48,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.13610013923026, 'CPS_Triton': 13.086348123012286, 'OSS_Ceto': 11.968006654963819}"
A1_QPSO_Deb,1009,A1_QPSO_Deb_seed_1009,2.7424,2500,49,3.4358,3.4358,0.0,True,57,1,1250,50.0,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.148497246313067, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}"
A1_QPSO_Deb,1010,A1_QPSO_Deb_seed_1010,2.5346,2500,49,3.4089,3.4089,0.0,True,107,2,1121,44.84,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.265056316884827, 'CPS_Triton': 18.0, 'OSS_Ceto': 11.65121283883317}"
