algorithm,seed,run_id,runtime_seconds,objective_evaluations,iterations,best_fitness,physical_objective,penalty,is_feasible,first_feasible_eval,first_feasible_iter,feasible_evaluations_count,candidate_feasibility_rate,constraint_violation_total,hard_violations,repair_count,repair_rate,unique_solutions,pareto_archive_size,pareto_hypervolume,assigned_demands,fuel_decisions,speed_decisions
DE,1001,DE_seed_1001,1.6483,2500,49,3572.6356,4.2657,3568.37,True,120,2,197,7.88,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 19.219148557610684, 'CPS_Triton': 14.638488811722311, 'OSS_Ceto': 14.801719302370488}"
DE,1002,DE_seed_1002,1.8323,2500,49,3.8637,3.8637,0.0,True,15,0,226,9.04,0.0,NONE,0,0.0,2499,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 20.027900696996166, 'CPS_Triton': 17.705884804252342, 'OSS_Ceto': 14.722031986406673}"
DE,1003,DE_seed_1003,2.0045,2500,49,3.5132,3.5132,0.0,True,116,2,304,12.16,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.291667206066986, 'CPS_Triton': 17.06363255784501, 'OSS_Ceto': 15.0}"
DE,1004,DE_seed_1004,2.3387,2500,49,3.4794,3.4794,0.0,True,138,2,370,14.8,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.06508152403252, 'CPS_Triton': 18.0, 'OSS_Ceto': 14.94669963380205}"
DE,1005,DE_seed_1005,1.6365,2500,49,20001.6173,1.6173,20000.0,True,336,6,50,2.0,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 15.678547333099097, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}"
DE,1006,DE_seed_1006,1.7974,2500,49,3.7794,3.7794,0.0,True,135,2,158,6.32,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 22.0, 'CPS_Triton': 15.824125790784594, 'OSS_Ceto': 15.0}"
DE,1007,DE_seed_1007,1.6904,2500,49,20001.5357,1.5357,20000.0,True,391,7,109,4.36,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 22.0, 'CPS_Triton': 17.38181683121513, 'OSS_Ceto': 15.0}"
DE,1008,DE_seed_1008,2.3264,2500,49,3.4619,3.4619,0.0,True,14,0,455,18.2,0.0,NONE,0,0.0,2499,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 21.430520349033944, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}"
DE,1009,DE_seed_1009,1.5009,2500,49,10464.2352,3.5587,10460.68,True,101,2,118,4.72,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 16.931037406188548, 'CPS_Triton': 18.0, 'OSS_Ceto': 10.00417853832526}"
DE,1010,DE_seed_1010,2.2055,2500,49,3.426,3.426,0.0,True,488,9,519,20.76,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.237006546105494, 'CPS_Triton': 18.0, 'OSS_Ceto': 15.0}"
