algorithm,n_seeds,feasibility_pct,physical_obj_mean,physical_obj_median,physical_obj_std,physical_obj_iqr,fitness_mean,fitness_median,hypervolume_mean,hypervolume_median,runtime_mean_s,runtime_median_s
A0_Plain_QPSO,30,80.0,202.6663,3.4121,405.4822,0.0432,12202.67,3.42,0.0,0.0,1.797,1.939
A1_QPSO_Deb,30,100.0,3.3538,3.4005,0.5334,0.0322,2003.35,3.41,0.0,0.0,2.319,2.299
A2_QPSO_Decoder,30,100.0,3.3858,3.384,0.0113,0.0059,3.39,3.38,0.0,0.0,4.964,4.892
A3_Discrete_QPSO,30,86.67,136.2734,3.3899,344.573,0.0309,6802.94,3.39,0.0,0.0,3.255,3.565
A4_Heterogeneous_QI,30,100.0,3.7159,3.6631,0.2356,0.2767,3.72,3.66,0.0,0.0,4.249,4.178
A5_Complete_Hybrid_QI,30,100.0,3.4483,3.4479,0.0381,0.0519,3.45,3.45,247105993.53,247103130.04,7.514,7.387
Fair_MODE,30,100.0,3.3936,3.3912,0.008,0.0051,3.39,3.39,246782214.7,246835539.83,6.193,6.226
Fair_NSGA3,30,100.0,3.9881,3.8806,0.6285,0.2742,248.96,3.96,247071393.87,247102969.32,4.24,4.228
Standard_DE,30,100.0,3.7003,3.8109,0.9479,0.6815,3976.19,4.13,0.0,0.0,1.706,1.586
Standard_NSGA3,30,80.0,202.3004,2.9735,405.6707,3.2997,36645.36,37475.79,150671177.17,166233890.57,0.878,0.97
Standard_PSO,30,50.0,501.3325,501.8479,507.193,996.5496,30168.0,45500.25,0.0,0.0,1.788,1.259
Standard_GA,30,70.0,302.5384,4.1498,464.4028,996.5614,27726.3,20002.46,0.0,0.0,1.142,0.857
Uniform_Random,30,96.67,36.502,3.2742,181.9813,2.5342,28681.98,27072.72,0.0,0.0,0.385,0.291
