seed,model_a_mae,model_a_rmse,model_a_r2,model_a_poseidon_mae,model_a_triton_mae,model_a_ceto_mae,model_b_mae,model_b_rmse,model_b_r2,model_b_poseidon_mae,model_b_triton_mae,model_b_ceto_mae,mae_delta_b_minus_a
42,244.86,443.51,0.95,315.27,78.09,170.92,252.77,454.22,0.9476,322.32,78.67,185.23,7.91
1001,248.85,449.0,0.9488,316.15,80.25,183.55,255.48,456.5,0.9471,321.63,80.48,196.73,6.63
1002,252.05,452.36,0.948,321.93,86.01,178.96,252.58,453.4,0.9478,321.84,80.61,184.49,0.53
1003,248.11,447.36,0.9492,314.5,81.42,183.92,254.83,456.0,0.9472,323.46,78.74,190.65,6.72
1004,249.7,451.66,0.9482,315.2,79.08,189.96,251.29,451.32,0.9483,319.66,81.34,184.19,1.6
1005,246.11,446.63,0.9493,317.15,81.86,169.12,248.28,450.49,0.9485,316.88,80.97,179.05,2.17
1006,248.8,450.06,0.9486,318.93,83.0,174.97,251.84,453.55,0.9478,319.72,79.27,187.45,3.04
1007,246.63,446.87,0.9493,314.51,81.85,177.68,251.92,451.62,0.9482,320.69,81.23,184.26,5.29
1008,246.56,446.71,0.9493,315.36,81.82,175.35,252.18,453.56,0.9477,320.65,78.71,186.91,5.62
1009,247.22,448.75,0.9489,316.11,81.6,176.3,251.75,451.69,0.9482,322.29,78.3,181.4,4.53
1010,247.66,447.77,0.9491,317.85,79.08,175.33,254.52,455.46,0.9473,322.46,80.58,190.8,6.86
1011,248.18,449.21,0.9487,319.94,84.73,168.95,255.11,453.94,0.9477,324.48,82.19,187.29,6.93
1012,249.15,450.87,0.9484,314.58,78.24,189.79,251.13,449.75,0.9486,318.13,80.57,187.69,1.97
1013,246.99,447.28,0.9492,318.08,86.18,167.89,252.38,452.86,0.9479,319.78,80.59,188.71,5.39
1014,246.06,447.06,0.9492,317.71,79.73,168.81,252.21,453.2,0.9478,319.72,80.78,188.06,6.15
1015,252.16,451.1,0.9483,321.57,83.87,181.53,254.01,453.88,0.9477,322.72,78.79,189.15,1.85
1016,241.82,444.15,0.9499,312.93,81.67,162.28,250.98,452.18,0.9481,321.3,81.11,179.08,9.16
1017,245.62,446.94,0.9493,313.71,80.89,176.15,251.51,453.57,0.9477,320.89,83.61,180.72,5.88
1018,244.27,445.18,0.9497,313.36,80.88,171.57,252.79,453.24,0.9478,322.47,80.29,183.96,8.51
1019,246.59,446.77,0.9493,314.09,80.69,179.2,252.03,454.7,0.9475,320.01,79.27,187.52,5.44
1020,247.44,449.63,0.9487,316.76,84.49,173.9,252.57,452.57,0.948,321.13,80.18,186.42,5.13
1021,247.57,446.71,0.9493,314.86,82.62,180.15,248.88,450.81,0.9484,318.42,82.49,176.82,1.31
1022,246.38,446.97,0.9493,314.26,80.47,178.1,252.64,452.21,0.9481,318.32,79.2,194.11,6.25
1023,249.07,450.02,0.9486,315.68,78.84,186.4,254.96,456.03,0.9472,322.64,81.75,191.45,5.89
1024,246.71,448.03,0.949,316.34,79.78,174.74,254.66,454.62,0.9475,323.78,78.85,189.16,7.95
1025,248.63,449.98,0.9486,316.92,78.99,181.55,254.74,455.8,0.9472,322.94,80.82,190.37,6.1
1026,247.76,449.72,0.9486,317.85,83.67,173.0,253.4,453.03,0.9479,321.67,82.57,187.06,5.65
1027,250.83,449.85,0.9486,318.37,85.96,182.74,252.82,453.2,0.9478,318.78,81.71,192.29,2.0
1028,244.2,444.2,0.9499,311.04,79.56,177.69,251.72,453.26,0.9478,321.74,79.37,181.99,7.52
1029,245.31,444.73,0.9498,314.62,81.73,172.16,252.49,452.19,0.9481,321.67,79.56,185.13,7.18
